id	symbol	name	vislevel	size	stat1_atk	stat2_str	stat3_def	stat4_hp	stat5_rng	stat6_mag	attackrate	param_26_style	maxhit_param	category
11819	toa_apmeken_nexus		1	1										922
11820	toa_crondis_captured		1	3										1686
11821	toa_crondis_freed		1	1										922
11822	toa_crondis_nexus		1	1										922
11823	toa_scabaras_captured		1	1										1686
11824	toa_scabaras_freed		1	1										922
11825	toa_scabaras_nexus		1	1										922
11826	toa_het_captured		1	2										1686
11827	toa_het_freed		1	1										922
11828	toa_het_nexus		1	1										922
11829	toa_osmumten_vault		1	1										922
11830	toa_osmumten_baba		1	1										922
11831	toa_osmumten_zebak		1	1										922
11832	toa_osmumten_kephri		1	1										922
11833	toa_osmumten_akkha		1	1										922
11834	toa_osmumten_wardens		1	1										922
11835	toa_amascut		1	1										922
11836	toa_lobby_maisa		1	1										922
11837	toa_lobby_apmeken		1	1										922
11838	toa_lobby_crondis		1	1										922
11839	toa_lobby_het		1	1										922
11840	poh_warden_pet_akkha	Akkhito	0	1										764
11841	poh_warden_pet_baba	Babi	0	1										764
11842	poh_warden_pet_kephri	Kephriti	0	1										764
11843	poh_warden_pet_zebak	Zebo	0	2										764
11844	poh_warden_pet_tumeken_destroyed	Tumeken's Damaged Guardian	0	1										764
11845	poh_warden_pet_elidinis_destroyed	Elidinis' Damaged Guardian	0	1										764
11846	warden_pet_akkha	Akkhito	0	1										
11847	warden_pet_baba	Babi	0	1										
11848	warden_pet_kephri	Kephriti	0	1										
11849	warden_pet_zebak	Zebo	0	2										
11850	warden_pet_tumeken_destroyed	Tumeken's Damaged Guardian	0	1										
11851	warden_pet_elidinis_destroyed	Elidinis' Damaged Guardian	0	1										
12125	osb10_toa_kephri_cutscene	Kephri	341	5										
12126	osb10_toa_akkha_cutscene	Akkha	337	3										
12127	osb10_toa_baba_cutscene	Ba-Ba	359	5										
12128	osb10_toa_zebak_cutscene	Zebak	371	9										
12129	osb10_toa_zebak_tail_cutscene	Zebak's Tail	0	9										
12130	osb10_toa_warden_tumeken_phase1_cutscene	Tumeken's Warden	489	5										
12131	osb10_toa_warden_elidinis_cutscene	Elidinis' Warden	489	5										
12132	osb10_toa_wardens_obelisk_cutscene	<col=00ffff>Obelisk</col>	0	3										
