mock230-selftest-evidence-v1
wire	osrs239
000078	PASS	GWD worn faction mask 0b faction 1 yields count/protection 1/1 (expected 1)
000079	PASS	GWD worn faction mask 0b faction 2 yields count/protection 1/1 (expected 1)
000080	PASS	GWD worn faction mask 0b faction 3 yields count/protection 0/0 (expected 0)
000081	PASS	GWD worn faction mask 0b faction 4 yields count/protection 1/1 (expected 1)
000082	PASS	GWD worn faction mask 0b faction 5 yields count/protection 0/0 (expected 0)
000083	PASS	GWD worn faction mask 0c faction 1 yields count/protection 0/0 (expected 0)
000084	PASS	GWD worn faction mask 0c faction 2 yields count/protection 0/0 (expected 0)
000085	PASS	GWD worn faction mask 0c faction 3 yields count/protection 1/1 (expected 1)
000086	PASS	GWD worn faction mask 0c faction 4 yields count/protection 1/1 (expected 1)
000087	PASS	GWD worn faction mask 0c faction 5 yields count/protection 0/0 (expected 0)
000088	PASS	GWD worn faction mask 0d faction 1 yields count/protection 1/1 (expected 1)
000089	PASS	GWD worn faction mask 0d faction 2 yields count/protection 0/0 (expected 0)
000090	PASS	GWD worn faction mask 0d faction 3 yields count/protection 1/1 (expected 1)
000091	PASS	GWD worn faction mask 0d faction 4 yields count/protection 1/1 (expected 1)
000092	PASS	GWD worn faction mask 0d faction 5 yields count/protection 0/0 (expected 0)
000093	PASS	GWD worn faction mask 0e faction 1 yields count/protection 0/0 (expected 0)
000094	PASS	GWD worn faction mask 0e faction 2 yields count/protection 1/1 (expected 1)
000095	PASS	GWD worn faction mask 0e faction 3 yields count/protection 1/1 (expected 1)
000096	PASS	GWD worn faction mask 0e faction 4 yields count/protection 1/1 (expected 1)
000097	PASS	GWD worn faction mask 0e faction 5 yields count/protection 0/0 (expected 0)
000098	PASS	GWD worn faction mask 0f faction 1 yields count/protection 1/1 (expected 1)
000099	PASS	GWD worn faction mask 0f faction 2 yields count/protection 1/1 (expected 1)
000100	PASS	GWD worn faction mask 0f faction 3 yields count/protection 1/1 (expected 1)
000101	PASS	GWD worn faction mask 0f faction 4 yields count/protection 1/1 (expected 1)
000102	PASS	GWD worn faction mask 0f faction 5 yields count/protection 0/0 (expected 0)
000103	PASS	GWD worn faction mask 10 faction 1 yields count/protection 0/0 (expected 0)
000104	PASS	GWD worn faction mask 10 faction 2 yields count/protection 0/0 (expected 0)
000105	PASS	GWD worn faction mask 10 faction 3 yields count/protection 0/0 (expected 0)
000106	PASS	GWD worn faction mask 10 faction 4 yields count/protection 0/0 (expected 0)
000107	PASS	GWD worn faction mask 10 faction 5 yields count/protection 1/1 (expected 1)
000108	PASS	GWD worn faction mask 11 faction 1 yields count/protection 1/1 (expected 1)
000109	PASS	GWD worn faction mask 11 faction 2 yields count/protection 0/0 (expected 0)
000110	PASS	GWD worn faction mask 11 faction 3 yields count/protection 0/0 (expected 0)
000111	PASS	GWD worn faction mask 11 faction 4 yields count/protection 0/0 (expected 0)
000112	PASS	GWD worn faction mask 11 faction 5 yields count/protection 1/1 (expected 1)
000113	PASS	GWD worn faction mask 12 faction 1 yields count/protection 0/0 (expected 0)
000114	PASS	GWD worn faction mask 12 faction 2 yields count/protection 1/1 (expected 1)
000115	PASS	GWD worn faction mask 12 faction 3 yields count/protection 0/0 (expected 0)
000116	PASS	GWD worn faction mask 12 faction 4 yields count/protection 0/0 (expected 0)
000117	PASS	GWD worn faction mask 12 faction 5 yields count/protection 1/1 (expected 1)
000118	PASS	GWD worn faction mask 13 faction 1 yields count/protection 1/1 (expected 1)
000119	PASS	GWD worn faction mask 13 faction 2 yields count/protection 1/1 (expected 1)
000120	PASS	GWD worn faction mask 13 faction 3 yields count/protection 0/0 (expected 0)
000121	PASS	GWD worn faction mask 13 faction 4 yields count/protection 0/0 (expected 0)
000122	PASS	GWD worn faction mask 13 faction 5 yields count/protection 1/1 (expected 1)
000123	PASS	GWD worn faction mask 14 faction 1 yields count/protection 0/0 (expected 0)
000124	PASS	GWD worn faction mask 14 faction 2 yields count/protection 0/0 (expected 0)
000125	PASS	GWD worn faction mask 14 faction 3 yields count/protection 1/1 (expected 1)
000126	PASS	GWD worn faction mask 14 faction 4 yields count/protection 0/0 (expected 0)
000127	PASS	GWD worn faction mask 14 faction 5 yields count/protection 1/1 (expected 1)
000128	PASS	GWD worn faction mask 15 faction 1 yields count/protection 1/1 (expected 1)
000129	PASS	GWD worn faction mask 15 faction 2 yields count/protection 0/0 (expected 0)
000130	PASS	GWD worn faction mask 15 faction 3 yields count/protection 1/1 (expected 1)
000131	PASS	GWD worn faction mask 15 faction 4 yields count/protection 0/0 (expected 0)
000132	PASS	GWD worn faction mask 15 faction 5 yields count/protection 1/1 (expected 1)
000133	PASS	GWD worn faction mask 16 faction 1 yields count/protection 0/0 (expected 0)
000134	PASS	GWD worn faction mask 16 faction 2 yields count/protection 1/1 (expected 1)
000135	PASS	GWD worn faction mask 16 faction 3 yields count/protection 1/1 (expected 1)
000136	PASS	GWD worn faction mask 16 faction 4 yields count/protection 0/0 (expected 0)
000137	PASS	GWD worn faction mask 16 faction 5 yields count/protection 1/1 (expected 1)
000138	PASS	GWD worn faction mask 17 faction 1 yields count/protection 1/1 (expected 1)
000139	PASS	GWD worn faction mask 17 faction 2 yields count/protection 1/1 (expected 1)
000140	PASS	GWD worn faction mask 17 faction 3 yields count/protection 1/1 (expected 1)
000141	PASS	GWD worn faction mask 17 faction 4 yields count/protection 0/0 (expected 0)
000142	PASS	GWD worn faction mask 17 faction 5 yields count/protection 1/1 (expected 1)
000143	PASS	GWD worn faction mask 18 faction 1 yields count/protection 0/0 (expected 0)
000144	PASS	GWD worn faction mask 18 faction 2 yields count/protection 0/0 (expected 0)
000145	PASS	GWD worn faction mask 18 faction 3 yields count/protection 0/0 (expected 0)
000146	PASS	GWD worn faction mask 18 faction 4 yields count/protection 1/1 (expected 1)
000147	PASS	GWD worn faction mask 18 faction 5 yields count/protection 1/1 (expected 1)
000148	PASS	GWD worn faction mask 19 faction 1 yields count/protection 1/1 (expected 1)
000149	PASS	GWD worn faction mask 19 faction 2 yields count/protection 0/0 (expected 0)
000150	PASS	GWD worn faction mask 19 faction 3 yields count/protection 0/0 (expected 0)
000151	PASS	GWD worn faction mask 19 faction 4 yields count/protection 1/1 (expected 1)
000152	PASS	GWD worn faction mask 19 faction 5 yields count/protection 1/1 (expected 1)
000153	PASS	GWD worn faction mask 1a faction 1 yields count/protection 0/0 (expected 0)
000154	PASS	GWD worn faction mask 1a faction 2 yields count/protection 1/1 (expected 1)
000155	PASS	GWD worn faction mask 1a faction 3 yields count/protection 0/0 (expected 0)
000156	PASS	GWD worn faction mask 1a faction 4 yields count/protection 1/1 (expected 1)
000157	PASS	GWD worn faction mask 1a faction 5 yields count/protection 1/1 (expected 1)
000158	PASS	GWD worn faction mask 1b faction 1 yields count/protection 1/1 (expected 1)
000159	PASS	GWD worn faction mask 1b faction 2 yields count/protection 1/1 (expected 1)
000160	PASS	GWD worn faction mask 1b faction 3 yields count/protection 0/0 (expected 0)
000161	PASS	GWD worn faction mask 1b faction 4 yields count/protection 1/1 (expected 1)
000162	PASS	GWD worn faction mask 1b faction 5 yields count/protection 1/1 (expected 1)
000163	PASS	GWD worn faction mask 1c faction 1 yields count/protection 0/0 (expected 0)
000164	PASS	GWD worn faction mask 1c faction 2 yields count/protection 0/0 (expected 0)
000165	PASS	GWD worn faction mask 1c faction 3 yields count/protection 1/1 (expected 1)
000166	PASS	GWD worn faction mask 1c faction 4 yields count/protection 1/1 (expected 1)
000167	PASS	GWD worn faction mask 1c faction 5 yields count/protection 1/1 (expected 1)
000168	PASS	GWD worn faction mask 1d faction 1 yields count/protection 1/1 (expected 1)
000169	PASS	GWD worn faction mask 1d faction 2 yields count/protection 0/0 (expected 0)
000170	PASS	GWD worn faction mask 1d faction 3 yields count/protection 1/1 (expected 1)
000171	PASS	GWD worn faction mask 1d faction 4 yields count/protection 1/1 (expected 1)
000172	PASS	GWD worn faction mask 1d faction 5 yields count/protection 1/1 (expected 1)
000173	PASS	GWD worn faction mask 1e faction 1 yields count/protection 0/0 (expected 0)
000174	PASS	GWD worn faction mask 1e faction 2 yields count/protection 1/1 (expected 1)
000175	PASS	GWD worn faction mask 1e faction 3 yields count/protection 1/1 (expected 1)
000176	PASS	GWD worn faction mask 1e faction 4 yields count/protection 1/1 (expected 1)
000177	PASS	GWD worn faction mask 1e faction 5 yields count/protection 1/1 (expected 1)
000178	PASS	GWD worn faction mask 1f faction 1 yields count/protection 1/1 (expected 1)
000179	PASS	GWD worn faction mask 1f faction 2 yields count/protection 1/1 (expected 1)
000180	PASS	GWD worn faction mask 1f faction 3 yields count/protection 1/1 (expected 1)
000181	PASS	GWD worn faction mask 1f faction 4 yields count/protection 1/1 (expected 1)
000182	PASS	GWD worn faction mask 1f faction 5 yields count/protection 1/1 (expected 1)
000183	PASS	Ancient mace protects Bandos but not Zaros (got 1/0)
000184	PASS	GWD Slayer/Aviansie test symbols resolve
000185	PASS	godwars_pyrefiend_1 spawns for Slayer gate
000186	PASS	godwars_pyrefiend_1 Slayer gate is 30 and blocks/accepts below/exact as 1/0 (got 30, 1/0)
000187	PASS	godwars_bloodveld spawns for Slayer gate
000188	PASS	godwars_bloodveld Slayer gate is 50 and blocks/accepts below/exact as 1/0 (got 50, 1/0)
000189	PASS	godwars_spiritual_saradomin_ranger spawns for Slayer gate
000190	PASS	godwars_spiritual_saradomin_ranger Slayer gate is 63 and blocks/accepts below/exact as 1/0 (got 63, 1/0)
000191	PASS	godwars_spiritual_bandos_ranger spawns for Slayer gate
000192	PASS	godwars_spiritual_bandos_ranger Slayer gate is 63 and blocks/accepts below/exact as 1/0 (got 63, 1/0)
000193	PASS	godwars_spiritual_zamorak_ranger spawns for Slayer gate
000194	PASS	godwars_spiritual_zamorak_ranger Slayer gate is 63 and blocks/accepts below/exact as 1/0 (got 63, 1/0)
000195	PASS	godwars_spiritual_armadyl_ranger spawns for Slayer gate
000196	PASS	godwars_spiritual_armadyl_ranger Slayer gate is 63 and blocks/accepts below/exact as 1/0 (got 63, 1/0)
000197	PASS	nex_prison_ranger spawns for Slayer gate
000198	PASS	nex_prison_ranger Slayer gate is 63 and blocks/accepts below/exact as 1/0 (got 63, 1/0)
000199	PASS	godwars_spiritual_saradomin_warrior spawns for Slayer gate
000200	PASS	godwars_spiritual_saradomin_warrior Slayer gate is 68 and blocks/accepts below/exact as 1/0 (got 68, 1/0)
000201	PASS	godwars_spiritual_bandos_warrior spawns for Slayer gate
000202	PASS	godwars_spiritual_bandos_warrior Slayer gate is 68 and blocks/accepts below/exact as 1/0 (got 68, 1/0)
000203	PASS	godwars_spiritual_zamorak_warrior spawns for Slayer gate
000204	PASS	godwars_spiritual_zamorak_warrior Slayer gate is 68 and blocks/accepts below/exact as 1/0 (got 68, 1/0)
000205	PASS	godwars_spiritual_armadyl_warrior spawns for Slayer gate
000206	PASS	godwars_spiritual_armadyl_warrior Slayer gate is 68 and blocks/accepts below/exact as 1/0 (got 68, 1/0)
000207	PASS	nex_prison_warrior spawns for Slayer gate
000208	PASS	nex_prison_warrior Slayer gate is 68 and blocks/accepts below/exact as 1/0 (got 68, 1/0)
000209	PASS	godwars_spiritual_saradomin_mage spawns for Slayer gate
000210	PASS	godwars_spiritual_saradomin_mage Slayer gate is 83 and blocks/accepts below/exact as 1/0 (got 83, 1/0)
000211	PASS	godwars_spiritual_bandos_mage spawns for Slayer gate
000212	PASS	godwars_spiritual_bandos_mage Slayer gate is 83 and blocks/accepts below/exact as 1/0 (got 83, 1/0)
000213	PASS	godwars_spiritual_zamorak_mage spawns for Slayer gate
000214	PASS	godwars_spiritual_zamorak_mage Slayer gate is 83 and blocks/accepts below/exact as 1/0 (got 83, 1/0)
000215	PASS	godwars_spiritual_armadyl_mage spawns for Slayer gate
000216	PASS	godwars_spiritual_armadyl_mage Slayer gate is 83 and blocks/accepts below/exact as 1/0 (got 83, 1/0)
000217	PASS	nex_prison_mage spawns for Slayer gate
000218	PASS	nex_prison_mage Slayer gate is 83 and blocks/accepts below/exact as 1/0 (got 83, 1/0)
000219	PASS	godwars_armadyl_avatar spawns for melee rejection
000220	PASS	godwars_armadyl_avatar rejects ordinary slash melee while airborne
000221	PASS	godwars_armadyl_bodyguard_skree spawns for melee rejection
000222	PASS	godwars_armadyl_bodyguard_skree rejects ordinary slash melee while airborne
000223	PASS	godwars_armadyl_bodyguard_geerin spawns for melee rejection
000224	PASS	godwars_armadyl_bodyguard_geerin rejects ordinary slash melee while airborne
000225	PASS	godwars_armadyl_bodyguard_kilisa spawns for melee rejection
000226	PASS	godwars_armadyl_bodyguard_kilisa rejects ordinary slash melee while airborne
000227	PASS	godwars_armadyl_male_armor01_blue spawns for melee rejection
000228	PASS	godwars_armadyl_male_armor01_blue rejects ordinary slash melee while airborne
000229	PASS	godwars_armadyl_male_armor01_green spawns for melee rejection
000230	PASS	godwars_armadyl_male_armor01_green rejects ordinary slash melee while airborne
000231	PASS	godwars_armadyl_male_armor01_red spawns for melee rejection
000232	PASS	godwars_armadyl_male_armor01_red rejects ordinary slash melee while airborne
000233	PASS	godwars_armadyl_male_armor02_blue spawns for melee rejection
000234	PASS	godwars_armadyl_male_armor02_blue rejects ordinary slash melee while airborne
000235	PASS	godwars_armadyl_male_armor02_green spawns for melee rejection
000236	PASS	godwars_armadyl_male_armor02_green rejects ordinary slash melee while airborne
000237	PASS	godwars_armadyl_male_armor02_red spawns for melee rejection
000238	PASS	godwars_armadyl_male_armor02_red rejects ordinary slash melee while airborne
000239	PASS	godwars_armadyl_male_armor03_green spawns for melee rejection
000240	PASS	godwars_armadyl_male_armor03_green rejects ordinary slash melee while airborne
000241	PASS	godwars_armadyl_male_armor03_red spawns for melee rejection
000242	PASS	godwars_armadyl_male_armor03_red rejects ordinary slash melee while airborne
000243	PASS	godwars_armadyl_female_armor01_blue spawns for melee rejection
000244	PASS	godwars_armadyl_female_armor01_blue rejects ordinary slash melee while airborne
000245	PASS	godwars_armadyl_female_armor01_green spawns for melee rejection
000246	PASS	godwars_armadyl_female_armor01_green rejects ordinary slash melee while airborne
000247	PASS	godwars_armadyl_female_armor01_red spawns for melee rejection
000248	PASS	godwars_armadyl_female_armor01_red rejects ordinary slash melee while airborne
000249	PASS	godwars_armadyl_female_armor02_blue spawns for melee rejection
000250	PASS	godwars_armadyl_female_armor02_blue rejects ordinary slash melee while airborne
000251	PASS	godwars_armadyl_female_armor02_green spawns for melee rejection
000252	PASS	godwars_armadyl_female_armor02_green rejects ordinary slash melee while airborne
000253	PASS	godwars_armadyl_female_armor02_red spawns for melee rejection
000254	PASS	godwars_armadyl_female_armor02_red rejects ordinary slash melee while airborne
000255	PASS	godwars_armadyl_female_armor03_blue spawns for melee rejection
000256	PASS	godwars_armadyl_female_armor03_blue rejects ordinary slash melee while airborne
000257	PASS	godwars_spiritual_armadyl_warrior spawns for melee rejection
000258	PASS	godwars_spiritual_armadyl_warrior rejects ordinary slash melee while airborne
000259	PASS	godwars_spiritual_armadyl_ranger spawns for melee rejection
000260	PASS	godwars_spiritual_armadyl_ranger rejects ordinary slash melee while airborne
000261	PASS	godwars_spiritual_armadyl_mage spawns for melee rejection
000262	PASS	godwars_spiritual_armadyl_mage rejects ordinary slash melee while airborne
000263	PASS	all Godsword shards, swords, hilts and tools resolve
000264	PASS	ags retains sa_kind 12 and exact dispatch [label,pvm_ags_sa]
000265	PASS	bgs retains sa_kind 13 and exact dispatch [label,pvm_bgs_sa]
000266	PASS	sgs retains sa_kind 5 and exact dispatch [label,pvm_sgs_sa]
000267	PASS	zgs retains sa_kind 14 and exact dispatch [label,pvm_zgs_sa]
000268	PASS	ancient_godsword retains sa_kind 48 and exact dispatch [label,pvm_ancient_godsword_sa]
000269	PASS	Godsword anvil rejects level 79 without consuming shards
000270	PASS	Godsword anvil requires a Smithing hammer without consuming shards
000271	PASS	Godsword pair route 0 executes through the anvil
000272	PASS	Godsword pair route 0 makes its exact piece for 100 XP
000273	PASS	Godsword completion route 0 executes through the anvil
000274	PASS	Godsword completion route 0 makes one blade for 200 total XP
000275	PASS	Godsword pair route 1 executes through the anvil
000276	PASS	Godsword pair route 1 makes its exact piece for 100 XP
000277	PASS	Godsword completion route 1 executes through the anvil
000278	PASS	Godsword completion route 1 makes one blade for 200 total XP
000279	PASS	Godsword pair route 2 executes through the anvil
000280	PASS	Godsword pair route 2 makes its exact piece for 100 XP
000281	PASS	Godsword completion route 2 executes through the anvil
000282	PASS	Godsword completion route 2 makes one blade for 200 total XP
000283	PASS	three loose Godsword shards become one blade for 200 XP
000284	PASS	godwars_godsword_hilt_armadyl attaches to a blade without a Smithing gate
000285	PASS	ags dismantles back into its exact blade and hilt
000286	PASS	godwars_godsword_hilt_bandos attaches to a blade without a Smithing gate
000287	PASS	bgs dismantles back into its exact blade and hilt
000288	PASS	godwars_godsword_hilt_saradomin attaches to a blade without a Smithing gate
000289	PASS	sgs dismantles back into its exact blade and hilt
000290	PASS	godwars_godsword_hilt_zamorak attaches to a blade without a Smithing gate
000291	PASS	zgs dismantles back into its exact blade and hilt
000292	PASS	godwars_godsword_hilt_ancient attaches to a blade without a Smithing gate
000293	PASS	ancient_godsword dismantles back into its exact blade and hilt
000294	PASS	a full inventory refuses Godsword dismantling atomically
000295	PASS	Healing Blade resolves exact assets (anim 7640, graphic 1209, sound 3869)
000296	PASS	Healing Blade launches exact animation, graphic, and sound
000297	PASS	Healing Blade roll 0 restores 10 HP/5 Prayer (got 10/5)
000298	PASS	Healing Blade roll 1 restores 10 HP/5 Prayer (got 10/5)
000299	PASS	Healing Blade roll 20 restores 10 HP/5 Prayer (got 10/5)
000300	PASS	Healing Blade roll 21 restores 11 HP/6 Prayer (got 11/6)
000301	PASS	Healing Blade roll 60 restores 30 HP/15 Prayer (got 30/15)
000302	PASS	Ice Cleave miss binds 0 ticks and successful zero binds 32 ticks (expected 0/32)
000303	PASS	Ancient godsword resolves Blood Sacrifice queue/assets (anim 9171, launch 1996, blood 2003, sound 2911)
000304	PASS	Blood Sacrifice launches exact animation, graphic, and sound
000305	PASS	Blood Sacrifice heal case 0 returns 15 (got 15)
000306	PASS	Blood Sacrifice heal case 1 returns 25 (got 25)
000307	PASS	Blood Sacrifice heal case 2 returns 10 (got 10)
000308	PASS	Nex spawns as a high-HP Blood Sacrifice target
000309	PASS	two Blood Sacrifice marks arm independently
000310	PASS	two marks retain target/base-HP/instance for exactly eight real ticks
000311	PASS	Blood Sacrifice cleanup clears every stacked mark
000312	PASS	an unescaped mark deals 25 typeless damage, shows the blood impact, and heals 25
000313	PASS	a target at least five tiles away escapes Blood Sacrifice
000314	PASS	leaving the marked map instance cancels Blood Sacrifice
000315	PASS	a 10-HP target transfers only the 10 damage actually dealt
000316	PASS	an active Blood Sacrifice blocks Ancient godsword dismantling atomically
000317	PASS	godwars_armadyl_bodyguard_geerin has authored runtime combat, cadence, and three animations
000318	PASS	godwars_spiritual_armadyl_mage has authored runtime combat, cadence, and three animations
000319	PASS	godwars_armadyl_avatar has authored runtime combat, cadence, and three animations
000320	PASS	godwars_armadyl_female_armor02_red has authored runtime combat, cadence, and three animations
000321	PASS	godwars_armadyl_bodyguard_kilisa has authored runtime combat, cadence, and three animations
000322	PASS	godwars_armadyl_male_armor02_red has authored runtime combat, cadence, and three animations
000323	PASS	godwars_armadyl_female_armor01_red has authored runtime combat, cadence, and three animations
000324	PASS	godwars_ancient_werewolf2 has authored runtime combat, cadence, and three animations
000325	PASS	godwars_spiritual_armadyl_warrior has authored runtime combat, cadence, and three animations
000326	PASS	godwars_armadyl_male_armor03_red has authored runtime combat, cadence, and three animations
000327	PASS	godwars_armadyl_bodyguard_skree has authored runtime combat, cadence, and three animations
000328	PASS	godwars_armadyl_male_armor01_red has authored runtime combat, cadence, and three animations
000329	PASS	godwars_spiritual_zamorak_ranger has authored runtime combat, cadence, and three animations
000330	PASS	godwars_spiritual_armadyl_ranger has authored runtime combat, cadence, and three animations
000331	PASS	godwars_bloodveld has authored runtime combat, cadence, and three animations
000332	PASS	godwars_armadyl_female_armor02_green has authored runtime combat, cadence, and three animations
000333	PASS	godwars_ancient_werewolf1 has authored runtime combat, cadence, and three animations
000334	PASS	godwars_armadyl_female_armor01_green has authored runtime combat, cadence, and three animations
000335	PASS	godwars_armadyl_female_armor02_blue has authored runtime combat, cadence, and three animations
000336	PASS	godwars_armadyl_male_armor03_green has authored runtime combat, cadence, and three animations
000337	PASS	godwars_armadyl_female_armor01_blue has authored runtime combat, cadence, and three animations
000338	PASS	godwars_armadyl_male_armor01_green has authored runtime combat, cadence, and three animations
000339	PASS	godwars_icefiend_1 has authored runtime combat, cadence, and three animations
000340	PASS	godwars_armadyl_female_armor03_blue has authored runtime combat, cadence, and three animations
000341	PASS	godwars_armadyl_male_armor02_green has authored runtime combat, cadence, and three animations
000342	PASS	godwars_armadyl_male_armor02_blue has authored runtime combat, cadence, and three animations
000343	PASS	godwars_gorak has authored runtime combat, cadence, and three animations
000344	PASS	godwars_ancient_vampire has authored runtime combat, cadence, and three animations
000345	PASS	godwars_pyrefiend_1 has authored runtime combat, cadence, and three animations
000346	PASS	godwars_armadyl_male_armor01_blue has authored runtime combat, cadence, and three animations
000347	PASS	godwars_spiritual_bandos_mage has authored runtime combat, cadence, and three animations
000348	PASS	godwars_spiritual_bandos_warrior has authored runtime combat, cadence, and three animations
000349	PASS	godwars_ancient_jogre has authored runtime combat, cadence, and three animations
