Function                                             CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Instructions Retired  Microarchitecture Usage(%)  Microarchitecture Usage:Microarchitecture Usage(%)  Microarchitecture Usage:CPI Rate  Module                                 Function (Full)                                                                                                                               Source File                      Start Address
draw_texture_scanline_opaque_blend_ordered_blerp8      0.337s                   0.337s                  0s                      0s         4,709,100,000                       43.0%                                               43.0%                             0.280  scene_tile_test                        draw_texture_scanline_opaque_blend_ordered_blerp8                                                                                             texture_blend_branching.u.c      0x26329      
draw_texture_scanline_opaque_blend_ordered_blerp8      0.337s                   0.337s                  0s                      0s         4,276,800,000                       44.0%                                               44.0%                             0.285  scene_tile_test                        draw_texture_scanline_opaque_blend_ordered_blerp8                                                                                             texture_blend_branching.u.c      0x27226      
project_vertices_terrain_textured                      0.304s                   0.304s                  0s                      0s         1,445,400,000                       15.6%                                               15.6%                             0.815  scene_tile_test                        project_vertices_terrain_textured                                                                                                             render.c                         0x29fc0      
iter_render_scene_ops_next                             0.257s                   0.257s                  0s                      0s         1,676,400,000                       19.1%                                               19.1%                             0.683  scene_tile_test                        iter_render_scene_ops_next                                                                                                                    render.c                         0x2fcd0      
iter_render_model_next                                 0.242s                   0.242s                  0s                      0s         2,524,500,000                       28.9%                                               28.9%                             0.437  scene_tile_test                        iter_render_model_next                                                                                                                        render.c                         0x31010      
__memset_avx2_unaligned_erms                           0.241s                   0.241s                  0s                      0s           122,100,000                        3.7%                                                3.7%                             7.027  libc.so.6                              __memset_avx2_unaligned_erms                                                                                                                  memset-vec-unaligned-erms.S      0x189400     
raster_texture_opaque_blend_ordered_blerp8             0.165s                   0.165s                  0s                      0s         2,125,200,000                       41.0%                                               41.0%                             0.321  scene_tile_test                        raster_texture_opaque_blend_ordered_blerp8                                                                                                    texture_blend_branching.u.c      0x258c0      
animate                                                0.164s                   0.164s                  0s                      0s         1,009,800,000                       19.5%                                               19.5%                             0.618  scene_tile_test                        animate                                                                                                                                       anim.c                           0x324e9      
draw_texture_scanline_opaque_blend_ordered_blerp8      0.156s                   0.156s                  0s                      0s         1,471,800,000                       38.0%                                               38.0%                             0.417  scene_tile_test                        draw_texture_scanline_opaque_blend_ordered_blerp8                                                                                             texture_blend_branching.u.c      0x26ac4      
draw_texture_scanline_opaque_blend_ordered_blerp8      0.143s                   0.143s                  0s                      0s         1,590,600,000                       35.5%                                               35.5%                             0.411  scene_tile_test                        draw_texture_scanline_opaque_blend_ordered_blerp8                                                                                             texture_blend_branching.u.c      0x25be5      
get_next_block                                         0.140s                   0.140s                  0s                      0s           943,800,000                       17.4%                                               17.4%                             0.626  scene_tile_test                        get_next_block                                                                                                                                bzip.c                           0x113cc0     
render_scene_tile                                      0.131s                   0.131s                  0s                      0s         1,412,400,000                       24.3%                                               24.3%                             0.418  scene_tile_test                        render_scene_tile                                                                                                                             render.c                         0x29a80      
func@0x3cd250                                          0.113s                   0.113s                  0s                      0s           283,800,000                       10.2%                                               10.2%                             1.547  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x3cd250                                                                                                                                 [Unknown]                        0x3cd250     
raster_linear_opaque_blend_lerp8                       0.109s                   0.109s                  0s                      0s         1,966,800,000                       56.3%                                               56.3%                             0.211  scene_tile_test                        raster_linear_opaque_blend_lerp8                                                                                                              texture_simd.u.c                 0x26331      
project_vertices_array_noyaw_avx2                      0.098s                   0.098s                  0s                      0s           359,700,000                       16.8%                                               16.8%                             1.000  scene_tile_test                        project_vertices_array_noyaw_avx2                                                                                                             projection_simd.u.c              0x254fd      
project_orthographic_fast                              0.094s                   0.094s                  0s                      0s           594,000,000                       16.9%                                               16.9%                             0.822  scene_tile_test                        project_orthographic_fast                                                                                                                     projection.u.c                   0x29fc0      
render_scene_tile                                      0.083s                   0.083s                  0s                      0s           580,800,000                       25.3%                                               25.3%                             0.602  scene_tile_test                        render_scene_tile                                                                                                                             render.c                         0x2d750      
project_orthographic_fast                              0.078s                   0.078s                  0s                      0s         1,359,600,000                       78.3%                                               78.3%                             0.214  scene_tile_test                        project_orthographic_fast                                                                                                                     projection.u.c                   0x2a0e0      
shade_blend                                            0.076s                   0.076s                  0s                      0s           782,100,000                       42.2%                                               42.2%                             0.228  scene_tile_test                        shade_blend                                                                                                                                   shade.h                          0x2673b      
frustrum_cullmap_get                                   0.069s                   0.069s                  0s                      0s         1,026,300,000                       82.5%                                               82.5%                             0.283  scene_tile_test                        frustrum_cullmap_get                                                                                                                          frustrum_cullmap.c               0xa790       
project_divide                                         0.069s                   0.069s                  0s                      0s           273,900,000                       22.0%                                               22.0%                             1.229  scene_tile_test                        project_divide                                                                                                                                projection.u.c                   0x2a05b      
raster_linear_opaque_blend_lerp8                       0.069s                   0.069s                  0s                      0s         1,369,500,000                       53.2%                                               53.2%                             0.214  scene_tile_test                        raster_linear_opaque_blend_lerp8                                                                                                              texture_simd.u.c                 0x2722e      
read_bunzip                                            0.069s                   0.069s                  0s                      0s           706,200,000                       32.0%                                               32.0%                             0.388  scene_tile_test                        read_bunzip                                                                                                                                   bzip.c                           0x114a6d     
project_vertices_terrain_textured                      0.066s                   0.066s                  0s                      0s           735,900,000                       36.7%                                               36.7%                             0.372  scene_tile_test                        project_vertices_terrain_textured                                                                                                             render.c                         0x2a1c7      
div3_fast                                              0.064s                   0.064s                  0s                      0s           290,400,000                       22.7%                                               22.7%                             0.932  scene_tile_test                        div3_fast                                                                                                                                     render.c                         0x30339      
shade_blend                                            0.064s                   0.064s                  0s                      0s         1,013,100,000                       54.9%                                               54.9%                             0.238  scene_tile_test                        shade_blend                                                                                                                                   shade.h                          0x2768f      
face_alpha                                             0.063s                   0.063s                  0s                      0s           372,900,000                       40.9%                                               40.9%                             0.469  scene_tile_test                        face_alpha                                                                                                                                    render_face_alpha.u.c            0x23f04      
draw_scanline_flat_s4                                  0.062s                   0.062s                  0s                      0s           211,200,000                        9.2%                                                9.2%                             1.156  scene_tile_test                        draw_scanline_flat_s4                                                                                                                         flat.u.c                         0x2a6ae      
memset                                                 0.060s                   0.060s                  0s                      0s            36,300,000                                                                                                             5.455  scene_tile_test                        memset                                                                                                                                        string_fortified.h               0x2e239      
draw_scanline_flat_s4                                  0.057s                   0.057s                  0s                      0s           267,300,000                       12.7%                                               12.7%                             1.037  scene_tile_test                        draw_scanline_flat_s4                                                                                                                         flat.u.c                         0x2a505      
project_vertices_model_textured                        0.057s                   0.057s                  0s                      0s           775,500,000                       75.1%                                               75.1%                             0.226  scene_tile_test                        project_vertices_model_textured                                                                                                               render.c                         0x24a00      
raster_flat_s4                                         0.048s                   0.048s                  0s                      0s           346,500,000                       10.5%                                               10.5%                             0.543  scene_tile_test                        raster_flat_s4                                                                                                                                flat.u.c                         0x2a3d0      
_mm256_set_epi32                                       0.045s                   0.045s                  0s                      0s           293,700,000                       27.6%                                               27.6%                             0.764  scene_tile_test                        _mm256_set_epi32                                                                                                                              avxintrin.h                      0x26573      
_mm256_set_epi32                                       0.044s                   0.044s                  0s                      0s           254,100,000                       26.1%                                               26.1%                             0.610  scene_tile_test                        _mm256_set_epi32                                                                                                                              avxintrin.h                      0x27441      
func@0x1a6330                                          0.041s                   0.041s                  0s                      0s           141,900,000                        6.6%                                                6.6%                             1.186  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1a6330                                                                                                                                 [Unknown]                        0x1a6330     
_mm256_add_epi32                                       0.038s                   0.038s                  0s                      0s            16,500,000                        3.6%                                                3.6%                             7.800  scene_tile_test                        _mm256_add_epi32                                                                                                                              avx2intrin.h                     0x25598      
raster_linear_opaque_blend_lerp8                       0.038s                   0.038s                  0s                      0s           617,100,000                       56.2%                                               56.2%                             0.305  scene_tile_test                        raster_linear_opaque_blend_lerp8                                                                                                              texture_simd.u.c                 0x25bed      
func@0x3cd380                                          0.037s                   0.037s                  0s                      0s            82,500,000                        7.6%                                                7.6%                             1.840  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x3cd380                                                                                                                                 [Unknown]                        0x3cd380     
raster_texture_scanline_opaque_lerp8                   0.037s                   0.037s                  0s                      0s           534,600,000                       52.0%                                               52.0%                             0.272  scene_tile_test                        raster_texture_scanline_opaque_lerp8                                                                                                          texture.u.c                      0x22340      
int_queue_pop                                          0.034s                   0.034s                  0s                      0s           158,400,000                       32.4%                                               32.4%                             0.750  scene_tile_test                        int_queue_pop                                                                                                                                 render.c                         0x2dc5e      
raster_linear_opaque_blend_lerp8                       0.034s                   0.034s                  0s                      0s           491,700,000                       54.0%                                               54.0%                             0.268  scene_tile_test                        raster_linear_opaque_blend_lerp8                                                                                                              texture_simd.u.c                 0x26acc      
tinfl_decompress                                       0.034s                   0.034s                  0s                      0s           310,200,000                       22.7%                                               22.7%                             0.564  scene_tile_test                        tinfl_decompress                                                                                                                              miniz.c                          0x11d7b0     
ht_lookuph                                             0.033s                   0.033s                  0s                      0s            82,500,000                        8.2%                                                8.2%                             2.080  scene_tile_test                        ht_lookuph                                                                                                                                    ht.c                             0x349e0      
project_divide                                         0.033s                   0.033s                  0s                      0s            92,400,000                        8.6%                                                8.6%                             2.000  scene_tile_test                        project_divide                                                                                                                                projection.u.c                   0x2a099      
func@0x71200                                           0.031s                   0.031s                  0s                      0s           643,500,000                       49.6%                                               49.6%                             0.154  libSDL2-2.0.so.0.3000.0                func@0x71200                                                                                                                                  [Unknown]                        0x71200      
func@0x765e0                                           0.030s                   0.030s                  0s                      0s           686,400,000                       58.4%                                               58.4%                             0.202  libSDL2-2.0.so.0.3000.0                func@0x765e0                                                                                                                                  [Unknown]                        0x765e0      
shade_blend                                            0.030s                   0.030s                  0s                      0s           330,000,000                       38.5%                                               38.5%                             0.250  scene_tile_test                        shade_blend                                                                                                                                   shade.h                          0x26ee1      
_mm256_add_epi32                                       0.028s                   0.028s                  0s                      0s            16,500,000                        1.6%                                                1.6%                             7.600  scene_tile_test                        _mm256_add_epi32                                                                                                                              avx2intrin.h                     0x2559e      
_mm256_set_epi32                                       0.028s                   0.028s                  0s                      0s            56,100,000                        4.9%                                                4.9%                             3.000  scene_tile_test                        _mm256_set_epi32                                                                                                                              avxintrin.h                      0x22532      
raster_gouraud_alpha_s4                                0.028s                   0.028s                  0s                      0s           151,800,000                       17.0%                                               17.0%                             0.652  scene_tile_test                        raster_gouraud_alpha_s4                                                                                                                       gouraud.u.c                      0x23f23      
_mm256_set_epi32                                       0.027s                   0.027s                  0s                      0s           115,500,000                       18.7%                                               18.7%                             0.914  scene_tile_test                        _mm256_set_epi32                                                                                                                              avxintrin.h                      0x26d0f      
project_vertices_array                                 0.024s                   0.024s                  0s                      0s           287,100,000                       34.6%                                               34.6%                             0.322  scene_tile_test                        project_vertices_array                                                                                                                        projection_simd.u.c              0x24f58      
int_queue_push_wrap                                    0.022s                   0.022s                  0s                      0s            36,300,000                       26.7%                                               26.7%                             1.909  scene_tile_test                        int_queue_push_wrap                                                                                                                           render.c                         0x2e609      
shade_blend                                            0.022s                   0.022s                  0s                      0s           303,600,000                       29.0%                                               29.0%                             0.337  scene_tile_test                        shade_blend                                                                                                                                   shade.h                          0x25fcb      
ImFont::RenderText                                     0.020s                   0.020s                  0s                      0s           297,000,000                       41.3%                                               41.3%                             0.267  scene_tile_test                        ImFont::RenderText(ImDrawList*, float, ImVec2 const&, unsigned int, ImVec4 const&, char const*, char const*, float, bool)                     imgui_draw.cpp                   0x68a4       
coord_for_grid                                         0.020s                   0.020s                  0s                      0s           231,000,000                       47.3%                                               47.3%                             0.100  scene_tile_test                        coord_for_grid                                                                                                                                frustrum_cullmap.c               0xa810       
[Outside any known module]                             0.016s                   0.016s                  0s                      0s                     0                        7.6%                                                7.6%                                    [Unknown]                              [Outside any known module]                                                                                                                    [Unknown]                        0            
_mm256_set_epi32                                       0.016s                   0.016s                  0s                      0s           132,000,000                       29.9%                                               29.9%                             0.525  scene_tile_test                        _mm256_set_epi32                                                                                                                              avxintrin.h                      0x25dfe      
project_orthographic_fast                              0.016s                   0.016s                  0s                      0s           300,300,000                      100.0%                                              100.0%                             0.308  scene_tile_test                        project_orthographic_fast                                                                                                                     projection.u.c                   0x24a1b      
ImGui::Begin                                           0.015s                   0.015s                  0s                      0s            19,800,000                        2.2%                                                2.2%                             2.333  scene_tile_test                        ImGui::Begin(char const*, bool*, int)                                                                                                         imgui.cpp                        0x613b0      
map_tile_coord_to_chunk_coord                          0.015s                   0.015s                  0s                      0s           135,300,000                      100.0%                                              100.0%                             0.439  scene_tile_test                        map_tile_coord_to_chunk_coord                                                                                                                 maps.h                           0x2fd43      
func@0x11760e0                                         0.014s                   0.014s                  0s                      0s            13,200,000                        3.1%                                                3.1%                             6.750  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x11760e0                                                                                                                                [Unknown]                        0x11760e0    
httex_cache_lookup                                     0.014s                   0.014s                  0s                      0s            79,200,000                       19.0%                                               19.0%                             0.667  scene_tile_test                        httex_cache_lookup                                                                                                                            scene_cache.c                    0x341e1      
int_queue_push_wrap                                    0.014s                   0.014s                  0s                      0s            72,600,000                       23.5%                                               23.5%                             0.909  scene_tile_test                        int_queue_push_wrap                                                                                                                           render.c                         0x2e581      
clamp                                                  0.013s                   0.013s                  0s                      0s            99,000,000                       57.8%                                               57.8%                             0.400  scene_tile_test                        clamp                                                                                                                                         clamp.h                          0x2761d      
clamp                                                  0.013s                   0.013s                  0s                      0s           224,400,000                       45.6%                                               45.6%                             0.368  scene_tile_test                        clamp                                                                                                                                         clamp.h                          0x264a1      
raster_linear_opaque_blend_lerp8                       0.013s                   0.013s                  0s                      0s           257,400,000                       68.2%                                               68.2%                             0.218  scene_tile_test                        raster_linear_opaque_blend_lerp8                                                                                                              texture_simd.u.c                 0x22406      
_mm256_srli_epi16                                      0.012s                   0.012s                  0s                      0s            39,600,000                       47.2%                                               47.2%                             1.000  scene_tile_test                        _mm256_srli_epi16                                                                                                                             avx2intrin.h                     0x2667f      
func@0x1090be0                                         0.012s                   0.012s                  0s                      0s             9,900,000                        6.8%                                                6.8%                             5.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1090be0                                                                                                                                [Unknown]                        0x1090be0    
_int_malloc                                            0.011s                   0.011s                  0s                      0s            89,100,000                       16.3%                                               16.3%                             0.741  libc.so.6                              _int_malloc                                                                                                                                   malloc.c                         0xab570      
func@0x108f4a0                                         0.011s                   0.011s                  0s                      0s             3,300,000                        2.2%                                                2.2%                            10.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x108f4a0                                                                                                                                [Unknown]                        0x108f4a0    
func@0x11927e0                                         0.011s                   0.011s                  0s                      0s            29,700,000                       11.9%                                               11.9%                             1.889  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x11927e0                                                                                                                                [Unknown]                        0x11927e0    
func@0x11943c7                                         0.011s                   0.011s                  0s                      0s            39,600,000                        9.6%                                                9.6%                             0.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x11943c7                                                                                                                                [Unknown]                        0x11943c7    
