id,name,examine,cost,is_members,tradeable,ge_tradeable,stacking_behaviour,team,weight,category,shift_click_drop_index,noted_id,noted_template,placeholder_id,placeholder_template,bought_id,bought_template,inv_model,wearpos_1,wearpos_2,wearpos_3,male_model_0,male_model_1,male_model_2,male_head_model,male_head_model_2,male_offset,female_model_0,female_model_1,female_model_2,female_head_model,female_head_model_2,female_offset,zoom2d,xan2d,yan2d,zan2d,offset_x2d,offset_y2d,resize_x,resize_y,resize_z,ambient,contrast,recolors,retextures,ground_op1,ground_op2,ground_op3,ground_op4,ground_op5,inv_op1,inv_op2,inv_op3,inv_op4,inv_op5,stack_ids,stack_counts,params,record_bytes,decoded_bytes,stop_opcode
10,Cannon barrels,The barrels of the multicannon.,187500,true,true,true,0,0,15000,75,-2,11,-1,17859,-1,-1,-1,2361,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,188,1872,0,0,-3,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,81,81,-1
11,null,,1,false,true,false,0,0,0,0,-2,10,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
12,Cannon furnace,This powers the multicannon.,187500,true,true,true,0,0,5000,75,-2,13,-1,17860,-1,-1,-1,2769,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1170,160,1780,0,2,-19,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,84,84,-1
13,null,,1,false,true,false,0,0,0,0,-2,12,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
14,Railing,A metal railing replacement.,1,true,false,false,1,0,2000,0,-2,-1,-1,17861,-1,-1,-1,4877,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1730,4,1976,212,4,-3,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,70,70,-1
15,Holy table napkin,A cloth given to me by Sir Galahad.,10,true,false,false,0,0,28,0,-2,-1,-1,16938,-1,-1,-1,2443,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,670,440,1932,0,-3,10,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,88,88,-1
16,Magic whistle,A small tin whistle.,10,true,false,false,0,0,5,0,-2,-1,-1,16939,-1,-1,-1,2433,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,490,152,1208,0,0,-2,128,128,128,0,0,,,,,,,,Blow,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,72,72,-1
17,Grail bell,I wonder what happens when I ring it?,10,true,false,false,0,0,28,0,-2,-1,-1,16940,-1,-1,-1,2536,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,830,1132,776,0,2,0,128,128,128,0,0,11179>103,,,,,,,Ring,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,92,92,-1
18,Magic gold feather,It will point the way for me.,2,true,false,false,0,0,5,0,-2,-1,-1,16941,-1,-1,-1,2476,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,700,428,692,0,4,10,128,128,128,0,0,127>10820,,,,,,,Blow-on,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,98,98,-1
19,Holy grail,A holy and powerful artefact.,3,true,false,false,0,0,85,0,-2,-1,-1,16942,-1,-1,-1,2623,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,670,116,2044,0,0,0,128,128,128,0,0,,,,,,,,,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,78,78,-1
20,White cog,A cog from some machinery.,1,true,false,false,0,0,1000,0,-2,-1,-1,16599,-1,-1,-1,2351,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,292,2040,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,57,57,-1
21,Black cog,A cog from some machinery.,1,true,false,false,0,0,1000,0,-2,-1,-1,16600,-1,-1,-1,2351,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,292,2040,0,0,0,128,128,128,0,0,127>0,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,63,63,-1
22,Blue cog,A cog from some machinery.,1,true,false,false,0,0,1000,0,-2,-1,-1,16601,-1,-1,-1,2351,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,292,2040,0,0,0,128,128,128,0,0,127>43968,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,62,62,-1
23,Red cog,A cog from some machinery.,1,true,false,false,0,0,1000,0,-2,-1,-1,16602,-1,-1,-1,2351,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,292,2040,0,0,0,128,128,128,0,0,127>960,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,61,61,-1
24,Rat poison,Doesn't look very tasty.,1,true,false,false,0,0,141,0,-2,-1,-1,16603,-1,-1,-1,2714,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,900,68,1828,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,59,59,-1
25,Red vine worm,Wormy.,1,true,false,false,1,0,10,0,-2,-1,-1,16943,-1,-1,-1,2519,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,990,340,188,0,9,9,128,128,128,0,0,5698>960,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,57,57,-1
26,Fishing trophy,Hemenster fishing contest trophy.,1,true,false,false,0,0,85,0,-2,-1,-1,16944,-1,-1,-1,14343,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1190,210,1931,0,-5,-11,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,78,78,-1
27,Fishing pass,Pass to the Hemenster fishing contest.,1,true,false,false,0,0,6,0,-2,-1,-1,16945,-1,-1,-1,14342,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1360,498,1881,0,-4,1,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,81,81,-1
28,Insect repellent,Drives away all known 6 legged creatures.,3,true,true,true,0,0,28,0,-2,29,-1,16521,-1,-1,-1,2684,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1430,124,1836,0,0,-6,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,93,93,-1
29,null,,1,false,true,false,0,0,0,0,-2,28,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
30,Bucket of wax,It's a bucket of wax.,6,true,true,true,0,0,2500,0,-2,31,-1,16522,-1,-1,-1,2504,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1020,204,1660,0,0,-18,128,128,128,0,0,39834>7766,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,76,76,-1
31,null,,1,false,true,false,0,0,0,0,-2,30,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
32,Lit black candle,A lit spooky candle.,3,true,false,false,0,0,28,0,-2,-1,-1,16523,-1,-1,-1,2575,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,570,168,1864,0,0,-2,128,128,128,0,0,127>8,,,,,,,Extinguish,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,87,87,-1
33,Lit candle,A lit candle.,3,true,false,false,0,0,28,0,-2,-1,-1,16524,-1,-1,-1,2575,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,570,168,1864,0,0,-2,128,128,128,0,0,,,,,,,,Extinguish,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,68,68,-1
34,Null,null,0,false,false,false,1,0,28,15,-2,-1,-1,-1,-1,-1,-1,2575,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,570,168,1864,0,0,-2,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,41,41,-1
35,Excalibur,This used to belong to King Arthur.,200,true,false,false,0,0,2267,21,-2,-1,-1,16525,-1,-1,-1,2458,3,-1,-1,501,-1,-1,-1,-1,0,501,-1,-1,-1,-1,6,1500,384,932,0,6,17,128,128,128,0,0,,,,,,,,,Wield,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,10=25;11=0;14=5;13=0;0=20;1=29;2=-2;4=0;3=0;5=0;6=3;7=2;9=0;8=1;2713=390;2714=390;2715=386;2716=390;2636=388;2710=1;2709=1000,270,270,-1
36,Candle,A candle.,3,true,true,true,0,0,28,0,-2,37,-1,16526,-1,-1,-1,2467,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,570,168,1864,0,0,-2,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,51,51,-1
37,null,,1,false,true,false,0,0,0,0,-2,36,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
38,Black candle,A spooky candle.,3,true,false,false,0,0,28,0,-2,-1,-1,16527,-1,-1,-1,2467,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,570,168,1864,0,0,-2,128,128,128,0,0,127>8,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,67,67,-1
39,Bronze arrowtips,I can make some arrows with these.,1,true,true,true,1,0,4,968,-2,-1,-1,18222,-1,-1,-1,2551,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,780,440,176,0,4,4,128,128,128,0,0,61>5652 57>5652,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,95,95,-1
40,Iron arrowtips,I can make some arrows with these.,2,true,true,true,1,0,4,968,-2,-1,-1,18223,-1,-1,-1,2551,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,780,440,176,0,4,4,128,128,128,0,0,61>33 57>33,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,98,98,-1
41,Steel arrowtips,I can make some arrows with these.,6,true,true,true,1,0,4,968,-2,-1,-1,18224,-1,-1,-1,2551,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,780,440,176,0,4,4,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,89,89,-1
42,Mithril arrowtips,I can make some arrows with these.,16,true,true,true,1,0,3,968,-2,-1,-1,18225,-1,-1,-1,2551,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,780,440,176,0,4,4,128,128,128,0,0,61>43297 57>43297,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,101,101,-1
43,Adamant arrowtips,I can make some arrows with these.,40,true,true,true,1,0,5,968,-2,-1,-1,18226,-1,-1,-1,2551,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,780,440,176,0,4,4,128,128,128,0,0,61>21662 57>21662,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,101,101,-1
44,Rune arrowtips,I can make some arrows with these.,200,true,true,true,1,0,4,968,-2,-1,-1,18227,-1,-1,-1,2551,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,780,440,176,0,4,4,128,128,128,0,0,61>36133 57>36133,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,98,98,-1
45,Opal bolt tips,Opal bolt tips.,7,true,true,true,1,0,4,530,-2,-1,-1,15182,-1,-1,-1,16857,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,300,453,66,0,1,0,128,128,128,0,0,10465>10465,,,,,,,,,,,,9199 9200 9201 9202 0 0 0 0 0 0,2 3 4 5 0 0 0 0 0 0,,92,92,-1
46,Pearl bolt tips,Pearl bolt tips.,12,true,true,true,1,0,4,530,-2,-1,-1,15183,-1,-1,-1,16857,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,300,453,66,0,1,0,128,128,128,0,0,,,,,,,,,,,,,9199 9200 9201 9202 0 0 0 0 0 0,2 3 4 5 0 0 0 0 0 0,,88,88,-1
47,Barb bolttips,I can make bolts with these.,95,true,true,true,1,0,4,530,-2,-1,-1,15184,-1,-1,-1,2445,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,724,492,332,0,1,1,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,81,81,-1
48,Longbow (u),I need to find a string for this.,60,true,true,true,0,0,1332,0,-2,49,-1,18229,-1,-1,-1,2401,-1,-1,-1,26609,-1,-1,-1,-1,0,26609,-1,-1,-1,-1,6,1820,460,1004,0,2,15,128,128,128,0,0,6674>6049,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,107,107,-1
49,null,,1,false,true,false,0,0,0,0,-2,48,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
50,Shortbow (u),I need to find a string for this.,23,true,true,true,0,0,992,0,-2,51,-1,18230,-1,-1,-1,2435,-1,-1,-1,26610,-1,-1,-1,-1,0,26610,-1,-1,-1,-1,6,1200,508,124,0,7,2,128,128,128,0,0,6674>6049,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,108,108,-1
51,null,,1,false,true,false,0,0,0,0,-2,50,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
52,Arrow shaft,A wooden arrow shaft.,1,true,true,true,1,0,10,0,-2,-1,-1,18231,-1,-1,-1,9032,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1220,216,100,0,6,-29,128,128,128,0,0,,,,,,,,,,,,,6440 6441 6442 6443 0 0 0 0 0 0,2 3 4 5 0 0 0 0 0 0,,84,84,-1
53,Headless arrow,A wooden arrow shaft with flights attached.,1,true,true,true,1,0,12,0,-2,-1,-1,18232,-1,-1,-1,9028,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1220,216,100,0,6,-29,128,128,128,0,0,,,,,,,,,,,,,6444 6445 6446 6447 0 0 0 0 0 0,2 3 4 5 0 0 0 0 0 0,,109,109,-1
54,Oak shortbow (u),An unstrung oak shortbow; I need a bowstring for this.,50,true,true,true,0,0,992,0,-2,55,-1,18233,-1,-1,-1,2435,-1,-1,-1,26610,-1,-1,-1,-1,0,26610,-1,-1,-1,-1,6,1200,508,124,0,7,2,128,128,128,0,0,6674>8111,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,133,133,-1
55,null,,1,false,true,false,0,0,0,0,-2,54,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
56,Oak longbow (u),An unstrung oak longbow; I need a bowstring for this.,80,true,true,true,0,0,1332,0,-2,57,-1,18234,-1,-1,-1,2401,-1,-1,-1,26609,-1,-1,-1,-1,0,26609,-1,-1,-1,-1,6,1820,460,1004,0,2,15,128,128,128,0,0,6674>8111,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,131,131,-1
57,null,,1,false,true,false,0,0,0,0,-2,56,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
58,Willow longbow (u),An unstrung willow longbow; I need a bowstring for this.,160,true,true,true,0,0,1332,0,-2,59,-1,18235,-1,-1,-1,2401,-1,-1,-1,26609,-1,-1,-1,-1,0,26609,-1,-1,-1,-1,6,1820,460,1004,0,2,15,128,128,128,0,0,6674>9903,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,137,137,-1
59,null,,1,false,true,false,0,0,0,0,-2,58,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
60,Willow shortbow (u),An unstrung willow shortbow; I need a bowstring for this.,100,true,true,true,0,0,992,0,-2,61,-1,18236,-1,-1,-1,2435,-1,-1,-1,26610,-1,-1,-1,-1,0,26610,-1,-1,-1,-1,6,1200,508,124,0,7,2,128,128,128,0,0,6674>9903,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,139,139,-1
61,null,,1,false,true,false,0,0,0,0,-2,60,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
62,Maple longbow (u),An unstrung maple longbow; I need a bowstring for this.,320,true,true,true,0,0,1332,0,-2,63,-1,18237,-1,-1,-1,2401,-1,-1,-1,26609,-1,-1,-1,-1,0,26609,-1,-1,-1,-1,6,1820,460,1004,0,2,15,128,128,128,0,0,6674>2250,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,135,135,-1
63,null,,1,false,true,false,0,0,0,0,-2,62,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
64,Maple shortbow (u),An unstrung maple shortbow; I need a bowstring for this.,200,true,true,true,0,0,992,0,-2,65,-1,18238,-1,-1,-1,2435,-1,-1,-1,26610,-1,-1,-1,-1,0,26610,-1,-1,-1,-1,6,1200,508,124,0,7,2,128,128,128,0,0,6674>2250,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,137,137,-1
65,null,,1,false,true,false,0,0,0,0,-2,64,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
66,Yew longbow (u),An unstrung yew longbow; I need a bowstring for this.,640,true,true,true,0,0,1332,0,-2,67,-1,18239,-1,-1,-1,2401,-1,-1,-1,26609,-1,-1,-1,-1,0,26609,-1,-1,-1,-1,6,1820,460,1004,0,2,15,128,128,128,0,0,6674>9135,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,131,131,-1
67,null,,1,false,true,false,0,0,0,0,-2,66,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
68,Yew shortbow (u),An unstrung yew shortbow; I need a bowstring for this.,400,true,true,true,0,0,992,0,-2,69,-1,18240,-1,-1,-1,2435,-1,-1,-1,26610,-1,-1,-1,-1,0,26610,-1,-1,-1,-1,6,1200,508,124,0,7,2,128,128,128,0,0,6674>9135,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,434=9,133,133,-1
69,null,,1,false,true,false,0,0,0,0,-2,68,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
