dir	human_name	varp	const_not_started	const_complete	has_run_selftest	run_name	bmp_count	bmp_numbered	journal_bmp_count	leftover_count	has_reset	reset_name	boss_fight	boss_npcs	post_boss_stage	cutscene_or_instance	notes
quest_gobdip	Goblin Diplomacy	%gobdip_main	^gobdip_not_started	^gobdip_complete	yes	gobdiprun	0	?	0	0	no	?	no			yes	17 TODO/stub markers; has checked-in selftest bmps but no debugproc bmp_ found (check); stale: server/scripts/selftest/quest_gobdip has checked-in .bmp fixtures but no bmp_ debugproc exists in current scripts (drift)
quest_golem	The Golem	%golem_a	^golem_not_started	^golem_complete	no	?	0	?	0	0	yes	golem	no			no	8 TODO/stub markers
quest_grail	Holy Grail	%grail	^grail_not_started	^grail_complete	no	?	0	?	0	0	no	?	yes	black_knight_titan	queue_defeat_titan	no	41 TODO/stub markers
quest_grandtree	The Grand Tree	%grandtree	^grandtree_not_started	^grandtree_complete	no	?	0	?	0	0	no	?	yes	grandtree_foreman;grandtree_blackdemon	^grandtree_released_prison;^grandtree_obtained_lumber_order;queue_defeat_grandtree_foreman;queue_defeat_blackdemon	yes	62 TODO/stub markers
quest_grimtales	Grim Tales	%grim_quest	^grim_not_started	^grim_complete	no	?	114	yes	14	5	no	?	yes	grim_glod		yes	9 TODO/stub markers; 5 leftover items (unimplemented)
quest_handinthesand	The Hand in the Sand	%handsand_quest	^handsand_not_started	^handsand_complete	no	?	116	yes	17	4	no	?	no			yes	31 TODO/stub markers; 4 leftover items (unimplemented)
quest_haunted	Ernest the Chicken	%haunted	^haunted_not_started	^haunted_complete	yes	hauntedrun	12	no	0	0	yes	haunted	no			no	unnumbered bmp scheme (12 scenes); 9 TODO/stub markers
quest_hauntedmine	Haunted Mine	%hauntedmine	^hmq_not_started	^hmq_complete	no	?	0	?	0	0	no	?	yes	hauntedmine_boss_ghost	^hmq_dayth_killed	yes	12 TODO/stub markers
quest_hazeelcult	Hazeel Cult	%hazeelcultquest	^hazeelcult_not_started	^hazeelcult_complete	yes	hazeelcultrun	18	no	0	0	yes	hazeelcultreset	yes	alomone_hazeel_cultist_2op	queue_defeat_alomone_hazeel_cultist	yes	unnumbered bmp scheme (18 scenes); 19 TODO/stub markers
quest_heartofdarkness	The Heart of Darkness	%vmq3	^hod_not_started	^hod_complete	yes	hodrun	66	yes	5	7	yes	heartofdarkness	no			yes	4 TODO/stub markers; 7 leftover items (unimplemented)
quest_hero	Heroes' Quest	%heroquest	^hero_not_started	^hero_complete	yes	herorun	0	?	0	0	no	?	no			no	
quest_hetty	Witch's Potion	%hetty	^hetty_not_started	^hetty_complete	yes	hettyrun	0	?	0	0	no	?	no			no	7 TODO/stub markers
quest_horror	Horror from the Deep	%horror_boss_active	^horror_not_started	^horror_complete	no	?	0	?	0	0	no	?	yes	horror_dagannoth_jr4	^horror_defeated_dagjr;4	yes	1 TODO/stub markers
quest_hunt	Pirate's Treasure	%hunt	^hunt_not_started	^hunt_complete	yes	huntrun	0	?	0	0	no	?	no			no	15 TODO/stub markers
quest_icthlarin	Icthlarin's Little Helper	%ics_little_var	^ics_not_started	^ics_complete	no	?	0	?	0	0	yes	icthlarinceremony	yes	ics_little_possessedpriest	^ics_meet_god	yes	16 TODO/stub markers
quest_idesofmilk	The Ides of Milk	%cowquest	^iom_not_started	^iom_complete	yes	iomrun	0	?	0	0	yes	idesofmilk	yes	cowboss	^iom_fight;^iom_gillie_end	no	10 TODO/stub markers
quest_ikov	Temple of Ikov	%ikov	^ikov_not_started	^ikov_completed_armadyl or ^ikov_completed_lucien (two alternate endings)	yes	ikovrun	0	?	0	0	no	?	yes	ikov_lucien2_vis_noattack;ikov_firewarrior	queue_defeat_lucien2;queue_defeat_fire_warrior	yes	2 TODO/stub markers; two mutually exclusive completion states depending on player choice (side with Armadyl or Lucien)
quest_imp	Imp Catcher	%imp	^imp_not_started	^imp_complete	yes	imprun	0	?	0	0	no	?	no			yes	6 TODO/stub markers; has checked-in selftest bmps but no debugproc bmp_ found (check); stale: server/scripts/selftest/quest_imp has checked-in .bmp fixtures but no bmp_ debugproc exists in current scripts (drift)
quest_inaidofthemyreque	In Aid of the Myreque	%myreque_2_quest	^myreque2_not_started	^myreque2_complete	no	?	98	yes	9	5	no	?	no			no	8 TODO/stub markers; 5 leftover items (unimplemented)
quest_insearchofknowledge	In Search of Knowledge	%hosdun_knowledge_search	^isok_not_started	^isok_complete	yes	isokrun	57	yes	4	6	yes	insearchofknowledge	no			no	4 TODO/stub markers; 6 leftover items (unimplemented)
quest_itexam	The Dig Site	%itexamlevel	^itexam_not_started	^itexam_complete	no	?	0	?	0	0	no	?	no			yes	14 TODO/stub markers
quest_itgronigen	Observatory Quest	%itgronigen	^itgronigen_not_started	^itgronigen_complete	yes	itgronigenrun	0	?	0	0	no	?	yes	goblin_guard	^rag_collecting;2	yes	1 TODO/stub markers
quest_itwatchtower	Watchtower	%itwatchtower	^itwatchtower_not_started	^itwatchtower_complete	no	?	0	?	0	0	no	?	yes	gorad	defeat_gorad	no	
quest_junglepotion	Jungle Potion	%junglepotion	^junglepotion_not_started	^junglepotion_complete	yes	junglepotionrun	11	no	0	0	no	?	no			yes	unnumbered bmp scheme (11 scenes); 28 TODO/stub markers
quest_kingdomdivided	A Kingdom Divided	%akd	^akd_not_started	^akd_complete	yes	akdrun	77	yes	6	10	yes	kingdomdivided	no			yes	5 TODO/stub markers; 10 leftover items (unimplemented)
quest_kingsransom	King's Ransom	%kr_quest	^kr_not_started	^kr_complete	yes	kingsransomrun	103	yes	18	2	yes	kingsransom	no			yes	16 TODO/stub markers; 2 leftover items (unimplemented)
quest_landofthegoblins	Land of the Goblins	%lotg	^lotg_not_started	^lotg_complete	no	?	107	yes	11	2	no	?	no			yes	10 TODO/stub markers; 2 leftover items (unimplemented)
quest_legends	Legends' Quest	%legendsquest	^legends_not_started	^legends_complete	no	?	0	?	0	0	no	?	yes	irvig_senay;nezikchened;san_tojalon;ranalph_devere	setbit;^legends_summoned_nezikchened_fire;^legends_received_dagger;^legends_spawned_nezikchened_final	yes	2 TODO/stub markers
quest_losttribe	The Lost Tribe	%lost_tribe_quest	^lt_not_started	^lt_complete	no	?	0	?	0	0	yes	losttribedig	no			yes	16 TODO/stub markers
quest_lunardiplomacy	Lunar Diplomacy	%lunar_quest_main	^lunardip_not_started	^lunardip_complete	no	?	92	yes	14	5	no	?	yes	quest_lunar_mirror_of_player	^lunardip_games_complete;^lunardip_mirror_defeated	yes	13 TODO/stub markers; 5 leftover items (unimplemented)
quest_makingfriendswithmyarm	Making Friends with My Arm	%my2arm_status	^mf_not_started	^mf_complete	yes	mfrun	81	yes	10	9	yes	makingfriendswithmyarm	no			yes	9 TODO/stub markers; 9 leftover items (unimplemented)
quest_makinghistory	Making History	%makinghistory_prog	^makinghistory_not_started	^makinghistory_complete	no	?	0	?	0	0	no	?	no			no	11 TODO/stub markers
quest_mcannon	Dwarf Cannon	%mcannon	^mcannon_not_started	^mcannon_complete	yes	mcannonrun	12	no	0	0	no	?	no			yes	unnumbered bmp scheme (12 scenes)
quest_meatandgreet	Meat and Greet	%mag	^mg_not_started	^mg_complete	yes	mgrun	48	yes	8	6	yes	meatandgreet	no			yes	8 TODO/stub markers; 6 leftover items (unimplemented)
quest_misc	Throne of Miscellania	%misc_quest	^misc_not_started	^misc_complete	no	?	0	?	0	0	no	?	no			no	
quest_misthalinmystery	Misthalin Mystery	%mistmyst_progress	^mm_not_started	^mm_complete	yes	mmrun	61	yes	7	6	yes	misthalinmystery	no			yes	6 TODO/stub markers; 6 leftover items (unimplemented)
quest_mm	Monkey Madness I	%mm_main	^monkeymadness_not_started	^monkeymadness_complete	no	?	0	?	0	0	no	?	yes	mm_demon	^monkeymadness_completed_ch3;2;^monkeymadness_defeated_demon	yes	3 TODO/stub markers
quest_monkeymadnessii	Monkey Madness II	%mm2_progress	^mm2_not_started	^mm2_complete	yes	mm2run	93	yes	5	9	yes	monkeymadnessii	no			yes	4 TODO/stub markers; 9 leftover items (unimplemented)
quest_mortton	Shades of Mort'ton	%morttonquest	^mortton_not_started	^mortton_quest_complete	no	?	0	?	0	0	no	?	no			no	3 TODO/stub markers
quest_mountaindaughter	Mountain Daughter	%mdaughter_quest_var	^mdq_not_started	^mdq_complete	no	?	0	?	0	0	no	?	yes	mdaughter_bearman_fighter	^mdq_kendal_found;^mdq_kendal_killed	no	14 TODO/stub markers
quest_mourningsendparti	Mourning's End Part I	%mourning_quest	^mend1_not_started	^mend1_complete	yes	mend1run	0	?	0	0	yes	mend1	no			no	12 TODO/stub markers
quest_mourningsendpartii	Mourning's End Part II	%mourning_quest_main	^mend2_not_started	^mend2_complete	yes	mend2run	0	?	0	0	yes	mend2	no			no	
quest_murder	Murder Mystery	%murderquest	^murder_not_started	^murder_complete	no	?	0	?	0	0	no	?	no			no	20 TODO/stub markers
quest_myarmsbigadventure	My Arm's Big Adventure	%myarm	^myarm_not_started	^myarm_complete	yes	mabarun	75	yes	0	4	yes	myarmsbigadventure	yes	myarm_baby_roc;myarm_giant_roc	^myarm_ready_for_baby;^myarm_baby_defeated;^myarm_giant_defeated	no	14 TODO/stub markers; 4 leftover items (unimplemented)
quest_nightatthetheatre	A Night at the Theatre	%tobquest	^natt_not_started	^natt_complete	yes	nattrun	65	yes	15	8	yes	nightatthetheatre	no			yes	14 TODO/stub markers; 8 leftover items (unimplemented)
quest_olafsquest	Olaf's Quest	%olaf_quest_var	^olafq_not_started	^olafq_complete	no	?	73	yes	9	3	no	?	yes	olaf2_ulfric		no	2 legacy/unnumbered bmp names alongside numbered; 18 TODO/stub markers; 3 leftover items (unimplemented)
quest_onesmallfavour	One Small Favour	%osf_gang_kills	^osf_not_started	^osf_complete	no	?	0	?	0	0	no	?	yes	slagilith	^osf_slagilith_fight;^osf_slagilith_defeated	no	
quest_pandemonium	Pandemonium	%sailing_intro	^pan_not_started	^pan_complete	yes	pandrun	56	yes	5	7	yes	pandemonium	no			yes	5 TODO/stub markers; 7 leftover items (unimplemented)
quest_pathofglouphrie	The Path of Glouphrie	%pog	^pog_not_started	^pog_complete	yes	pogrun	100	yes	14	8	yes	pog	yes	pog_watcher	^pog_creature_revealed;^pog_watcher_dead;^pog_creature_killed	yes	13 TODO/stub markers; 8 leftover items (unimplemented)
quest_perilousmoons	Perilous Moons	%pmoon_quest	^pm_not_started	^pm_complete	yes	pmrun	75	yes	8	7	yes	perilousmoons	no			no	7 TODO/stub markers; 7 leftover items (unimplemented)
quest_porcineofinterest	A Porcine of Interest	%porcine	^poi_not_started	^poi_complete	yes	poirun	57	yes	9	7	yes	porcineofinterest	yes	porcine_sourhog_second	^poi_kill;^poi_foot	yes	9 TODO/stub markers; 7 leftover items (unimplemented)
quest_priest	The Restless Ghost	%prieststart	^priest_not_started	^priest_complete	yes	priestrun	0	?	0	0	no	?	no			no	19 TODO/stub markers
quest_priestperil	Priest in Peril	%priestperil	^priestperil_not_started	^priestperil_complete	no	?	0	?	0	0	no	?	yes	priestperilguarddog	priestperil_defeat_guardian	yes	
quest_prince	Prince Ali Rescue	%princequest	^prince_not_started	^prince_complete	yes	princerun	0	?	0	0	no	?	no			no	23 TODO/stub markers
quest_pryingtimes	Prying Times	%quest_pry	^pry_not_started	^pry_complete	yes	pryrun	0	?	0	0	yes	pryingtimes	no			no	8 TODO/stub markers
quest_queenofthieves	The Queen of Thieves	%piscquest	^qot_not_started	^qot_complete	yes	qotrun	60	yes	11	3	yes	queenofthieves	no			no	11 TODO/stub markers; 3 leftover items (unimplemented)
quest_ragandboneman	Rag and Bone Man I	%rag_quest	^rag_not_started	^rag_complete	no	?	51	yes	0	3	yes	ragandboneman	no			no	3 TODO/stub markers; 3 leftover items (unimplemented)
quest_ratcatchers	Ratcatchers	%ratcatch_var	^ratcatch_not_started	^ratcatch_complete	no	?	0	?	0	0	no	?	no			yes	10 TODO/stub markers
quest_recipefordisaster	Recipe for Disaster (umbrella dir for 10 subquests)	%recipefordisaster (intro) + 9 more: %rfd_amikvarze, %rfd_dwarf, %rfd_evildave, %rfd_finale, %rfd_goblins, %rfd_lumbridgeguide, %rfd_monkey, %rfd_ogre, %rfd_pirate	?	^rfd_intro_complete + one *_complete const per subquest (see quest_cheat.rs2 arms subquest_rfd_*)	no	?	178	yes	25	10	no	?	yes	100_jubbly_bird;hundred_minion1;hundred_minion2;hundred_minion3;hundred_minion4;hundred_minion5_air (+more)	^rfd_ogre_chompy_given;^rfd_finale_agrith_dead;rfd_finale_next_boss;^rfd_finale_flambeed_dead (+more)	yes	ONE PHYSICAL DIRECTORY = 10 separate dbrow quests (subquest_rfd_intro/amikvarze/dwarf/evildave/goblins/lumbridgeguide/monkey/ogre/pirate + subquest_rfd_finale); plan ~10 client tests, not 1; 44 legacy/unnumbered bmp names alongside numbered; 78 TODO/stub markers; 10 leftover items (unimplemented)
quest_recruitmentdrive	Recruitment Drive	%rd_main	^rd_not_started	^rd_complete	no	?	0	?	0	0	yes	rdspishyus	yes	rd_combat_npc_room_3		no	5 TODO/stub markers
quest_redreef	The Red Reef	%trr	^trr_not_started	^trr_complete	yes	rrrun	0	?	0	0	yes	redreef	no			yes	9 TODO/stub markers
