# 3rd/rsprot/gen/packet_versions.txt -- RSProt packet LAYOUT-VERSION ledger
#
# GENERATED FILE. Do not hand-edit.
#   generator : tools/rsprot_version_ledger.py
#   regenerate: python3 tools/rsprot_version_ledger.py
#   source    : /Users/matthewevers/Documents/git_repos/rsprot
#   revisions : osrs-221 .. osrs-239 (19 vendored)
#
# VERSION NUMBERS ARE APPEND-ONLY.
#   A (CLASS, DIR, HASH) triple keeps its VER forever. New layouts get the next
#   free number; existing numbers are never reassigned, renumbered or reused.
#   The generator aborts rather than change one, so C tables and generated
#   codecs can hard-code these numbers. Each class numbers its layouts 1..N in
#   ascending order of the revision that first introduced them.
#
# HASH is the first 12 hex digits of the SHA-256 of the normalised bodies of
# every function declared in the codec's .kt file, in source order: comments
# stripped, revision tokens folded to "osrsREV", whitespace collapsed. Nothing
# outside a function body contributes (no package, imports, class header, prot
# property or companion constants). Private same-file helpers ARE included --
# NpcHitEncoder.encode is a two-line dispatcher into pHits()/pHeadBars(), and an
# entry-point-only hash would report 1 layout for 221-236 instead of 16.
# A layout change living entirely in a CROSS-FILE helper (LoginBlockDecoder,
# PlayerInfo bit-packing, JagByteBuf) does NOT move this hash.
# HASH e3b0c44298fc is the empty body: a zero-payload packet
# (NoOpMessageEncoder) or a body-less interface declaration.
#
# DIR is RSProt-relative (RSProt is a server library):
#   out = *Encoder.kt = server -> client
#   in  = *Decoder.kt = client -> server
#
# REVS lists the revisions whose module contains that exact layout, as ranges
# (e.g. "221-230,233"). RETIRED means the layout is no longer present in any
# vendored revision; its number stays reserved.
#
# Columns are tab-separated:
#   CLASS  DIR  MODULE  VER  HASH  REVS
#
# SUMMARY
#   classes (class,dir pairs)  : 423
#     out (encoders)           : 278
#     in  (decoders)           : 145
#   distinct layouts           : 2490
#     out                      : 1616
#     in                       : 874
#   layouts per class          : min 1, max 19, mean 5.89
#   classes with 1 layout      : 198   (never change across their revisions)
#   classes changing every rev : 69
#   classes whose every layout : 348
#     is one contiguous run       (their C table row is a single range)
#   contiguous revision runs   : 2834
#     total, i.e. what a naive per-revision-run scheme would need. Deduplicating
#     recurring layouts by hash saves 344 codec bodies. Recurrence is real:
#     IfOpenTopEncoder cycles p2/p2Alt1/p2Alt2/p2Alt3 over 13 runs but only 4
#     distinct layouts, and revs 223-224 and 227-230 are byte-identical files.
CLASS	DIR	MODULE	VER	HASH	REVS
ChatFilterSettingsEncoder	out	desktop	2	2a1a90288995	222
ChatFilterSettingsEncoder	out	desktop	3	7cc959a0c117	223
ChatFilterSettingsEncoder	out	desktop	4	20948e8a4cb5	224
ChatFilterSettingsEncoder	out	desktop	5	53176c447540	225,237
ChatFilterSettingsEncoder	out	desktop	6	8e65b952c235	226
ChatFilterSettingsEncoder	out	desktop	7	598ef050396c	227,234
ChatFilterSettingsEncoder	out	desktop	8	6f3d911d5d3f	228,238
ChatFilterSettingsEncoder	out	desktop	9	4e2f9a909917	229,232
ChatFilterSettingsEncoder	out	desktop	10	78ab3caba48f	230
ChatFilterSettingsEncoder	out	desktop	11	a79157b2bc2e	231
ChatFilterSettingsEncoder	out	desktop	12	443556901ef0	233
ChatFilterSettingsEncoder	out	desktop	13	c2a6123a1035	235
ChatFilterSettingsEncoder	out	desktop	14	c86a6b334585	236
ChatFilterSettingsEncoder	out	desktop	15	a53c394147e6	239
ChatFilterSettingsPrivateChatEncoder	out	desktop	1	335de9fe34c8	221-239
ClanChannelDeltaEncoder	out	desktop	1	880a937caf1c	221-222
ClanChannelDeltaEncoder	out	desktop	2	70dcc2ad99fa	223-239
ClanChannelFullEncoder	out	desktop	1	a51ba3ebf92c	221-222
ClanChannelFullEncoder	out	desktop	2	86abd59df912	223-239
ClanChannelFullRequestDecoder	in	desktop	1	66f61db30d7b	221-239
ClanChannelKickUserDecoder	in	desktop	1	73c651b7b761	221-239
ClanSettingsDeltaEncoder	out	desktop	1	daa3a40f60e7	221-222
ClanSettingsDeltaEncoder	out	desktop	2	669f9793fad1	223-239
ClanSettingsFullEncoder	out	desktop	1	3641f32e2f5b	221-222
ClanSettingsFullEncoder	out	desktop	2	a4fde193dfa7	223-239
ClanSettingsFullRequestDecoder	in	desktop	1	16f455ea983c	221-239
ClearEntitiesEncoder	out	desktop	1	e3b0c44298fc	222-229
ClickWorldMapDecoder	in	desktop	1	c313275ec004	221
ClickWorldMapDecoder	in	desktop	2	74491f651873	222,233,236-237
ClickWorldMapDecoder	in	desktop	3	5c5ede5275d5	223,227-229,231
ClickWorldMapDecoder	in	desktop	4	7a3c5cc54d15	224,226,230,235,238
ClickWorldMapDecoder	in	desktop	5	dc62d18c8c38	225
ClickWorldMapDecoder	in	desktop	6	aaa401b2a990	232,234,239
ClientCheatDecoder	in	desktop	1	895519ea9089	221-239
CloseModalDecoder	in	desktop	1	9e7c6df73cbe	221-239
ConnectionTelemetryDecoder	in	desktop	1	e33dd75bd583	223-239
DesktopLowResolutionChangeEncoder	out	desktop	1	0ecd98851b8b	221
DesktopLowResolutionChangeEncoder	out	desktop	2	9a3ee6c26df7	222
DesktopLowResolutionChangeEncoder	out	desktop	3	8ab097e8103c	223
DesktopLowResolutionChangeEncoder	out	desktop	4	6ee1bf3a8f8b	224
DesktopLowResolutionChangeEncoder	out	desktop	5	11cb3bf4995b	225
DesktopLowResolutionChangeEncoder	out	desktop	6	4d1784e1b4b7	226
DesktopLowResolutionChangeEncoder	out	desktop	7	6750118edf4d	227
DesktopLowResolutionChangeEncoder	out	desktop	8	621f802a82b5	228
DesktopLowResolutionChangeEncoder	out	desktop	9	5c2ae406f279	229
DesktopLowResolutionChangeEncoder	out	desktop	10	7e726bafbb8f	230
DesktopLowResolutionChangeEncoder	out	desktop	11	2964f8933e74	231
DesktopLowResolutionChangeEncoder	out	desktop	12	28828fee3b38	232
DesktopLowResolutionChangeEncoder	out	desktop	13	92746233b3b4	233
DesktopLowResolutionChangeEncoder	out	desktop	14	464536d29cef	234
DesktopLowResolutionChangeEncoder	out	desktop	15	3bd3475ebbc8	235
DesktopLowResolutionChangeEncoder	out	desktop	16	bcc832290152	236
DesktopLowResolutionChangeEncoder	out	desktop	17	97a80c4b8f57	237
DesktopLowResolutionChangeEncoder	out	desktop	18	9a1d136f3075	238
DesktopLowResolutionChangeEncoder	out	desktop	19	89a548710b6b	239
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	1	2bdcecf02c9b	221
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	2	a050e0d8efa7	222
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	3	9dc4f191a760	223
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	4	e86fba94fdee	224
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	5	e0ec66928c3c	225
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	6	79a770fe1271	226
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	7	7d21941a294a	227
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	8	a0449e5ea4c3	228
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	9	4c8d51c3244f	229
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	10	e11671f98399	230,234
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	11	2567ce8c4dfa	231
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	12	3e05451fc5c9	232
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	13	2fde50156468	233
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	14	800e01305801	235
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	15	2c72258dba0c	236
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	16	fdaaa15900a3	237
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	17	b0bbeed10c67	238
DesktopUpdateZonePartialEnclosedEncoder	out	desktop	18	fb275e6325dc	239
DetectModifiedClientDecoder	in	desktop	1	3e43eee519a3	221-239
DisallowedByScriptLoginResponseEncoder	out	shared	1	214958b4ed3d	221-239
EmptyLoginResponseEncoder	out	shared	1	e3b0c44298fc	221-239
EventAppletFocusDecoder	in	desktop	1	b9c0ffe49f37	221-239
EventCameraPositionDecoder	in	desktop	1	81a68f7a37a0	221,225,232,237
EventCameraPositionDecoder	in	desktop	2	a14dd2867300	222
EventCameraPositionDecoder	in	desktop	3	b85df15d662b	223,230,234
EventCameraPositionDecoder	in	desktop	4	b3f3ec424f38	224,227
EventCameraPositionDecoder	in	desktop	5	3940dcd1968e	226
EventCameraPositionDecoder	in	desktop	6	cd30e11f2fcb	228
EventCameraPositionDecoder	in	desktop	7	fc694f76f370	229
EventCameraPositionDecoder	in	desktop	8	17a00baa0175	231
EventCameraPositionDecoder	in	desktop	9	55ad3f4caec6	233
EventCameraPositionDecoder	in	desktop	10	f83739c7f648	235
EventCameraPositionDecoder	in	desktop	11	4ef1b0e4433e	236,239
EventCameraPositionDecoder	in	desktop	12	99918c679767	238
EventKeyboardDecoder	in	desktop	1	6016a7c440c8	221
EventKeyboardDecoder	in	desktop	2	d18b18755ea0	222
EventKeyboardDecoder	in	desktop	3	47b0fbde5124	223
EventKeyboardDecoder	in	desktop	4	30556fa6748e	224
EventKeyboardDecoder	in	desktop	5	87c601a6e80a	225,231,236
EventKeyboardDecoder	in	desktop	6	fe82c146a6eb	226
EventKeyboardDecoder	in	desktop	7	d4892453b548	227
EventKeyboardDecoder	in	desktop	8	6c66e6b11075	228
EventKeyboardDecoder	in	desktop	9	42a1eacb4279	229
EventKeyboardDecoder	in	desktop	10	d7375b722e89	230
EventKeyboardDecoder	in	desktop	11	42375c093839	232
EventKeyboardDecoder	in	desktop	12	f3dff810d8e7	233
EventKeyboardDecoder	in	desktop	13	d56dc344c7da	234
EventKeyboardDecoder	in	desktop	14	911de2a7ca03	235
EventKeyboardDecoder	in	desktop	15	35c0165c6f38	237
EventKeyboardDecoder	in	desktop	16	448f84b907b8	238
EventKeyboardDecoder	in	desktop	17	8cb6b9697d58	239
EventMouseClickDecoder	in	desktop	1	bedac01c137b	221-231
EventMouseClickV1Decoder	in	desktop	1	c0282e9e994e	232-239
EventMouseClickV2Decoder	in	desktop	1	b2ee1c5ce5ba	232
EventMouseClickV2Decoder	in	desktop	2	36f92194b780	233
EventMouseClickV2Decoder	in	desktop	3	fd2b334cfa2c	234
EventMouseClickV2Decoder	in	desktop	4	12bdd0007e64	235
EventMouseClickV2Decoder	in	desktop	5	76248be2f668	236
EventMouseClickV2Decoder	in	desktop	6	ba37997ab029	237
EventMouseClickV2Decoder	in	desktop	7	45539d068fa6	238
EventMouseClickV2Decoder	in	desktop	8	671ea5311934	239
EventMouseMoveDecoder	in	desktop	1	ef09e8fa29dc	221-239
EventMouseScrollDecoder	in	desktop	1	89fb6cb29137	221-239
EventNativeMouseClickDecoder	in	desktop	1	5bd65f79018a	222
EventNativeMouseClickDecoder	in	desktop	2	b2a4385efc08	223
EventNativeMouseClickDecoder	in	desktop	3	fa6bb8a97e94	224
EventNativeMouseClickDecoder	in	desktop	4	0ce6053c4b70	225
EventNativeMouseClickDecoder	in	desktop	5	0ab3cb515b92	226
EventNativeMouseClickDecoder	in	desktop	6	3bbce76718ee	227
EventNativeMouseClickDecoder	in	desktop	7	2797f6377a00	228
EventNativeMouseClickDecoder	in	desktop	8	1eab0edff68b	229
EventNativeMouseClickDecoder	in	desktop	9	a2468dbb0599	230
EventNativeMouseClickDecoder	in	desktop	10	5395da019ed1	231
EventNativeMouseMoveDecoder	in	desktop	1	1878e1e392dd	222-224
EventNativeMouseMoveDecoder	in	desktop	2	a41d6f7ae538	225-239
ExitFreecamDecoder	in	desktop	1	af807c8b0400	221-239
ExtendedInfoEncoder	out	internal	1	e3b0c44298fc	221-239
FriendChatJoinLeaveDecoder	in	desktop	1	8f04581a3dcb	221-239
FriendChatKickDecoder	in	desktop	1	d759b9d6a206	221-239
FriendChatSetRankDecoder	in	desktop	1	965e9a567bf7	221,225,231,233
FriendChatSetRankDecoder	in	desktop	2	32a141b616a7	222
FriendChatSetRankDecoder	in	desktop	3	c452f6638e65	223,229-230,237
FriendChatSetRankDecoder	in	desktop	4	fe0901d10ad1	224,226,235,239
FriendChatSetRankDecoder	in	desktop	5	3b618353a55b	227-228,236
FriendChatSetRankDecoder	in	desktop	6	2f906da0205f	232,234
FriendChatSetRankDecoder	in	desktop	7	6111e2cb5a99	238
FriendListAddDecoder	in	desktop	1	925bc0915fac	221-239
FriendListDelDecoder	in	desktop	1	535597bf3e13	221-239
FriendListLoadedEncoder	out	desktop	1	e3b0c44298fc	221-239
GameLoginDecoder	in	shared	1	b1f134e8cb4a	221-222
GameLoginDecoder	in	shared	2	681ee0c15dd0	223-239
GameMessageDecoder	in	api	1	f6ed57b65ab5	221-224
GameMessageDecoder	in	api	2	9455503897e7	225-234
GameMessageDecoder	in	api	3	975e01c630f3	235-239
GameMessageEncoder	out	api	1	fc364603a72a	221-224
GameMessageEncoder	out	api	2	5ceba60e65b0	225-234
GameMessageEncoder	out	api	3	1d638d240aba	235-239
GameReconnectDecoder	in	shared	1	d83923165a2c	221-222
GameReconnectDecoder	in	shared	2	3ed57961d123	223-239
GroupFullEncoder	out	desktop	1	22567b83dc17	239
GroupVarEncoder	out	desktop	1	d40442f794ba	239
GroupVarIntEncoder	out	desktop	1	5da5596e827c	239
GroupVarLongEncoder	out	desktop	1	60cfc3c89f79	239
HeatmapToggleEncoder	out	desktop	1	b93321872858	221-222
HideLocOpsEncoder	out	desktop	1	d48a01df5f0e	223-239
HideNpcOpsEncoder	out	desktop	1	d48a01df5f0e	223-239
HideObjOpsEncoder	out	desktop	1	d48a01df5f0e	223-239
HintArrowEncoder	out	desktop	1	5e0532841be6	221-233
HintArrowEncoder	out	desktop	2	1c6b210f0074	234-239
HiscoreReplyEncoder	out	desktop	1	6f34b946a74d	221-239
HiscoreRequestDecoder	in	desktop	1	7b9d6bbe7403	221-239
IdleDecoder	in	desktop	1	ab0171ca0494	221-239
If1ButtonDecoder	in	desktop	1	b0d919eea963	221-239
If3ButtonDecoder	in	desktop	1	b1e3e55187c2	221-231
IfButtonDDecoder	in	desktop	1	dc7cd9d99ae1	221
IfButtonDDecoder	in	desktop	2	e39e3b41fa6f	222
IfButtonDDecoder	in	desktop	3	49aef5b7d7c3	223
IfButtonDDecoder	in	desktop	4	9c6483d40bcf	224
IfButtonDDecoder	in	desktop	5	ed4372936efd	225
IfButtonDDecoder	in	desktop	6	64cb871594ca	226
IfButtonDDecoder	in	desktop	7	43a591ebd735	227
IfButtonDDecoder	in	desktop	8	1da7708e2ad4	228
IfButtonDDecoder	in	desktop	9	0efb3e840ea0	229
IfButtonDDecoder	in	desktop	10	df1f1f86cd89	230
IfButtonDDecoder	in	desktop	11	a5488513a268	231
IfButtonDDecoder	in	desktop	12	c5a0d023a3d2	232
IfButtonDDecoder	in	desktop	13	33d7959a2a23	233
IfButtonDDecoder	in	desktop	14	7c725fd1efe9	234
IfButtonDDecoder	in	desktop	15	daeaf4888e95	235
IfButtonDDecoder	in	desktop	16	7aca479e371f	236
IfButtonDDecoder	in	desktop	17	678e39a658ef	237
IfButtonDDecoder	in	desktop	18	8b16ff4552a5	238
IfButtonDDecoder	in	desktop	19	0ed7666dbfb2	239
IfButtonTDecoder	in	desktop	1	359087c5ec5c	221
IfButtonTDecoder	in	desktop	2	271084f285bc	222
IfButtonTDecoder	in	desktop	3	b4a5141d44b4	223
IfButtonTDecoder	in	desktop	4	f6d037b51c5c	224
IfButtonTDecoder	in	desktop	5	899aee22f0fb	225
IfButtonTDecoder	in	desktop	6	2951ddafa61b	226
IfButtonTDecoder	in	desktop	7	a4ca6f17f24a	227
IfButtonTDecoder	in	desktop	8	3bf3425030a5	228
IfButtonTDecoder	in	desktop	9	8c3b2d926e33	229
IfButtonTDecoder	in	desktop	10	035292f63537	230
IfButtonTDecoder	in	desktop	11	0212a27925d0	231
IfButtonTDecoder	in	desktop	12	cf0483e4296e	232
IfButtonTDecoder	in	desktop	13	ab50ecc8d037	233
IfButtonTDecoder	in	desktop	14	5ed70dbdbcc1	234
IfButtonTDecoder	in	desktop	15	3555d335b528	235
IfButtonTDecoder	in	desktop	16	11a51c26ffae	236
IfButtonTDecoder	in	desktop	17	34df1dea7707	237
IfButtonTDecoder	in	desktop	18	5c540c0b61af	238
IfButtonTDecoder	in	desktop	19	101bb732c9db	239
IfButtonXDecoder	in	desktop	1	de6e68720fb3	231-239
IfClearInvEncoder	out	desktop	1	fa27bb0e6f9e	221
IfClearInvEncoder	out	desktop	2	bebf1dcbe7ec	222,227,230,235-236
IfClearInvEncoder	out	desktop	3	e8b451bcef4f	223,237
IfClearInvEncoder	out	desktop	4	0307228dc2e2	224-226,228,231,233,238
IfClearInvEncoder	out	desktop	5	4d706e067375	229,232,234,239
IfCloseSubEncoder	out	desktop	1	1c4cf56ef351	221
IfCloseSubEncoder	out	desktop	2	0307228dc2e2	222-239
IfCrmViewOpDecoder	in	desktop	1	7766f9c737e2	221
IfCrmViewOpDecoder	in	desktop	2	7053f777b9e2	222
IfCrmViewOpDecoder	in	desktop	3	85ca02f4079d	223
IfCrmViewOpDecoder	in	desktop	4	a2794e19c0a3	224
IfCrmViewOpDecoder	in	desktop	5	6b11e37f325f	225
IfCrmViewOpDecoder	in	desktop	6	43e52e167288	226
IfCrmViewOpDecoder	in	desktop	7	19403de890df	227
IfCrmViewOpDecoder	in	desktop	8	491422ad4408	228
IfCrmViewOpDecoder	in	desktop	9	29ce4bf903cb	229
IfCrmViewOpDecoder	in	desktop	10	c12b8572d468	230
IfCrmViewOpDecoder	in	desktop	11	a787893c5064	231
IfCrmViewOpDecoder	in	desktop	12	8bbbe2195a1b	232
IfCrmViewOpDecoder	in	desktop	13	cc1f9100918d	233
IfCrmViewOpDecoder	in	desktop	14	79c09e175c98	234
IfCrmViewOpDecoder	in	desktop	15	b09b3c535231	235
IfCrmViewOpDecoder	in	desktop	16	7b2d268cf44c	236
IfCrmViewOpDecoder	in	desktop	17	a8112110d1c8	237
IfCrmViewOpDecoder	in	desktop	18	29c3088783ee	238
IfCrmViewOpDecoder	in	desktop	19	5c9ba031616a	239
IfInitialStateEncoder	out	desktop	1	f312e38c930d	221
IfInitialStateEncoder	out	desktop	2	b437169ecd4b	222
IfMoveSubEncoder	out	desktop	1	f6071b761d81	221
IfMoveSubEncoder	out	desktop	2	e04b0c1c8835	222
IfMoveSubEncoder	out	desktop	3	67df2b536fbe	223,230
IfMoveSubEncoder	out	desktop	4	3631434d3cc0	224
IfMoveSubEncoder	out	desktop	5	c3c88f67dd1d	225,238
IfMoveSubEncoder	out	desktop	6	22acc0d297c1	226,232
IfMoveSubEncoder	out	desktop	7	67101916ef1d	227
IfMoveSubEncoder	out	desktop	8	0407e27acc19	228-229
IfMoveSubEncoder	out	desktop	9	3c729b0dfead	231,235
IfMoveSubEncoder	out	desktop	10	dafee7ade1d1	233
IfMoveSubEncoder	out	desktop	11	46d1c28d01c3	234
IfMoveSubEncoder	out	desktop	12	f7062e12867f	236
IfMoveSubEncoder	out	desktop	13	e3ecbbfc8cc5	237
IfMoveSubEncoder	out	desktop	14	66edc7a1a012	239
IfOpenSubEncoder	out	desktop	1	c750413da61d	221
IfOpenSubEncoder	out	desktop	2	f8e26edbce43	222
IfOpenSubEncoder	out	desktop	3	e30a26eba421	223
IfOpenSubEncoder	out	desktop	4	0dc23894a1fe	224
IfOpenSubEncoder	out	desktop	5	18169c6c6956	225
IfOpenSubEncoder	out	desktop	6	2920cc50425a	226
IfOpenSubEncoder	out	desktop	7	a3d1426b6bea	227
IfOpenSubEncoder	out	desktop	8	a59efec82fce	228
IfOpenSubEncoder	out	desktop	9	029743b1b6d9	229
IfOpenSubEncoder	out	desktop	10	c3ded9531516	230
