switch_type,switch_name,shell_count,variant_count,spawned_in_world,spawned_shell_bases,content_ref_count,sample_content_refs
varbit,fossil_puffer_seefish,7,7,yes,"fossil_puffer_fish_1, fossil_puffer_fish_2, fossil_puffer_fish_3, fossil_puffer_fish_4, fossil_puffer_fish_5, fossil_puffer_fish_6, fossil_puffer_fish_7",0,
varbit,feud_npc_multi,6,18,yes,"feud_arabian_guard2_multi, feud_arabian_guard_multi, feud_egyptian_doorman_multi, feud_villager_multi_1, feud_villager_multi_2, feud_villager_multi_3",0,
varbit,templetrek_npcs_visible,6,6,yes,"templetrek_multi_child_hard, templetrek_multi_man_med, templetrek_multi_oldman_hard, templetrek_multi_retired_man_easy, templetrek_multi_retired_soldier_easy, templetrek_multi_woman_med",0,
varbit,ramble_npcs_visible,6,6,yes,"ramble_multi_easy_fighter, ramble_multi_easy_mage, ramble_multi_hard_fighter, ramble_multi_hard_ranger, ramble_multi_med_mage, ramble_multi_med_ranger",0,
varbit,wgs_movario_vis,6,6,yes,"dorgesh_dark_wizard, dorgesh_khazard_bodyguard",0,
varbit,giantdwarf_red_axe_gone,6,6,yes,"dwarf_city_director_red_axe_multi, dwarf_city_evil_cat_multi, dwarf_city_gnome_emissary_multi, dwarf_city_gnome_female_emissary_multi, dwarf_city_gnome_male_emissary_multi, dwarf_city_secretary_red_axe_multi",0,
varbit,poh_servant_type,5,40,yes,"poh_servant_multi_cook_woman, poh_servant_multi_demon, poh_servant_multi_dogsbody, poh_servant_multi_maitre_d_man, poh_servant_multi_waiter_woman",0,
varbit,desert_alkharid_alis_visible,5,6,yes,"ali_the_farmer_multinpc, ali_the_guard_multinpc, ali_the_smith_multinpc, ali_the_tailor_multinpc, alice_the_camel_multinpc",0,
varbit,shayzien_armour_challenge,5,35,yes,"shayzien_armour_1_challenge, shayzien_armour_2_challenge, shayzien_armour_3_challenge, shayzien_armour_4_challenge, shayzien_armour_5_challenge",0,
varbit,route_hideout_npcs,5,5,yes,"route_curpile_fyod, route_ivan_strom_parent, route_polmafi_ferdygris_parent, route_radigad_ponfit_parent, route_veliaf_hurtz_parent",0,
varbit,prisonpete_multinpcs,4,96,yes,"prisonpete_balloon1, prisonpete_balloon2, prisonpete_balloon3, prisonpete_balloon4",0,
varp,macro_transmit,4,96,yes,"macro_pheasant_fourtail, macro_pheasant_onetail, macro_pheasant_threetail, macro_pheasant_twotail",0,
varbit,pilot_previous_destination,4,32,yes,"pilot_al_kharid, pilot_grand_tree, pilot_karamja, pilot_white_wolf",0,
varbit,mm2_le_smith_pos,4,4,yes,"mm2_le_smith_pos1_multi, mm2_le_smith_pos2_multi, mm2_le_smith_pos3_multi, mm2_le_smith_pos4_multi",0,
varbit,con_contract_discussed,4,8,yes,"con_contractor, con_contractor_ardougne, con_contractor_hosidius, con_contractor_varrock",0,
varbit,ivan_strom_location,3,7,yes,myq5_ivan_hideout,0,
varbit,fairy_godfather_check,3,6,yes,"fairy_godfather_multi, fairy_henchman1_multi, fairy_henchman2_multi",0,
varbit,gublinch_state,3,6,yes,"gub_musa_multi_child_1, gub_musa_multi_child_2, gub_musa_multi_child_3",0,
varbit,raids_guide_travel_unlock,3,4,yes,"raids_mountainguide_temple_multi, raids_mountainguide_wall_multi",0,
varbit,mm2_slayer_master,2,4,yes,"slayer_master_6, wyvern_cave_guardian",0,
varbit,pilot_multinpc_var,2,31,yes,"gnormadium_avlafrim, pilot_apeatoll",0,
varbit,fenk_gardener_directions,2,2,yes,fenk_gardener_multi_2,0,
varbit,askelladen_hasop,2,4,yes,"viking_askelapen, viking_askelapen_dagganoth_mountain",0,
varbit,sote_trah_vis,2,2,yes,"sote_lady_trahaearn, sote_lady_trahaearn_wander",0,
varbit,sote_amlodd_vis,2,2,yes,"sote_lord_amlodd, sote_lord_amlodd_wander",0,
varbit,sote_crwys_vis,2,2,yes,"sote_lord_crwys, sote_lord_crwys_wander",0,
varbit,sote_hefin_vis,2,2,yes,"sote_lady_hefin, sote_lady_hefin_wander",0,
varbit,sote_ithell,2,7,yes,"mourning_town_elf_5, sote_lady_ithell_village",0,
varbit,sailing_crew_captain_siad_visibility,2,2,yes,capt_siad,0,
varbit,wearing_ghost_speak_amulet,2,2,yes,"protester_ghostspeak_multi, protester_standardspeak_multi",0,
varbit,dream_cyris_multi,2,6,yes,"dream_cyrisus_outsidebraziermulti, dream_cyrisus_outsidemulti",0,
varbit,enakh_akthanakos_form,2,2,yes,enakh_akthanakos_multinpc,0,
varbit,ics_wanderermulti,2,2,yes,"ics_little_multi_wanderer1, ics_little_multi_wanderer2",0,
varbit,plaguecity_can_see_edmond_up_top,2,2,yes,"edmond_bottom, edmond_top",0,
varbit,tourtrap_qip_irena_state,2,2,yes,"tourtrap_qip_irena_multi_happy, tourtrap_qip_irena_multi_sad",0,
varbit,hundred_dwarf_multi_dad,2,3,yes,"hundred_dwarf_dad_multi, hundred_dwarf_drunk_multi",0,
varbit,100_ogre_jubbly_boat_visible,2,2,yes,"100_jubbly_multi_boat_feldip, 100_jubbly_multi_boat_karamja",0,
varbit,giantdwarf_red_traders_gone,2,2,yes,"dwarf_city_red_trader1_multi, dwarf_city_red_trader2_multi",0,
varbit,this_is_a_pvp_or_bh_world,2,2,yes,"lost_property_merchant_combatty, lost_property_merchant_standard",0,
varbit,chasm_voice_progress,2,9,yes,"disciple_of_yama_entrance, voice_of_yama",0,
varbit,tomas_lawry_location,2,2,yes,"akd_tomas_lawry_kingstown, piscquest_official_castle",0,
varbit,myq5_veliaf_location,2,2,yes,"myq5_veliaf_burgh_hideout, myq5_veliaf_slepe",0,
varbit,varlamore_sun_knight,2,2,yes,"hosdun_varlamore_knight, varlamore_sun_knight_parent",0,
varbit,ilfeen_prif,2,4,yes,"ilfeen_prif, sote_ilfeen_upass",0,
varbit,camdozaal_ramarno_intro,2,3,yes,"camdozaal_ramarno_entrance_multi, camdozaal_ramarno_multi",0,
varbit,karam_dungeon_backdoor,1,4,yes,karam_dungeon_backdoor,0,
varbit,roving_bowyer,1,3,yes,roving_bowyer,0,
varbit,veos_sarim_vis,1,4,yes,veos_sarim,0,
varbit,roving_female_woodelf,1,2,yes,roving_female_woodelf,0,
varbit,mm2_keef_challenge,1,1,yes,mm2_keef_multi,0,
varbit,mm2_kob_challenge,1,1,yes,mm2_kob_multi,0,
varbit,mm2_nieve_at_tree,1,1,yes,mm2_nieve_waiting,0,
varbit,fairy2_rewardgiven,1,2,yes,fairy2_repair,0,
varbit,gobdip_grubfoot_vis,1,3,yes,catwalk_goblin,0,
varbit,peng_multi_larry,1,1,yes,peng_multi_larry_lumb,0,
varbit,ics_specvis,1,1,yes,ics_little_spectre,0,
varbit,soulbane_launa_pres,1,1,yes,soulbane_launa_multi,0,
varbit,plaguecity_elena_at_home,1,1,yes,elena2,0,
varbit,veos_pisc_vis,1,2,yes,veos,0,
varbit,giantdwarf_cutscene_guard_visible,1,1,yes,dwarf_city_berserker_cutscene_multi,0,
varbit,fairy2_nuffvisible,1,1,yes,fairy_nuff_multi,0,
varbit,dorgesh_zanik_in_city,1,1,yes,dorgesh_zanik,0,
varbit,keldagrim_kebab_status,1,2,yes,dwarf_city_drunken_dwarf_multi,0,
varbit,skippy_state,1,4,yes,multi_skippy,0,
varbit,deadman_finalarea_hidenpcs,1,1,yes,sos_barb,0,
varbit,morgan_postquest_dialogue,1,2,yes,morgan,0,
varbit,priestperilevilmonk_dead,1,1,yes,priestperilevilmonk3,0,
varbit,roving_update_female_woodelf,1,3,yes,roving_update_female_woodelf,0,
varbit,bob_invisible,1,1,yes,death_growncat_black,0,
varbit,gobdip_met_aggie,1,2,yes,aggie,0,
varbit,upass_koftik_outside,1,2,yes,caveguide1,0,
varbit,upass_koftik_bridge,1,1,yes,caveguide2,0,
varbit,upass_koftik_grid,1,1,yes,caveguide3,0,
varbit,upass_koftik_temple,1,1,yes,caveguide5,0,
varbit,upass_koftik_end,1,1,yes,caveguide6,0,
varbit,sote_trah,1,5,yes,sote_lady_trahaearn_cave,0,
varbit,sote_amlodd,1,2,yes,sote_lord_amlodd_valley,0,
varbit,sote_crwys,1,3,yes,sote_lord_crwys_forest,0,
varbit,sote_hefin,1,2,yes,sote_lady_hefin_island,0,
varbit,mm2_zep_gnome_pilot,1,1,yes,zep_multi_assistant_gno,0,
varbit,khazard_warlord_fighting,1,1,yes,khazard_warlord,0,
varbit,soa_weaponmaster_dead,1,1,yes,weaponsmaster,0,
varbit,ardougne_medium_reward,1,2,yes,ardounge_wizard,0,
varbit,karamja_elite_reward,1,3,yes,agilityarena_tickettrader,0,
varbit,fairy_queen_check,1,1,yes,fairy_queen_multi,0,
varbit,bond_npc_hide,1,1,yes,bond_james_bond,0,
varbit,godwars_palladin2,1,1,yes,godwars_paladin_multi,0,
varbit,rick_has_opened_shop,1,2,yes,telecrystal_wizard,0,
varbit,shadow_maj_visibility,1,1,yes,shadow_maj_multi_khazard,0,
varbit,enakh_enakhra_form,1,2,yes,enakh_enakhra_multinpc,0,
varbit,contact_maisa_invis,1,1,yes,contact_maisa_multi,0,
varbit,mourning_dwarf_vis,1,1,yes,mourning_deathalter_dwarf,0,
varbit,fishingcompo_stranger,1,2,yes,sinister_stranger,0,
varbit,surok_vis,1,2,yes,surok_surok,0,
varbit,niete_visible,1,1,yes,twocats_niete,0,
varbit,watchtower_shaman_1,1,2,yes,qip_watchtower_ogre_shaman_01,0,
varbit,watchtower_shaman_2,1,2,yes,qip_watchtower_ogre_shaman_02,0,
varbit,watchtower_shaman_3,1,2,yes,qip_watchtower_ogre_shaman_03,0,
varbit,watchtower_shaman_4,1,2,yes,qip_watchtower_ogre_shaman_04,0,
varbit,watchtower_shaman_5,1,2,yes,qip_watchtower_ogre_shaman_05,0,
varbit,watchtower_shaman_6,1,2,yes,qip_watchtower_ogre_shaman_06,0,
varbit,tourtrap_qip_ana_state,1,1,yes,tourtrap_qip_ana_multi,0,
varbit,tourtrap_ana_visible_shanty_pass,1,1,yes,tourtrap_qip_ana_shanty_multi,0,
varbit,tourtrap_qip_mineslave,1,2,yes,tourtrap_qip_mineslave_clothes_multi,0,
varbit,100_ogre_rantz_visible,1,1,yes,100_rantz_multi_npc,0,
varbit,romjul_juliet_visible,1,2,yes,juliet_multi_visible,0,
varbit,thsfm_vanstrom_hide,1,2,yes,multi_vanstrom_stranger_entity,0,
varbit,grim_dwarf_vis_tower,1,2,yes,grim_rupert_intower,0,
varbit,mourning_can_see_eluned,1,1,yes,roving_female_woodelf_temp,0,
varbit,fairy_farmers_quest,1,9,yes,fairy_mindslayer_guard_multi,0,
varbit,dag_island_quick_travel,1,2,yes,viking_dagganoth_cave_ferryman_rellekka,0,
varbit,chat_sharimika,1,7,yes,tbwcu_sharimika_multinpc,0,
varbit,chat_mamma,1,7,yes,tbwcu_mamma_bufetta_multinpc,0,
varbit,chat_layleen,1,7,yes,tbwcu_layleen_multinpc,0,
varbit,chat_karaday,1,7,yes,tbwcu_karaday_multinpc,0,
varbit,chat_safta,1,7,yes,tbwcu_safta_doc_multinpc,0,
varbit,chat_gabooty,1,7,yes,tbwcu_gabooty_multinpc,0,
varbit,chat_fanellaman,1,7,yes,tbwcu_fanellaman_multinpc,0,
varbit,chat_jag,1,7,yes,tbwcu_jagbakoba_multinpc,0,
varbit,chat_murc,1,7,yes,tbwcu_murcaily_multinpc,0,
varbit,chat_rion,1,7,yes,tbwcu_rionasta_multinpc,0,
varbit,trail_watson_spoken,1,2,yes,trail_watson,0,
varbit,piscarilius_burglary_completed,1,2,yes,piscarilius_captain_khaled_multi,0,
varbit,br_tutorial,1,2,yes,br_host,0,
varp,total_zuk_kills,1,2,yes,inferno_master,0,
varbit,minnow_access,1,3,yes,minnow_fisherman_multi,0,
varbit,sophia_hughes_vis,1,1,yes,piscquest_councillor,0,
varbit,myq5_safalaan_hideout,1,1,yes,myq4_safalaan_new_hideout,0,
varbit,myq5_vertida_hideout,1,1,yes,myq4_vertida_new_hideout,0,
varbit,myq5_kael_hideout,1,1,yes,myq4_kael_new_hideout,0,
varbit,tobquest_stranger_vis,1,4,yes,tob_stranger,0,
varp,total_completed_theatreofblood,1,2,yes,verzik_initial,0,
varbit,ga_mary_dialogue,1,2,yes,ga_mary,0,
varbit,trobin_arceuus_tower_vis,1,1,yes,trobin_arceuus,0,
varbit,kourend_medium_reward,1,2,yes,lovakengj_thirus,0,
varbit,farmguild_contract_discussed,1,2,yes,farming_guild_master,0,
varbit,veos_lumbridge_vis,1,2,yes,veos_lumbridge,0,
varbit,hosdun_olbertus_status,1,2,yes,hosdun_olbertus,0,
varbit,sote_meilyr_vis,1,1,yes,sote_lady_meilyr_upass_pre,0,
varbit,sote_ithell_vis,1,1,yes,sote_lady_ithell_upass_pre,0,
varbit,upass_koftik_maze,1,1,yes,caveguide4,0,
varbit,mourning_mourner_vis,1,1,yes,mourning_overpass_mourner,0,
varbit,prif_acorn_trade,1,2,yes,prif_acorn_trader,0,
varbit,adventurepath_player_participating,1,2,yes,ap_guide_parent,0,
varbit,nightmare_first_entry,1,2,yes,shura,0,
varbit,nightmare_challenge_first_entry,1,2,yes,nightmare_challenge_sister,0,
varbit,veliaf_paterdomus_vis,1,2,yes,myq5_veliaf_paterdomus,0,
varbit,garlic_cocktail_shop_unlocked,1,2,yes,darkm_werewolf_3,0,
varbit,hallowed_tutorial,1,2,yes,hallowed_lobby_npc,0,
varbit,hallowed_ghost_owlknight_visible,1,1,yes,hallowed_ghost_lobby_owl,0,
varbit,hallowed_ghost_unicornknight_visible,1,1,yes,hallowed_ghost_lobby_unicorn,0,
varbit,hallowed_ghost_wolfknight_visible,1,1,yes,hallowed_ghost_lobby_wolf,0,
varbit,hallowed_ghost_lionknight_visible,1,1,yes,hallowed_ghost_lobby_lion,0,
varbit,hallowed_ghost_archpriest_visible,1,1,yes,hallowed_ghost_lobby_archpriest,0,
varbit,dmine_daeyalt_converter_intro,1,2,yes,dmine_daeyalt_converter,0,
varbit,porcine_rosie,1,2,yes,porcine_sheepdog_multi,0,
varbit,soul_wars_finished_tutorial,1,2,yes,soul_wars_nomad,0,
varbit,jad_challenge_master_met,1,2,yes,jad_challenge_master,0,
varbit,star_trader_met,1,2,yes,star_trader,0,
varbit,tentacle_port,1,3,yes,trawler_tentacle_port,0,
varbit,tentacle_starboard,1,3,yes,trawler_tentacle_starboard,0,
varbit,akd_orson_lookout,1,1,yes,akd_councillor_orson_lookout,0,
varbit,sote,69,4236,yes,"carla, councillor_halgrive, elena_basement, elena_lletya, elena_lletya_hq, elena_prison, headmourner, jethick, kilron, kinglathas, knight_of_ardougne_west, knight_of_ardougne_west_noop, lord_iorwerth, mourner1, mourner2, mourner3, mourner_armed, mourner_armed_guard, mourner_elena_guard, mourner_hideout_gnome_guard, mourner_hideout_guard, mourner_hideout_head_mourner, mourner_hideout_slave_guard, mourner_slave_no_tools, mourner_slave_pickaxe, mourner_slave_spade, mournerstew1, mournerstew2, mournerstew3, mournertwa, mournertwb, mournerwatchtower, mourning_arianwyn, mourning_town_elf_2, omart, paladin_west, prif_city_guard_multi, sote_arianwyn_waterfall, sote_arianwyn_waterfall_baxtorian, sote_baxtorian, sote_baxtorian_gates, sote_baxtorian_ruined_lletya, sote_baxtorian_waterfall, sote_carla, sote_elena_upass, sote_eluned_lletya, sote_halgrive, sote_iestin_forest, sote_iestin_ruined_lletya, sote_ilfeen, sote_ilfeen_lletya, sote_islwyn, sote_islwyn_lletya, sote_islwyn_upass_pre, sote_jethick, sote_kilron, sote_lady_hefin_upass_pre, sote_lady_trahaearn_upass_pre, sote_lletya_gravestone, sote_lord_amlodd_upass_pre, sote_lord_crwys_upass_pre, sote_omart, sote_upass_gravestone, sote_ysgawyn, sote_ysgawyn_forest, wint_cluehunter",183,quests/quest_elena/scripts/alrena.rs2:10; quests/quest_elena/scripts/alrena.rs2:10; quests/quest_elena/scripts/alrena.rs2:12
varbit,akd,62,3725,yes,"akd_asteros_arceuus, akd_councillor_andrews_jailed, akd_councillor_orson_rose_basement, akd_councillor_unkar, akd_councillor_unkar_jailed, akd_elena_hosidius, akd_ice_block, akd_kandur_hosidius, akd_king, akd_lydia_fullore_castle, akd_lydia_fullore_castle_outside, akd_lydia_fullore_kingstown, akd_lydia_fullore_lookout, akd_lydia_fullore_piscarilius, akd_lydia_fullore_rose_basement, akd_lydia_fullore_rose_outside, akd_martin_holt_castle, akd_martin_holt_hosidius, akd_martin_holt_jailed, akd_martin_holt_kingstown, akd_martin_holt_piscarilius, akd_martin_holt_settlement_ruins, akd_pandur_hosidius, akd_protest_guard, akd_protest_guard_2, akd_protest_guard_3, akd_protest_guard_4, akd_shauna_piscarilius, akd_shiro_shayzien, akd_trobin_arceuus, akd_vulcana_lovakengj, asteros_arceuus, cabin_boy_herbert_pisc, cabin_boy_herbert_ship, councillor_unkar, hosidius_pandur, hosidiusquest_lady, hosidiusquest_lord, kourend_protester, kourend_protester_10, kourend_protester_11, kourend_protester_12, kourend_protester_2, kourend_protester_3, kourend_protester_4, kourend_protester_5, kourend_protester_6, kourend_protester_7, kourend_protester_8, kourend_protester_9, molch_temple_shaman, pmod_town_crier_kingstown, raidquest_library_historian, shiro_shayzien, vulcana_lovakengj, zeah_head_councillor",161,quests/scripts/quest_cheat.rs2:707; quests/scripts/quest_cheat.rs2:710; quests/quest_kingdomdivided/scripts/kingdomdivided.rs2:17
varbit,myq5,58,2360,yes,"myq5_ivan_boathouse, myq5_ivan_burgh_de_rott, myq5_ivan_graveyard, myq5_ivan_paterdomus, myq5_ivan_woods, myq5_kael_graveyard, myq5_maria, myq5_polmafi_burgh_hideout, myq5_polmafi_graveyard, myq5_polmafi_hideout, myq5_radigad_burgh_hideout, myq5_radigad_graveyard, myq5_radigad_hideout, myq5_ron, myq5_safalaan_graveyard, myq5_safalaan_graveyard_meeting, myq5_safalaan_graveyard_walk, myq5_safalaan_lab, myq5_safalaan_lab_inner, myq5_safalaan_mausoleum, myq5_safalaan_mausoleum_inner, myq5_vanescula_graveyard, myq5_vanescula_mausoleum, myq5_veliaf_boathouse, myq5_veliaf_graveyard, myq5_veliaf_graveyard_inner, myq5_veliaf_graveyard_meeting, myq5_veliaf_hideout, myq5_veliaf_slepe_manor, myq5_veliaf_woods, myq5_vertida_graveyard, slepe_bartender, slepe_child_female_1, slepe_child_female_1_inside, slepe_child_female_2, slepe_child_female_2_inside, slepe_child_female_3, slepe_child_female_3_post, slepe_child_female_4, slepe_child_female_4_post, slepe_child_male_2, slepe_child_male_2_inside, slepe_child_male_3, slepe_child_male_3_inside, slepe_child_male_4, slepe_child_male_4_post, slepe_crombwick, slepe_damien, slepe_kroy, slepe_monk, slepe_poor_man1, slepe_poor_man1_inside, slepe_poor_man2, slepe_poor_man2_inside, slepe_poor_woman1, slepe_poor_woman1_inside, slepe_poor_woman2, slepe_poor_woman2_inside",167,quests/quest_tasteofhope/scripts/tasteofhope.rs2:215; quests/quest_tasteofhope/scripts/tasteofhope.rs2:215; quests/quest_sinsofthefather/scripts/sinsofthefather.rs2:9
varbit,my2arm_status,29,1937,yes,"my2arm_ambassador_multi, my2arm_dontknowwhat_throneroom, my2arm_entry_postquest, my2arm_entry_quest, my2arm_leprechaun, my2arm_mother_multi_enthroned, my2arm_mother_multi_standing, my2arm_mushroom_outside, my2arm_mushroom_throneroom, my2arm_sentry_boulder_background, my2arm_sentry_butterfly_background, my2arm_sentry_butterfly_fakespectator, my2arm_sentry_oddstone_background, my2arm_sentry_oddstone_fakespectator, my2arm_sentry_squirrel_background, my2arm_sentry_squirrel_fakespectator, my2arm_snowflake_outside, my2arm_snowflake_postquest, my2arm_wom_endquest, myarm, myarm_multi_cliffbottom, myarm_multi_larry, myarm_multi_outside, myarm_multi_postquest, myarm_multi_teacher, myarm_multi_throneroom, myarm_pupil_multi",118,quests/quest_makingfriendswithmyarm/scripts/makingfriendswithmyarm.rs2:11; quests/quest_makingfriendswithmyarm/scripts/makingfriendswithmyarm.rs2:20; quests/quest_makingfriendswithmyarm/scripts/makingfriendswithmyarm.rs2:22
varbit,mm2_progress,29,1843,yes,"grandtree_anita, grandtree_narnode, mm2_bunkdo_postquest, mm2_bunkwicket_postquest, mm2_carado_postboss_multi, mm2_carado_postquest, mm2_garkor_breach_multi, mm2_garkor_postquest, mm2_karam_postquest, mm2_lumo_breach_multi, mm2_lumo_postquest, mm2_monkey_banker, mm2_monkey_boat_guard_multi, mm2_waymottin_postquest, mm2_zooknock_postboss_multi, mm2_zooknock_postquest, mm_bunkdo, mm_bunkwicket, mm_carado, mm_duke_postquest, mm_garkor, mm_karam, mm_karam_talker, mm_kruk_multi, mm_lumo, mm_waymottin, mm_zooknock, zep_assist_gno_replacement",152,quests/quest_monkeymadnessii/scripts/monkeymadnessii.rs2:9; quests/quest_monkeymadnessii/scripts/monkeymadnessii.rs2:12; quests/quest_monkeymadnessii/scripts/monkeymadnessii.rs2:24
varbit,ds2,18,626,yes,"dallas_jones_crandor_lab, dallas_jones_crandor_lair, dallas_jones_dungeon, dallas_jones_fossil_boat, dallas_jones_fossil_island, dallas_jones_lithkren, dallas_jones_musa, death_growncat_black_astral, death_growncat_black_lithkren, death_growncat_black_lunar, death_growncat_black_sophanem, death_growncat_black_varrock, ics_little_cat, jardric_boat, jardric_camp, jardric_dungeon, jardric_varrock, niete_burthorpe",197,quests/quest_viking/scripts/viking_brundt.rs2:22; quests/quest_viking/scripts/viking_brundt.rs2:22; quests/quest_animalmagnetism/scripts/anma.rs2:35
varp,upass,17,167,yes,"cave_slave1, cave_slave2, cave_slave3, cave_slave4, cave_slave5, cave_slave6, cave_slave7, cavewitch, doomion, holthion, iban, ibanmonk, othainian, souless, soulman, unicorn_upass, upassmage",84,quests/quest_recipefordisaster/scripts/recipefordisaster_amikvarze.rs2:130; quests/quest_upass/scripts/upass_obstacles.rs2:373; quests/quest_upass/scripts/sir_carl.rs2:4
varbit,myq4,14,918,yes,"myq4_andiess, myq4_flaygian, myq4_kael, myq4_kael_theatre, myq4_magic_mercenary, myq4_mekritus, myq4_melee_mercenary, myq4_ranged_mercenary, myq4_safalaan_basement, myq5_slepe_jester, myq5_slepe_thief, sanguinesti_vertida_sefalatis, slepe_jester, slepe_thief",95,quests/quest_tasteofhope/scripts/tasteofhope.rs2:10; quests/quest_tasteofhope/scripts/tasteofhope.rs2:28; quests/quest_tasteofhope/scripts/tasteofhope.rs2:30
varbit,bcs,13,519,yes,contact_osman_multi,111,quests/quest_beneathcursedsands/scripts/beneathcursedsands.rs2:11; quests/quest_beneathcursedsands/scripts/beneathcursedsands.rs2:24; quests/quest_beneathcursedsands/scripts/beneathcursedsands.rs2:26
varbit,feud_var,12,292,yes,feud_black_jack_seller_multi,116,quests/quest_thefeud/scripts/feud_heist.rs2:15; quests/quest_thefeud/scripts/feud_heist.rs2:19; quests/quest_thefeud/scripts/feud_heist.rs2:32
varbit,sailing_intro,12,227,yes,"captain_tobias, customs_officer, seaman_lorris, seaman_thresnor",100,quests/quest_pandemonium/scripts/pandemonium.rs2:11; quests/quest_pandemonium/scripts/pandemonium.rs2:22; quests/quest_pandemonium/scripts/pandemonium.rs2:24
