graphics/raster/batch/raster.batch.h	impl/raster/walk/walk.batched.h
graphics/raster/texture/texcube.persp.texopaque.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.texopaque.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcube.persp.textrans.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcube.perspective.textrans.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texalpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texalpha.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.texopaque.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.texopaque.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texcylinder.persp.textrans.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texcylinder.perspective.textrans.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texalpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texalpha.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.texopaque.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.texopaque.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texplane.persp.textrans.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texplane.perspective.textrans.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texalpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texalpha.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.texopaque.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.texopaque.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texpmn.persp.textrans.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texpmn.perspective.textrans.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texshadeblend.affine.texopaque.branching.lerp8.u.c	impl/raster/tex/raster.texshadeblend.affine.texopaque.nofacealpha.nomodulate.painter.branching.lerp8.scalar.u.c
graphics/raster/texture/texshadeblend.affine.texopaque.branching.lerp8_v3.u.c	impl/raster/tex/raster.texshadeblend.affine.texopaque.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texshadeblend.affine.textrans.branching.lerp8.u.c	impl/raster/tex/raster.texshadeblend.affine.textrans.nofacealpha.nomodulate.painter.branching.lerp8.scalar.u.c
graphics/raster/texture/texshadeblend.affine.textrans.branching.lerp8_v3.u.c	impl/raster/tex/raster.texshadeblend.affine.textrans.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texshadeblend.persp.texopaque.branching.lerp8_v3.u.c	impl/raster/tex/raster.texshadeblend.perspective.texopaque.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texshadeblend.persp.textrans.branching.lerp8_v3.u.c	impl/raster/tex/raster.texshadeblend.perspective.textrans.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texshadeflat.persp.texopaque.branching.lerp8.u.c	impl/raster/tex/raster.texshadeflat.perspective.texopaque.nofacealpha.nomodulate.painter.branching.lerp8.scalar.u.c
graphics/raster/texture/texshadeflat.persp.texopaque.ordered.lerp8.scanline.u.c	impl/raster/tex/raster.texshadeflat.perspective.texopaque.nofacealpha.nomodulate.painter.scanline.lerp8.scalar.u.c
graphics/raster/texture/texshadeflat.persp.textrans.branching.lerp8.u.c	impl/raster/tex/raster.texshadeflat.perspective.textrans.nofacealpha.nomodulate.painter.branching.lerp8.scalar.u.c
graphics/raster/texture/texshadeflat.persp.textrans.ordered.lerp8.scanline.u.c	impl/raster/tex/raster.texshadeflat.perspective.textrans.nofacealpha.nomodulate.painter.scanline.lerp8.scalar.u.c
graphics/raster/texture/texsphere.persp.texalpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texalpha.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texalpha.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
