algo    grid lvls    fov    yaw eye      scenery     sc_ct  radius      iters       time_s      ns/iter
bucket*  104    2     90      0 center   rand20         20      25        100     0.009861      98610.0
w3d      104    2     90      0 center   rand20         20      25        100     0.014345     143450.0
bucket*  104    2     90      0 corner   none            0      25        100     0.007110      71100.0
w3d      104    2     90      0 corner   none            0      25        100     0.010846     108460.0
bucket*  104    2     90      0 corner   def_heap        4      25        100     0.007128      71280.0
w3d      104    2     90      0 corner   def_heap        4      25        100     0.010828     108280.0
bucket*  104    2     90      0 corner   def_w3d         4      25        100     0.007141      71410.0
w3d      104    2     90      0 corner   def_w3d         4      25        100     0.010801     108010.0
bucket*  104    2     90      0 corner   rand20         20      25        100     0.007053      70530.0
w3d      104    2     90      0 corner   rand20         20      25        100     0.010672     106720.0
bucket*  104    2     90      0 edge     none            0      25        100     0.008192      81920.0
w3d      104    2     90      0 edge     none            0      25        100     0.012330     123300.0
bucket*  104    2     90      0 edge     def_heap        4      25        100     0.008175      81750.0
w3d      104    2     90      0 edge     def_heap        4      25        100     0.012169     121690.0
bucket*  104    2     90      0 edge     def_w3d         4      25        100     0.008374      83740.0
w3d      104    2     90      0 edge     def_w3d         4      25        100     0.012233     122330.0
bucket*  104    2     90      0 edge     rand20         20      25        100     0.009926      99260.0
w3d      104    2     90      0 edge     rand20         20      25        100     0.012567     125670.0
bucket*  104    2     90     45 center   none            0      25        100     0.009736      97360.0
w3d      104    2     90     45 center   none            0      25        100     0.013759     137590.0
bucket*  104    2     90     45 center   def_heap        4      25        100     0.009484      94840.0
w3d      104    2     90     45 center   def_heap        4      25        100     0.014036     140360.0
bucket*  104    2     90     45 center   def_w3d         4      25        100     0.009468      94680.0
w3d      104    2     90     45 center   def_w3d         4      25        100     0.013498     134980.0
bucket*  104    2     90     45 center   rand20         20      25        100     0.009489      94890.0
w3d      104    2     90     45 center   rand20         20      25        100     0.013570     135700.0
bucket*  104    2     90     45 corner   none            0      25        100     0.006756      67560.0
w3d      104    2     90     45 corner   none            0      25        100     0.010604     106040.0
bucket*  104    2     90     45 corner   def_heap        4      25        100     0.006890      68900.0
w3d      104    2     90     45 corner   def_heap        4      25        100     0.010371     103710.0
bucket*  104    2     90     45 corner   def_w3d         4      25        100     0.007034      70340.0
w3d      104    2     90     45 corner   def_w3d         4      25        100     0.010375     103750.0
bucket*  104    2     90     45 corner   rand20         20      25        100     0.006810      68100.0
w3d      104    2     90     45 corner   rand20         20      25        100     0.010726     107260.0
bucket*  104    2     90     45 edge     none            0      25        100     0.008787      87870.0
w3d      104    2     90     45 edge     none            0      25        100     0.013161     131610.0
bucket*  104    2     90     45 edge     def_heap        4      25        100     0.008713      87130.0
w3d      104    2     90     45 edge     def_heap        4      25        100     0.013102     131020.0
bucket*  104    2     90     45 edge     def_w3d         4      25        100     0.008825      88250.0
w3d      104    2     90     45 edge     def_w3d         4      25        100     0.013099     130990.0
bucket*  104    2     90     45 edge     rand20         20      25        100     0.008910      89100.0
w3d      104    2     90     45 edge     rand20         20      25        100     0.012986     129860.0
bucket*  104    2     90    180 center   none            0      25        100     0.009420      94200.0
w3d      104    2     90    180 center   none            0      25        100     0.014124     141240.0
bucket*  104    2     90    180 center   def_heap        4      25        100     0.009624      96240.0
w3d      104    2     90    180 center   def_heap        4      25        100     0.014167     141670.0
bucket*  104    2     90    180 center   def_w3d         4      25        100     0.009715      97150.0
w3d      104    2     90    180 center   def_w3d         4      25        100     0.014100     141000.0
bucket*  104    2     90    180 center   rand20         20      25        100     0.009522      95220.0
w3d      104    2     90    180 center   rand20         20      25        100     0.014078     140780.0
bucket*  104    2     90    180 corner   none            0      25        100     0.008507      85070.0
w3d      104    2     90    180 corner   none            0      25        100     0.012353     123530.0
bucket*  104    2     90    180 corner   def_heap        4      25        100     0.008467      84670.0
w3d      104    2     90    180 corner   def_heap        4      25        100     0.012034     120340.0
bucket*  104    2     90    180 corner   def_w3d         4      25        100     0.008365      83650.0
w3d      104    2     90    180 corner   def_w3d         4      25        100     0.012353     123530.0
bucket*  104    2     90    180 corner   rand20         20      25        100     0.009077      90770.0
w3d      104    2     90    180 corner   rand20         20      25        100     0.012790     127900.0
bucket*  104    2     90    180 edge     none            0      25        100     0.008209      82090.0
w3d      104    2     90    180 edge     none            0      25        100     0.012081     120810.0
bucket*  104    2     90    180 edge     def_heap        4      25        100     0.008056      80560.0
w3d      104    2     90    180 edge     def_heap        4      25        100     0.012146     121460.0
bucket*  104    2     90    180 edge     def_w3d         4      25        100     0.008131      81310.0
w3d      104    2     90    180 edge     def_w3d         4      25        100     0.012342     123420.0
bucket*  104    2     90    180 edge     rand20         20      25        100     0.008172      81720.0
w3d      104    2     90    180 edge     rand20         20      25        100     0.012460     124600.0
bucket*  104    2     90    360 center   none            0      25        100     0.009678      96780.0
w3d      104    2     90    360 center   none            0      25        100     0.013832     138320.0
bucket*  104    2     90    360 center   def_heap        4      25        100     0.009572      95720.0
w3d      104    2     90    360 center   def_heap        4      25        100     0.013916     139160.0
bucket*  104    2     90    360 center   def_w3d         4      25        100     0.009602      96020.0
w3d      104    2     90    360 center   def_w3d         4      25        100     0.013870     138700.0
bucket*  104    2     90    360 center   rand20         20      25        100     0.009549      95490.0
w3d      104    2     90    360 center   rand20         20      25        100     0.013895     138950.0
bucket*  104    2     90    360 corner   none            0      25        100     0.006967      69670.0
w3d      104    2     90    360 corner   none            0      25        100     0.010482     104820.0
bucket*  104    2     90    360 corner   def_heap        4      25        100     0.006804      68040.0
w3d      104    2     90    360 corner   def_heap        4      25        100     0.010656     106560.0
bucket*  104    2     90    360 corner   def_w3d         4      25        100     0.006666      66660.0
w3d      104    2     90    360 corner   def_w3d         4      25        100     0.010276     102760.0
bucket*  104    2     90    360 corner   rand20         20      25        100     0.006873      68730.0
w3d      104    2     90    360 corner   rand20         20      25        100     0.010586     105860.0
bucket*  104    2     90    360 edge     none            0      25        100     0.008100      81000.0
w3d      104    2     90    360 edge     none            0      25        100     0.012171     121710.0
bucket*  104    2     90    360 edge     def_heap        4      25        100     0.008076      80760.0
w3d      104    2     90    360 edge     def_heap        4      25        100     0.011714     117140.0
bucket*  104    2     90    360 edge     def_w3d         4      25        100     0.007733      77330.0
w3d      104    2     90    360 edge     def_w3d         4      25        100     0.011837     118370.0
bucket*  104    2     90    360 edge     rand20         20      25        100     0.008062      80620.0
w3d      104    2     90    360 edge     rand20         20      25        100     0.012045     120450.0
bucket*  104    4     90      0 center   none            0      25        100     0.014981     149810.0
w3d      104    4     90      0 center   none            0      25        100     0.023696     236960.0
bucket*  104    4     90      0 center   def_heap        4      25        100     0.016701     167010.0
w3d      104    4     90      0 center   def_heap        4      25        100     0.024532     245320.0
bucket*  104    4     90      0 center   def_w3d         4      25        100     0.014922     149220.0
w3d      104    4     90      0 center   def_w3d         4      25        100     0.023997     239970.0
bucket*  104    4     90      0 center   rand20         20      25        100     0.015016     150160.0
w3d      104    4     90      0 center   rand20         20      25        100     0.023736     237360.0
bucket*  104    4     90      0 corner   none            0      25        100     0.010021     100210.0
w3d      104    4     90      0 corner   none            0      25        100     0.017437     174370.0
bucket*  104    4     90      0 corner   def_heap        4      25        100     0.010103     101030.0
w3d      104    4     90      0 corner   def_heap        4      25        100     0.017767     177670.0
bucket*  104    4     90      0 corner   def_w3d         4      25        100     0.009871      98710.0
w3d      104    4     90      0 corner   def_w3d         4      25        100     0.017238     172380.0
bucket*  104    4     90      0 corner   rand20         20      25        100     0.009858      98580.0
w3d      104    4     90      0 corner   rand20         20      25        100     0.017354     173540.0
bucket*  104    4     90      0 edge     none            0      25        100     0.012068     120680.0
w3d      104    4     90      0 edge     none            0      25        100     0.020368     203680.0
bucket*  104    4     90      0 edge     def_heap        4      25        100     0.012089     120890.0
w3d      104    4     90      0 edge     def_heap        4      25        100     0.020351     203510.0
bucket*  104    4     90      0 edge     def_w3d         4      25        100     0.012053     120530.0
w3d      104    4     90      0 edge     def_w3d         4      25        100     0.020470     204700.0
bucket*  104    4     90      0 edge     rand20         20      25        100     0.012547     125470.0
w3d      104    4     90      0 edge     rand20         20      25        100     0.020749     207490.0
bucket*  104    4     90     45 center   none            0      25        100     0.015740     157400.0
w3d      104    4     90     45 center   none            0      25        100     0.024073     240730.0
bucket*  104    4     90     45 center   def_heap        4      25        100     0.015270     152700.0
w3d      104    4     90     45 center   def_heap        4      25        100     0.023941     239410.0
bucket*  104    4     90     45 center   def_w3d         4      25        100     0.016004     160040.0
w3d      104    4     90     45 center   def_w3d         4      25        100     0.024975     249750.0
bucket*  104    4     90     45 center   rand20         20      25        100     0.015505     155050.0
w3d      104    4     90     45 center   rand20         20      25        100     0.023751     237510.0
bucket*  104    4     90     45 corner   none            0      25        100     0.010416     104160.0
w3d      104    4     90     45 corner   none            0      25        100     0.017603     176030.0
bucket*  104    4     90     45 corner   def_heap        4      25        100     0.010386     103860.0
w3d      104    4     90     45 corner   def_heap        4      25        100     0.017749     177490.0
bucket*  104    4     90     45 corner   def_w3d         4      25        100     0.010516     105160.0
w3d      104    4     90     45 corner   def_w3d         4      25        100     0.018133     181330.0
bucket*  104    4     90     45 corner   rand20         20      25        100     0.010604     106040.0
w3d      104    4     90     45 corner   rand20         20      25        100     0.018117     181170.0
bucket*  104    4     90     45 edge     none            0      25        100     0.013626     136260.0
w3d      104    4     90     45 edge     none            0      25        100     0.021916     219160.0
bucket*  104    4     90     45 edge     def_heap        4      25        100     0.014223     142230.0
w3d      104    4     90     45 edge     def_heap        4      25        100     0.021811     218110.0
bucket*  104    4     90     45 edge     def_w3d         4      25        100     0.014164     141640.0
w3d      104    4     90     45 edge     def_w3d         4      25        100     0.021631     216310.0
bucket*  104    4     90     45 edge     rand20         20      25        100     0.013660     136600.0
w3d      104    4     90     45 edge     rand20         20      25        100     0.021885     218850.0
bucket*  104    4     90    180 center   none            0      25        100     0.015534     155340.0
w3d      104    4     90    180 center   none            0      25        100     0.026685     266850.0
bucket*  104    4     90    180 center   def_heap        4      25        100     0.015334     153340.0
w3d      104    4     90    180 center   def_heap        4      25        100     0.024256     242560.0
bucket*  104    4     90    180 center   def_w3d         4      25        100     0.015191     151910.0
w3d      104    4     90    180 center   def_w3d         4      25        100     0.024406     244060.0
bucket*  104    4     90    180 center   rand20         20      25        100     0.015094     150940.0
w3d      104    4     90    180 center   rand20         20      25        100     0.024409     244090.0
bucket*  104    4     90    180 corner   none            0      25        100     0.012252     122520.0
w3d      104    4     90    180 corner   none            0      25        100     0.020232     202320.0
bucket*  104    4     90    180 corner   def_heap        4      25        100     0.012236     122360.0
w3d      104    4     90    180 corner   def_heap        4      25        100     0.020010     200100.0
bucket*  104    4     90    180 corner   def_w3d         4      25        100     0.012223     122230.0
w3d      104    4     90    180 corner   def_w3d         4      25        100     0.019741     197410.0
bucket*  104    4     90    180 corner   rand20         20      25        100     0.012542     125420.0
w3d      104    4     90    180 corner   rand20         20      25        100     0.019771     197710.0
bucket*  104    4     90    180 edge     none            0      25        100     0.013249     132490.0
w3d      104    4     90    180 edge     none            0      25        100     0.020601     206010.0
bucket*  104    4     90    180 edge     def_heap        4      25        100     0.012435     124350.0
w3d      104    4     90    180 edge     def_heap        4      25        100     0.020749     207490.0
bucket*  104    4     90    180 edge     def_w3d         4      25        100     0.012318     123180.0
w3d      104    4     90    180 edge     def_w3d         4      25        100     0.020569     205690.0
bucket*  104    4     90    180 edge     rand20         20      25        100     0.012084     120840.0
w3d      104    4     90    180 edge     rand20         20      25        100     0.020481     204810.0
bucket*  104    4     90    360 center   none            0      25        100     0.015093     150930.0
w3d      104    4     90    360 center   none            0      25        100     0.023902     239020.0
bucket*  104    4     90    360 center   def_heap        4      25        100     0.014810     148100.0
w3d      104    4     90    360 center   def_heap        4      25        100     0.024118     241180.0
bucket*  104    4     90    360 center   def_w3d         4      25        100     0.014772     147720.0
w3d      104    4     90    360 center   def_w3d         4      25        100     0.023724     237240.0
bucket*  104    4     90    360 center   rand20         20      25        100     0.014826     148260.0
w3d      104    4     90    360 center   rand20         20      25        100     0.023312     233120.0
bucket*  104    4     90    360 corner   none            0      25        100     0.010083     100830.0
w3d      104    4     90    360 corner   none            0      25        100     0.017707     177070.0
bucket*  104    4     90    360 corner   def_heap        4      25        100     0.009869      98690.0
w3d      104    4     90    360 corner   def_heap        4      25        100     0.017391     173910.0
bucket*  104    4     90    360 corner   def_w3d         4      25        100     0.010036     100360.0
w3d      104    4     90    360 corner   def_w3d         4      25        100     0.017271     172710.0
bucket*  104    4     90    360 corner   rand20         20      25        100     0.009993      99930.0
w3d      104    4     90    360 corner   rand20         20      25        100     0.017325     173250.0
bucket*  104    4     90    360 edge     none            0      25        100     0.012283     122830.0
w3d      104    4     90    360 edge     none            0      25        100     0.020336     203360.0
bucket*  104    4     90    360 edge     def_heap        4      25        100     0.012112     121120.0
w3d      104    4     90    360 edge     def_heap        4      25        100     0.020570     205700.0
bucket*  104    4     90    360 edge     def_w3d         4      25        100     0.012029     120290.0
w3d      104    4     90    360 edge     def_w3d         4      25        100     0.020280     202800.0
bucket*  104    4     90    360 edge     rand20         20      25        100     0.012084     120840.0
w3d      104    4     90    360 edge     rand20         20      25        100     0.020340     203400.0
