algo   grid lvls    fov    yaw eye      scenery     sc_ct  radius      iters       time_s      ns/iter
w3d      11    1     90     45 center   def_heap        4       5      10000     0.028490       2849.0
heap*    11    1     90     45 center   def_w3d         4       5      10000     0.017692       1769.2
w3d      11    1     90     45 center   def_w3d         4       5      10000     0.027194       2719.4
heap*    11    1     90     45 center   rand20         20       5      10000     0.021630       2163.0
w3d      11    1     90     45 center   rand20         20       5      10000     0.030385       3038.5
heap*    11    1     90     45 corner   none            0       5      10000     0.005833        583.3
w3d      11    1     90     45 corner   none            0       5      10000     0.018901       1890.1
heap*    11    1     90     45 corner   def_heap        4       5      10000     0.006282        628.2
w3d      11    1     90     45 corner   def_heap        4       5      10000     0.018948       1894.8
heap*    11    1     90     45 corner   def_w3d         4       5      10000     0.006232        623.2
w3d      11    1     90     45 corner   def_w3d         4       5      10000     0.018860       1886.0
heap*    11    1     90     45 corner   rand20         20       5      10000     0.007202        720.2
w3d      11    1     90     45 corner   rand20         20       5      10000     0.018938       1893.8
heap*    11    1     90     45 edge     none            0       5      10000     0.013513       1351.3
w3d      11    1     90     45 edge     none            0       5      10000     0.024841       2484.1
heap*    11    1     90     45 edge     def_heap        4       5      10000     0.016607       1660.7
w3d      11    1     90     45 edge     def_heap        4       5      10000     0.026335       2633.5
heap*    11    1     90     45 edge     def_w3d         4       5      10000     0.016397       1639.7
w3d      11    1     90     45 edge     def_w3d         4       5      10000     0.026214       2621.4
heap*    11    1     90     45 edge     rand20         20       5      10000     0.019897       1989.7
w3d      11    1     90     45 edge     rand20         20       5      10000     0.026689       2668.9
heap*    11    1     90    180 center   none            0       5      10000     0.013349       1334.9
w3d      11    1     90    180 center   none            0       5      10000     0.027133       2713.3
heap*    11    1     90    180 center   def_heap        4       5      10000     0.014129       1412.9
w3d      11    1     90    180 center   def_heap        4       5      10000     0.027587       2758.7
heap*    11    1     90    180 center   def_w3d         4       5      10000     0.017762       1776.2
w3d      11    1     90    180 center   def_w3d         4       5      10000     0.029095       2909.5
heap*    11    1     90    180 center   rand20         20       5      10000     0.022704       2270.4
w3d      11    1     90    180 center   rand20         20       5      10000     0.030131       3013.1
heap*    11    1     90    180 corner   none            0       5      10000     0.010289       1028.9
w3d      11    1     90    180 corner   none            0       5      10000     0.021989       2198.9
heap*    11    1     90    180 corner   def_heap        4       5      10000     0.012958       1295.8
w3d      11    1     90    180 corner   def_heap        4       5      10000     0.022901       2290.1
heap*    11    1     90    180 corner   def_w3d         4       5      10000     0.012972       1297.2
w3d      11    1     90    180 corner   def_w3d         4       5      10000     0.022620       2262.0
heap*    11    1     90    180 corner   rand20         20       5      10000     0.014792       1479.2
w3d      11    1     90    180 corner   rand20         20       5      10000     0.022729       2272.9
heap*    11    1     90    180 edge     none            0       5      10000     0.010513       1051.3
w3d      11    1     90    180 edge     none            0       5      10000     0.023377       2337.7
heap*    11    1     90    180 edge     def_heap        4       5      10000     0.010672       1067.2
w3d      11    1     90    180 edge     def_heap        4       5      10000     0.022995       2299.5
heap*    11    1     90    180 edge     def_w3d         4       5      10000     0.010730       1073.0
w3d      11    1     90    180 edge     def_w3d         4       5      10000     0.023092       2309.2
heap*    11    1     90    180 edge     rand20         20       5      10000     0.018173       1817.3
w3d      11    1     90    180 edge     rand20         20       5      10000     0.025085       2508.5
heap*    11    1     90    360 center   none            0       5      10000     0.013810       1381.0
w3d      11    1     90    360 center   none            0       5      10000     0.027558       2755.8
heap*    11    1     90    360 center   def_heap        4       5      10000     0.017481       1748.1
w3d      11    1     90    360 center   def_heap        4       5      10000     0.029284       2928.4
heap*    11    1     90    360 center   def_w3d         4       5      10000     0.017316       1731.6
w3d      11    1     90    360 center   def_w3d         4       5      10000     0.029217       2921.7
heap*    11    1     90    360 center   rand20         20       5      10000     0.019868       1986.8
w3d      11    1     90    360 center   rand20         20       5      10000     0.030622       3062.2
heap*    11    1     90    360 corner   none            0       5      10000     0.005902        590.2
w3d      11    1     90    360 corner   none            0       5      10000     0.019126       1912.6
heap*    11    1     90    360 corner   def_heap        4       5      10000     0.006448        644.8
w3d      11    1     90    360 corner   def_heap        4       5      10000     0.018927       1892.7
heap*    11    1     90    360 corner   def_w3d         4       5      10000     0.006454        645.4
w3d      11    1     90    360 corner   def_w3d         4       5      10000     0.019067       1906.7
heap*    11    1     90    360 corner   rand20         20       5      10000     0.007327        732.7
w3d      11    1     90    360 corner   rand20         20       5      10000     0.019187       1918.7
heap*    11    1     90    360 edge     none            0       5      10000     0.009081        908.1
w3d      11    1     90    360 edge     none            0       5      10000     0.023087       2308.7
heap*    11    1     90    360 edge     def_heap        4       5      10000     0.012106       1210.6
w3d      11    1     90    360 edge     def_heap        4       5      10000     0.023710       2371.0
heap*    11    1     90    360 edge     def_w3d         4       5      10000     0.012304       1230.4
w3d      11    1     90    360 edge     def_w3d         4       5      10000     0.023662       2366.2
heap*    11    1     90    360 edge     rand20         20       5      10000     0.011072       1107.2
w3d      11    1     90    360 edge     rand20         20       5      10000     0.023471       2347.1
heap*    11    2     90      0 center   none            0       5      10000     0.024228       2422.8
w3d      11    2     90      0 center   none            0       5      10000     0.051131       5113.1
heap*    11    2     90      0 center   def_heap        4       5      10000     0.027846       2784.6
w3d      11    2     90      0 center   def_heap        4       5      10000     0.051194       5119.4
heap*    11    2     90      0 center   def_w3d         4       5      10000     0.027991       2799.1
w3d      11    2     90      0 center   def_w3d         4       5      10000     0.051388       5138.8
heap*    11    2     90      0 center   rand20         20       5      10000     0.032244       3224.4
w3d      11    2     90      0 center   rand20         20       5      10000     0.053395       5339.5
heap*    11    2     90      0 corner   none            0       5      10000     0.008017        801.7
w3d      11    2     90      0 corner   none            0       5      10000     0.033317       3331.7
heap*    11    2     90      0 corner   def_heap        4       5      10000     0.008451        845.1
w3d      11    2     90      0 corner   def_heap        4       5      10000     0.033324       3332.4
heap*    11    2     90      0 corner   def_w3d         4       5      10000     0.008443        844.3
w3d      11    2     90      0 corner   def_w3d         4       5      10000     0.033373       3337.3
heap*    11    2     90      0 corner   rand20         20       5      10000     0.009672        967.2
w3d      11    2     90      0 corner   rand20         20       5      10000     0.033654       3365.4
heap*    11    2     90      0 edge     none            0       5      10000     0.015694       1569.4
w3d      11    2     90      0 edge     none            0       5      10000     0.041961       4196.1
heap*    11    2     90      0 edge     def_heap        4       5      10000     0.021016       2101.6
w3d      11    2     90      0 edge     def_heap        4       5      10000     0.043321       4332.1
heap*    11    2     90      0 edge     def_w3d         4       5      10000     0.021212       2121.2
w3d      11    2     90      0 edge     def_w3d         4       5      10000     0.044093       4409.3
heap*    11    2     90      0 edge     rand20         20       5      10000     0.019372       1937.2
w3d      11    2     90      0 edge     rand20         20       5      10000     0.043424       4342.4
heap*    11    2     90     45 center   none            0       5      10000     0.025738       2573.8
w3d      11    2     90     45 center   none            0       5      10000     0.050187       5018.7
heap*    11    2     90     45 center   def_heap        4       5      10000     0.033669       3366.9
w3d      11    2     90     45 center   def_heap        4       5      10000     0.051917       5191.7
heap*    11    2     90     45 center   def_w3d         4       5      10000     0.031064       3106.4
w3d      11    2     90     45 center   def_w3d         4       5      10000     0.049417       4941.7
heap*    11    2     90     45 center   rand20         20       5      10000     0.035221       3522.1
w3d      11    2     90     45 center   rand20         20       5      10000     0.052405       5240.5
heap*    11    2     90     45 corner   none            0       5      10000     0.007977        797.7
w3d      11    2     90     45 corner   none            0       5      10000     0.034040       3404.0
heap*    11    2     90     45 corner   def_heap        4       5      10000     0.008510        851.0
w3d      11    2     90     45 corner   def_heap        4       5      10000     0.033446       3344.6
heap*    11    2     90     45 corner   def_w3d         4       5      10000     0.008475        847.5
w3d      11    2     90     45 corner   def_w3d         4       5      10000     0.033647       3364.7
heap*    11    2     90     45 corner   rand20         20       5      10000     0.009465        946.5
w3d      11    2     90     45 corner   rand20         20       5      10000     0.033613       3361.3
heap*    11    2     90     45 edge     none            0       5      10000     0.024558       2455.8
w3d      11    2     90     45 edge     none            0       5      10000     0.044436       4443.6
heap*    11    2     90     45 edge     def_heap        4       5      10000     0.029487       2948.7
w3d      11    2     90     45 edge     def_heap        4       5      10000     0.046661       4666.1
heap*    11    2     90     45 edge     def_w3d         4       5      10000     0.029257       2925.7
w3d      11    2     90     45 edge     def_w3d         4       5      10000     0.046860       4686.0
heap*    11    2     90     45 edge     rand20         20       5      10000     0.035102       3510.2
w3d      11    2     90     45 edge     rand20         20       5      10000     0.048997       4899.7
heap*    11    2     90    180 center   none            0       5      10000     0.025208       2520.8
w3d      11    2     90    180 center   none            0       5      10000     0.050445       5044.5
heap*    11    2     90    180 center   def_heap        4       5      10000     0.026558       2655.8
w3d      11    2     90    180 center   def_heap        4       5      10000     0.052862       5286.2
heap*    11    2     90    180 center   def_w3d         4       5      10000     0.031673       3167.3
w3d      11    2     90    180 center   def_w3d         4       5      10000     0.052201       5220.1
heap*    11    2     90    180 center   rand20         20       5      10000     0.052403       5240.3
w3d      11    2     90    180 center   rand20         20       5      10000     0.059587       5958.7
heap*    11    2     90    180 corner   none            0       5      10000     0.018401       1840.1
w3d      11    2     90    180 corner   none            0       5      10000     0.039399       3939.9
heap*    11    2     90    180 corner   def_heap        4       5      10000     0.022640       2264.0
w3d      11    2     90    180 corner   def_heap        4       5      10000     0.040168       4016.8
heap*    11    2     90    180 corner   def_w3d         4       5      10000     0.022684       2268.4
w3d      11    2     90    180 corner   def_w3d         4       5      10000     0.040692       4069.2
heap*    11    2     90    180 corner   rand20         20       5      10000     0.033718       3371.8
w3d      11    2     90    180 corner   rand20         20       5      10000     0.044376       4437.6
heap*    11    2     90    180 edge     none            0       5      10000     0.019279       1927.9
w3d      11    2     90    180 edge     none            0       5      10000     0.043286       4328.6
heap*    11    2     90    180 edge     def_heap        4       5      10000     0.019667       1966.7
w3d      11    2     90    180 edge     def_heap        4       5      10000     0.042969       4296.9
heap*    11    2     90    180 edge     def_w3d         4       5      10000     0.019365       1936.5
w3d      11    2     90    180 edge     def_w3d         4       5      10000     0.042697       4269.7
heap*    11    2     90    180 edge     rand20         20       5      10000     0.031340       3134.0
w3d      11    2     90    180 edge     rand20         20       5      10000     0.043634       4363.4
heap*    11    2     90    360 center   none            0       5      10000     0.025096       2509.6
w3d      11    2     90    360 center   none            0       5      10000     0.050232       5023.2
heap*    11    2     90    360 center   def_heap        4       5      10000     0.031738       3173.8
w3d      11    2     90    360 center   def_heap        4       5      10000     0.052329       5232.9
heap*    11    2     90    360 center   def_w3d         4       5      10000     0.031411       3141.1
w3d      11    2     90    360 center   def_w3d         4       5      10000     0.051993       5199.3
heap*    11    2     90    360 center   rand20         20       5      10000     0.036684       3668.4
w3d      11    2     90    360 center   rand20         20       5      10000     0.054789       5478.9
heap*    11    2     90    360 corner   none            0       5      10000     0.007974        797.4
w3d      11    2     90    360 corner   none            0       5      10000     0.033433       3343.3
heap*    11    2     90    360 corner   def_heap        4       5      10000     0.008522        852.2
w3d      11    2     90    360 corner   def_heap        4       5      10000     0.033645       3364.5
heap*    11    2     90    360 corner   def_w3d         4       5      10000     0.008577        857.7
w3d      11    2     90    360 corner   def_w3d         4       5      10000     0.033403       3340.3
heap*    11    2     90    360 corner   rand20         20       5      10000     0.009690        969.0
w3d      11    2     90    360 corner   rand20         20       5      10000     0.033512       3351.2
heap*    11    2     90    360 edge     none            0       5      10000     0.015803       1580.3
w3d      11    2     90    360 edge     none            0       5      10000     0.040844       4084.4
heap*    11    2     90    360 edge     def_heap        4       5      10000     0.020308       2030.8
w3d      11    2     90    360 edge     def_heap        4       5      10000     0.042410       4241.0
heap*    11    2     90    360 edge     def_w3d         4       5      10000     0.020443       2044.3
w3d      11    2     90    360 edge     def_w3d         4       5      10000     0.042845       4284.5
heap*    11    2     90    360 edge     rand20         20       5      10000     0.019610       1961.0
w3d      11    2     90    360 edge     rand20         20       5      10000     0.042346       4234.6
heap*    51    1     90      0 center   none            0      25      10000     0.482001      48200.1
w3d      51    1     90      0 center   none            0      25      10000     0.522175      52217.5
heap*    51    1     90      0 center   def_heap        4      25      10000     0.503291      50329.1
w3d      51    1     90      0 center   def_heap        4      25      10000     0.525690      52569.0
heap*    51    1     90      0 center   def_w3d         4      25      10000     0.505984      50598.4
w3d      51    1     90      0 center   def_w3d         4      25      10000     0.530833      53083.3
heap*    51    1     90      0 center   rand20         20      25      10000     0.501993      50199.3
w3d      51    1     90      0 center   rand20         20      25      10000     0.527110      52711.0
heap*    51    1     90      0 corner   none            0      25      10000     0.129816      12981.6
w3d      51    1     90      0 corner   none            0      25      10000     0.370706      37070.6
heap*    51    1     90      0 corner   def_heap        4      25      10000     0.134849      13484.9
w3d      51    1     90      0 corner   def_heap        4      25      10000     0.366410      36641.0
heap*    51    1     90      0 corner   def_w3d         4      25      10000     0.132542      13254.2
w3d      51    1     90      0 corner   def_w3d         4      25      10000     0.370065      37006.5
heap*    51    1     90      0 corner   rand20         20      25      10000     0.134231      13423.1
w3d      51    1     90      0 corner   rand20         20      25      10000     0.388214      38821.4
heap*    51    1     90      0 edge     none            0      25      10000     0.278271      27827.1
w3d      51    1     90      0 edge     none            0      25      10000     0.441658      44165.8
heap*    51    1     90      0 edge     def_heap        4      25      10000     0.302344      30234.4
w3d      51    1     90      0 edge     def_heap        4      25      10000     0.451874      45187.4
heap*    51    1     90      0 edge     def_w3d         4      25      10000     0.299165      29916.5
w3d      51    1     90      0 edge     def_w3d         4      25      10000     0.468020      46802.0
heap*    51    1     90      0 edge     rand20         20      25      10000     0.317483      31748.3
w3d      51    1     90      0 edge     rand20         20      25      10000     0.464420      46442.0
heap*    51    1     90     45 center   none            0      25      10000     0.502580      50258.0
w3d      51    1     90     45 center   none            0      25      10000     0.540076      54007.6
heap*    51    1     90     45 center   def_heap        4      25      10000     0.505005      50500.5
w3d      51    1     90     45 center   def_heap        4      25      10000     0.523272      52327.2
heap*    51    1     90     45 center   def_w3d         4      25      10000     0.483042      48304.2
w3d      51    1     90     45 center   def_w3d         4      25      10000     0.512310      51231.0
heap*    51    1     90     45 center   rand20         20      25      10000     0.512463      51246.3
w3d      51    1     90     45 center   rand20         20      25      10000     0.529162      52916.2
heap*    51    1     90     45 corner   none            0      25      10000     0.138721      13872.1
w3d      51    1     90     45 corner   none            0      25      10000     0.373145      37314.5
heap*    51    1     90     45 corner   def_heap        4      25      10000     0.139198      13919.8
w3d      51    1     90     45 corner   def_heap        4      25      10000     0.380110      38011.0
heap*    51    1     90     45 corner   def_w3d         4      25      10000     0.140769      14076.9
w3d      51    1     90     45 corner   def_w3d         4      25      10000     0.372697      37269.7
heap*    51    1     90     45 corner   rand20         20      25      10000     0.140273      14027.3
w3d      51    1     90     45 corner   rand20         20      25      10000     0.380115      38011.5
heap*    51    1     90     45 edge     none            0      25      10000     0.458100      45810.0
w3d      51    1     90     45 edge     none            0      25      10000     0.471534      47153.4
heap     51    1     90     45 edge     def_heap        4      25      10000     0.476655      47665.5
w3d*     51    1     90     45 edge     def_heap        4      25      10000     0.471421      47142.1
heap     51    1     90     45 edge     def_w3d         4      25      10000     0.482104      48210.4
w3d*     51    1     90     45 edge     def_w3d         4      25      10000     0.473373      47337.3
heap     51    1     90     45 edge     rand20         20      25      10000     0.480241      48024.1
w3d*     51    1     90     45 edge     rand20         20      25      10000     0.476310      47631.0
heap*    51    1     90    180 center   none            0      25      10000     0.492104      49210.4
w3d      51    1     90    180 center   none            0      25      10000     0.516700      51670.0
heap*    51    1     90    180 center   def_heap        4      25      10000     0.487465      48746.5
w3d      51    1     90    180 center   def_heap        4      25      10000     0.518470      51847.0
heap*    51    1     90    180 center   def_w3d         4      25      10000     0.487712      48771.2
w3d      51    1     90    180 center   def_w3d         4      25      10000     0.513832      51383.2
heap*    51    1     90    180 center   rand20         20      25      10000     0.516339      51633.9
w3d      51    1     90    180 center   rand20         20      25      10000     0.526272      52627.2
heap*    51    1     90    180 corner   none            0      25      10000     0.302991      30299.1
w3d      51    1     90    180 corner   none            0      25      10000     0.418910      41891.0
heap*    51    1     90    180 corner   def_heap        4      25      10000     0.308246      30824.6
w3d      51    1     90    180 corner   def_heap        4      25      10000     0.425021      42502.1
heap*    51    1     90    180 corner   def_w3d         4      25      10000     0.309888      30988.8
w3d      51    1     90    180 corner   def_w3d         4      25      10000     0.426982      42698.2
heap*    51    1     90    180 corner   rand20         20      25      10000     0.319441      31944.1
w3d      51    1     90    180 corner   rand20         20      25      10000     0.425803      42580.3
heap*    51    1     90    180 edge     none            0      25      10000     0.296693      29669.3
w3d      51    1     90    180 edge     none            0      25      10000     0.442740      44274.0
heap*    51    1     90    180 edge     def_heap        4      25      10000     0.290174      29017.4
w3d      51    1     90    180 edge     def_heap        4      25      10000     0.442407      44240.7
heap*    51    1     90    180 edge     def_w3d         4      25      10000     0.296772      29677.2
w3d      51    1     90    180 edge     def_w3d         4      25      10000     0.446925      44692.5
heap*    51    1     90    180 edge     rand20         20      25      10000     0.314285      31428.5
w3d      51    1     90    180 edge     rand20         20      25      10000     0.451762      45176.2
heap*    51    1     90    360 center   none            0      25      10000     0.474248      47424.8
w3d      51    1     90    360 center   none            0      25      10000     0.515718      51571.8
heap*    51    1     90    360 center   def_heap        4      25      10000     0.495670      49567.0
w3d      51    1     90    360 center   def_heap        4      25      10000     0.531910      53191.0
heap*    51    1     90    360 center   def_w3d         4      25      10000     0.498339      49833.9
w3d      51    1     90    360 center   def_w3d         4      25      10000     0.520661      52066.1
heap*    51    1     90    360 center   rand20         20      25      10000     0.493877      49387.7
w3d      51    1     90    360 center   rand20         20      25      10000     0.531561      53156.1
heap*    51    1     90    360 corner   none            0      25      10000     0.136718      13671.8
w3d      51    1     90    360 corner   none            0      25      10000     0.386890      38689.0
heap*    51    1     90    360 corner   def_heap        4      25      10000     0.132409      13240.9
w3d      51    1     90    360 corner   def_heap        4      25      10000     0.368426      36842.6
heap*    51    1     90    360 corner   def_w3d         4      25      10000     0.131931      13193.1
w3d      51    1     90    360 corner   def_w3d         4      25      10000     0.371775      37177.5
heap*    51    1     90    360 corner   rand20         20      25      10000     0.139048      13904.8
w3d      51    1     90    360 corner   rand20         20      25      10000     0.371320      37132.0
heap*    51    1     90    360 edge     none            0      25      10000     0.273510      27351.0
w3d      51    1     90    360 edge     none            0      25      10000     0.446024      44602.4
heap*    51    1     90    360 edge     def_heap        4      25      10000     0.298002      29800.2
w3d      51    1     90    360 edge     def_heap        4      25      10000     0.451984      45198.4
heap*    51    1     90    360 edge     def_w3d         4      25      10000     0.296621      29662.1
w3d      51    1     90    360 edge     def_w3d         4      25      10000     0.452586      45258.6
heap*    51    1     90    360 edge     rand20         20      25      10000     0.290744      29074.4
w3d      51    1     90    360 edge     rand20         20      25      10000     0.447769      44776.9
heap     51    2     90      0 center   none            0      25      10000     0.968023      96802.3
w3d*     51    2     90      0 center   none            0      25      10000     0.960983      96098.3
heap     51    2     90      0 center   def_heap        4      25      10000     1.015852     101585.2
w3d*     51    2     90      0 center   def_heap        4      25      10000     0.982406      98240.6
heap     51    2     90      0 center   def_w3d         4      25      10000     1.024213     102421.3
w3d*     51    2     90      0 center   def_w3d         4      25      10000     0.983393      98339.3
heap     51    2     90      0 center   rand20         20      25      10000     1.005551     100555.1
w3d*     51    2     90      0 center   rand20         20      25      10000     0.990359      99035.9
heap*    51    2     90      0 corner   none            0      25      10000     0.187264      18726.4
w3d      51    2     90      0 corner   none            0      25      10000     0.653863      65386.3
heap*    51    2     90      0 corner   def_heap        4      25      10000     0.177882      17788.2
w3d      51    2     90      0 corner   def_heap        4      25      10000     0.655544      65554.4
heap*    51    2     90      0 corner   def_w3d         4      25      10000     0.178088      17808.8
w3d      51    2     90      0 corner   def_w3d         4      25      10000     0.655302      65530.2
heap*    51    2     90      0 corner   rand20         20      25      10000     0.179105      17910.5
w3d      51    2     90      0 corner   rand20         20      25      10000     0.651643      65164.3
heap*    51    2     90      0 edge     none            0      25      10000     0.521370      52137.0
w3d      51    2     90      0 edge     none            0      25      10000     0.787422      78742.2
heap*    51    2     90      0 edge     def_heap        4      25      10000     0.561124      56112.4
w3d      51    2     90      0 edge     def_heap        4      25      10000     0.803878      80387.8
heap*    51    2     90      0 edge     def_w3d         4      25      10000     0.564918      56491.8
w3d      51    2     90      0 edge     def_w3d         4      25      10000     0.811725      81172.5
heap*    51    2     90      0 edge     rand20         20      25      10000     0.551301      55130.1
w3d      51    2     90      0 edge     rand20         20      25      10000     0.808148      80814.8
heap     51    2     90     45 center   none            0      25      10000     0.978946      97894.6
w3d*     51    2     90     45 center   none            0      25      10000     0.918932      91893.2
heap     51    2     90     45 center   def_heap        4      25      10000     0.974097      97409.7
w3d*     51    2     90     45 center   def_heap        4      25      10000     0.928117      92811.7
heap     51    2     90     45 center   def_w3d         4      25      10000     0.968082      96808.2
w3d*     51    2     90     45 center   def_w3d         4      25      10000     0.926689      92668.9
heap     51    2     90     45 center   rand20         20      25      10000     1.001263     100126.3
w3d*     51    2     90     45 center   rand20         20      25      10000     0.956193      95619.3
heap*    51    2     90     45 corner   none            0      25      10000     0.183781      18378.1
w3d      51    2     90     45 corner   none            0      25      10000     0.660966      66096.6
heap*    51    2     90     45 corner   def_heap        4      25      10000     0.182656      18265.6
w3d      51    2     90     45 corner   def_heap        4      25      10000     0.655615      65561.5
heap*    51    2     90     45 corner   def_w3d         4      25      10000     0.182095      18209.5
w3d      51    2     90     45 corner   def_w3d         4      25      10000     0.658667      65866.7
heap*    51    2     90     45 corner   rand20         20      25      10000     0.183320      18332.0
w3d      51    2     90     45 corner   rand20         20      25      10000     0.654831      65483.1
heap     51    2     90     45 edge     none            0      25      10000     0.926556      92655.6
w3d*     51    2     90     45 edge     none            0      25      10000     0.848299      84829.9
heap     51    2     90     45 edge     def_heap        4      25      10000     0.960347      96034.7
w3d*     51    2     90     45 edge     def_heap        4      25      10000     0.857878      85787.8
heap     51    2     90     45 edge     def_w3d         4      25      10000     0.956099      95609.9
w3d*     51    2     90     45 edge     def_w3d         4      25      10000     0.855378      85537.8
heap     51    2     90     45 edge     rand20         20      25      10000     0.947627      94762.7
w3d*     51    2     90     45 edge     rand20         20      25      10000     0.863346      86334.6
heap     51    2     90    180 center   none            0      25      10000     0.992593      99259.3
w3d*     51    2     90    180 center   none            0      25      10000     0.950187      95018.7
heap     51    2     90    180 center   def_heap        4      25      10000     0.990831      99083.1
w3d*     51    2     90    180 center   def_heap        4      25      10000     0.947088      94708.8
heap     51    2     90    180 center   def_w3d         4      25      10000     0.994350      99435.0
w3d*     51    2     90    180 center   def_w3d         4      25      10000     0.978941      97894.1
heap     51    2     90    180 center   rand20         20      25      10000     1.053946     105394.6
w3d*     51    2     90    180 center   rand20         20      25      10000     0.986165      98616.5
heap*    51    2     90    180 corner   none            0      25      10000     0.541108      54110.8
w3d      51    2     90    180 corner   none            0      25      10000     0.758479      75847.9
heap*    51    2     90    180 corner   def_heap        4      25      10000     0.551360      55136.0
w3d      51    2     90    180 corner   def_heap        4      25      10000     0.756257      75625.7
heap*    51    2     90    180 corner   def_w3d         4      25      10000     0.554946      55494.6
w3d      51    2     90    180 corner   def_w3d         4      25      10000     0.750232      75023.2
heap*    51    2     90    180 corner   rand20         20      25      10000     0.558062      55806.2
w3d      51    2     90    180 corner   rand20         20      25      10000     0.749824      74982.4
heap*    51    2     90    180 edge     none            0      25      10000     0.549683      54968.3
w3d      51    2     90    180 edge     none            0      25      10000     0.795729      79572.9
heap*    51    2     90    180 edge     def_heap        4      25      10000     0.557247      55724.7
w3d      51    2     90    180 edge     def_heap        4      25      10000     0.797173      79717.3
heap*    51    2     90    180 edge     def_w3d         4      25      10000     0.550535      55053.5
w3d      51    2     90    180 edge     def_w3d         4      25      10000     0.799592      79959.2
heap*    51    2     90    180 edge     rand20         20      25      10000     0.573591      57359.1
w3d      51    2     90    180 edge     rand20         20      25      10000     0.815338      81533.8
heap*    51    2     90    360 center   none            0      25      10000     0.961737      96173.7
w3d      51    2     90    360 center   none            0      25      10000     0.963008      96300.8
heap     51    2     90    360 center   def_heap        4      25      10000     0.998801      99880.1
w3d*     51    2     90    360 center   def_heap        4      25      10000     0.959756      95975.6
heap     51    2     90    360 center   def_w3d         4      25      10000     1.001600     100160.0
w3d*     51    2     90    360 center   def_w3d         4      25      10000     0.976389      97638.9
heap     51    2     90    360 center   rand20         20      25      10000     0.983822      98382.2
w3d*     51    2     90    360 center   rand20         20      25      10000     0.973700      97370.0
heap*    51    2     90    360 corner   none            0      25      10000     0.176376      17637.6
w3d      51    2     90    360 corner   none            0      25      10000     0.658313      65831.3
heap*    51    2     90    360 corner   def_heap        4      25      10000     0.177701      17770.1
w3d      51    2     90    360 corner   def_heap        4      25      10000     0.652546      65254.6
heap*    51    2     90    360 corner   def_w3d         4      25      10000     0.179667      17966.7
w3d      51    2     90    360 corner   def_w3d         4      25      10000     0.653876      65387.6
heap*    51    2     90    360 corner   rand20         20      25      10000     0.178108      17810.8
w3d      51    2     90    360 corner   rand20         20      25      10000     0.654077      65407.7
heap*    51    2     90    360 edge     none            0      25      10000     0.507376      50737.6
w3d      51    2     90    360 edge     none            0      25      10000     0.786878      78687.8
heap*    51    2     90    360 edge     def_heap        4      25      10000     0.543167      54316.7
w3d      51    2     90    360 edge     def_heap        4      25      10000     0.805839      80583.9
heap*    51    2     90    360 edge     def_w3d         4      25      10000     0.541256      54125.6
w3d      51    2     90    360 edge     def_w3d         4      25      10000     0.797510      79751.0
heap*    51    2     90    360 edge     rand20         20      25      10000     0.527355      52735.5
w3d      51    2     90    360 edge     rand20         20      25      10000     0.801353      80135.3
heap*   104    1     90      0 center   none            0      25      10000     0.906115      90611.5
w3d     104    1     90      0 center   none            0      25      10000     0.926053      92605.3
heap*   104    1     90      0 center   def_heap        4      25      10000     0.910824      91082.4
w3d     104    1     90      0 center   def_heap        4      25      10000     0.928272      92827.2
