type,entry,npc,source_npc,pouch,combat_familiar,peaceful,burden_beast,auto_assist,armed,style,style_source,reach,attack_seq,defend_seq,death_seq,attack_sound,defend_sound,death_sound,attack_speed,attack_speed_source,attack_speed_530,attack_level,strength_level,defence_level,magic_level,range_level,lifepoints,bonuses
53,obsidian_golem,summoning_cohort_obsidian_golem_obsidian_golem,7345,12792,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_obsidian_golem_attack,summoning_roster_530_obsidian_golem_defend,summoning_roster_530_obsidian_golem_death,,,,8,preeoc_param14,5,60,60,60,60,60,10,100 120 90 100 90 90 40 50 0 0 0 0 0 0 0
54,granite_lobster,summoning_cohort_granite_lobster_granite_lobster,6849,12069,1,0,1,0,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_granite_lobster_attack,summoning_roster_530_granite_lobster_defend,summoning_roster_530_granite_lobster_death,,,,8,preeoc_param14,5,60,60,60,0,60,10,93 90 65 90 30 40 50 50 60 40 0 0 0 0 0
55,praying_mantis,summoning_cohort_praying_mantis_praying_mantis,6798,12011,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_special_move_praying_mantis_mantis_strike,,summoning_roster_530_praying_mantis_death,,,,8,preeoc_param14,5,60,60,60,60,60,107,
56,forge_regent_beast,summoning_cohort_forge_regent_forge_regent,7335,12782,1,0,0,1,1,ranged,STYLE_RANGE_ACCURATE,7,summoning_roster_530_forge_regent_beast_attack,,summoning_roster_530_forge_regent_beast_death,,,,8,preeoc_param14,5,60,60,60,60,60,108,
57,talon_beast,summoning_cohort_talon_beast_talon_beast,7347,12794,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_special_move_talon_beast_deadly_claw,,summoning_roster_530_talon_beast_death,,,,8,preeoc_param14,5,60,60,60,60,60,110,
58,giant_ent,summoning_cohort_giant_ent_giant_ent,6800,12013,1,0,1,0,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_giant_ent_attack,,summoning_roster_530_giant_ent_death,,,,8,preeoc_param14,5,60,60,60,60,60,111,
59,fire_titan,summoning_cohort_fire_titan_fire_titan,7355,12802,1,0,0,1,1,magic,STYLE_CAST,10,summoning_roster_530_fire_titan_attack,summoning_roster_530_fire_titan_defend,summoning_roster_530_fire_titan_death,,,,8,preeoc_param14,5,40,30,40,40,30,476,64 45 76 82 120 84 140 120 106 89 113 80 0 0 0
60,moss_titan,summoning_cohort_moss_titan_moss_titan,7357,12804,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_moss_titan_attack,summoning_roster_530_fire_titan_defend,summoning_roster_530_moss_titan_death,,,,8,preeoc_param14,5,40,30,40,40,30,476,64 45 76 82 120 84 140 120 106 89 113 80 0 0 0
61,ice_titan,summoning_cohort_ice_titan_ice_titan,7359,12806,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_roster_530_ice_titan_attack,summoning_roster_530_fire_titan_defend,summoning_roster_530_ice_titan_death,,,,8,preeoc_param14,5,40,30,40,40,30,476,64 45 76 82 120 84 140 120 106 89 113 80 0 0 0
62,hydra,summoning_cohort_hydra_hydra,6811,12025,1,0,0,1,1,ranged,STYLE_RANGE_ACCURATE,7,summoning_roster_530_hydra_attack,summoning_roster_530_hydra_defend,summoning_roster_530_hydra_death,,,,8,preeoc_param14,5,1,1,1,0,1,10,
63,spirit_dagannoth,summoning_cohort_spirit_dagannoth_spirit_dagannoth,6804,12017,1,0,0,1,1,melee,STYLE_CONTROLLED,1,summoning_special_move_spirit_dagannoth_spike_shot,,summoning_roster_530_spirit_dagannoth_death,,,,8,preeoc_param14,5,65,65,65,65,65,115,
64,lava_titan,summoning_cohort_lava_titan_lava_titan,7341,12788,1,0,0,1,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_lava_titan_attack,,summoning_roster_530_lava_titan_death,,,,8,preeoc_param14,5,65,65,65,65,65,115,100 120 90 100 90 90 40 50 0 0 0 0 0 0 0
65,swamp_titan,summoning_cohort_swamp_titan_swamp_titan,7329,12776,1,0,0,1,1,melee,STYLE_ACCURATE,1,summoning_roster_530_swamp_titan_attack,summoning_roster_530_swamp_titan_defend,summoning_roster_530_swamp_titan_death,,,,8,preeoc_param14,5,60,60,65,65,65,117,60 60 60 60 50 50 100 200 200 28 100 100 70 70 70
66,bronze_minotaur,summoning_cohort_bronze_minotaur_bronze_minotaur,6853,12073,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_bronze_minotaur_attack,summoning_roster_530_bronze_minotaur_defend,summoning_roster_530_bronze_minotaur_death,,,,8,preeoc_param14,5,19,19,19,1,1,133,-2 6 3 0 0 15 14 9 -6 14 5 90 0 0 0
67,iron_minotaur,summoning_cohort_iron_minotaur_iron_minotaur,6855,12075,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_bronze_minotaur_attack,summoning_roster_530_bronze_minotaur_defend,summoning_roster_530_bronze_minotaur_death,,,,8,preeoc_param14,5,25,25,25,25,1,193,-2 8 5 0 0 21 17 9 -6 20 5 100 0 100 0
68,steel_minotaur,summoning_cohort_steel_minotaur_steel_minotaur,6857,12077,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_bronze_minotaur_attack,summoning_roster_530_bronze_minotaur_defend,summoning_roster_530_bronze_minotaur_death,,,,8,preeoc_param14,5,28,28,28,28,1,260,-2 16 11 0 0 32 31 24 -6 31 5 122 0 122 0
69,mithril_minotaur,summoning_cohort_mithril_minotaur_mithril_minotaur,6859,12079,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_bronze_minotaur_attack,summoning_roster_530_bronze_minotaur_defend,summoning_roster_530_bronze_minotaur_death,,,,8,preeoc_param14,5,30,30,30,30,0,340,-2 22 17 0 0 46 44 38 -6 44 20 146 0 147 0
70,adamant_minotaur,summoning_cohort_adamant_minotaur_adamant_minotaur,6861,12081,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_bronze_minotaur_attack,summoning_roster_530_bronze_minotaur_defend,summoning_roster_530_bronze_minotaur_death,,,,8,preeoc_param14,5,35,35,35,35,1,441,-2 31 26 -3 -17 65 63 55 -6 63 30 146 0 181 0
71,rune_minotaur,summoning_cohort_rune_minotaur_rune_minotaur,6863,12083,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_bronze_minotaur_attack,summoning_roster_530_bronze_minotaur_defend,summoning_roster_530_bronze_minotaur_death,,,,8,preeoc_param14,5,40,40,40,40,1,570,-2 48 43 0 -1 207 209 192 -12 205 102 157 0 195 0
72,unicorn_stallion,summoning_cohort_unicorn_stallion_unicorn_stallion,6822,12039,1,1,0,0,1,melee,STYLE_CONTROLLED,1,summoning_roster_530_unicorn_stallion_attack,summoning_roster_530_unicorn_stallion_defend,summoning_roster_530_unicorn_stallion_death,,,,8,preeoc_param14,5,64,62,70,69,72,100,48 59 43 52 104 52 116 123 134 46 127 4 0 0 0
73,geyser_titan,summoning_cohort_geyser_titan_geyser_titan,7339,12786,1,0,0,1,1,ranged,STYLE_RANGE_ACCURATE,7,summoning_roster_530_geyser_titan_magic,summoning_roster_530_geyser_titan_defend,summoning_roster_530_geyser_titan_death,,,,8,preeoc_param14,5,70,70,70,70,70,620,115 115 115 110 110 102 95 110 110 105 78 120 115 120 120
74,wolpertinger,summoning_cohort_wolpertinger_wolpertinger,6869,12089,1,0,0,1,1,magic,STYLE_CAST,10,summoning_roster_530_wolpertinger_attack,summoning_roster_530_wolpertinger_defend,summoning_roster_530_wolpertinger_death,,,,8,preeoc_param14,5,1,1,95,95,95,619,59 50 50 50 50 50 50 50 50 50 50 50 50 68 0
75,abyssal_titan,summoning_cohort_abyssal_titan_abyssal_titan,7349,12796,1,0,1,0,1,melee,STYLE_ACCURATE,1,summoning_roster_530_abyssal_titan_attack,,summoning_roster_530_abyssal_titan_death,,,,8,preeoc_param14,5,70,70,70,70,70,125,
76,iron_titan,summoning_cohort_iron_titan_iron_titan,7375,12822,1,0,0,1,1,melee,STYLE_DEFENSIVE,1,summoning_roster_530_iron_titan_attack,summoning_roster_530_iron_titan_defend,summoning_roster_530_iron_titan_death,,,,8,preeoc_param14,5,65,65,65,65,65,694,120 130 100 109 80 120 102 90 103 80 100 108 105 66 90
77,pack_yak,summoning_cohort_pack_yak_pack_yak,6873,12093,1,1,1,0,1,melee,STYLE_AGGRESSIVE,1,summoning_roster_530_pack_yak_attack,summoning_roster_530_pack_yak_defend,summoning_roster_530_pack_yak_death,,,,8,preeoc_param14,5,112,104,121,91,86,710,64 67 5 72 128 49 264 234 164 49 132 40 35 40 40
78,steel_titan,summoning_cohort_steel_titan_steel_titan,7343,12790,1,0,0,1,1,ranged,STYLE_RANGE_ACCURATE,7,summoning_special_move_iron_titan_swing,summoning_roster_530_steel_titan_defend,summoning_roster_530_steel_titan_death,,,,8,preeoc_param14,5,70,70,70,70,70,750,105 105 105 100 110 102 95 110 110 105 78 120 115 120 120
