entity_kind,entry,stage,source_npc,source_obj,source_name,base_seqs,framemaps,rig_candidate_count,attack_seq,magic_seq,range_seq,defend_seq,death_seq,combat_audio,asset_status
familiar,steel_minotaur,familiar,6857,12077,Steel minotaur,8021 8022,1718,9,8024,,,8023,8025,,catalogued
familiar,mithril_minotaur,familiar,6859,12079,Mithril minotaur,8021 8022,1718,9,8024,,,8023,8025,,catalogued
familiar,adamant_minotaur,familiar,6861,12081,Adamant minotaur,8021 8022,1718,9,8024,,,8023,8025,,catalogued
familiar,rune_minotaur,familiar,6863,12083,Rune minotaur,8021 8022,1718,9,8024,,,8023,8025,,catalogued
familiar,bull_ant,familiar,6867,12087,Bull ant,7893 7899,1745,22,7896,,,,7897,,catalogued
familiar,macaw,familiar,6851,12071,Macaw,8008 8007,1537,16,,,,,8012,,catalogued
familiar,evil_turnip,familiar,6833,12051,Evil turnip,8246 8245,1717,8,8248,,,,8250,,catalogued
familiar,spirit_cockatrice,familiar,6875,12095,Spirit cockatrice,7760 7759,1755,9,7762,,,,7763,,catalogued
familiar,spirit_guthatrice,familiar,6877,12097,Spirit guthatrice,7760 7759,1755,9,7762,,,,7763,,catalogued
familiar,spirit_saratrice,familiar,6879,12099,Spirit saratrice,7760 7759,1755,9,7762,,,,7763,"703,705,704",catalogued
familiar,spirit_zamatrice,familiar,6881,12101,Spirit zamatrice,7760 7759,1755,9,7762,,,,7763,,catalogued
familiar,spirit_pengatrice,familiar,6883,12103,Spirit pengatrice,7760 7759,1755,9,7762,,,,7763,,catalogued
familiar,spirit_coraxatrice,familiar,6885,12105,Spirit coraxatrice,7760 7759,1755,9,7762,,,,7763,,catalogued
familiar,spirit_vulatrice,familiar,6887,12107,Spirit vulatrice,7760 7759,1755,9,7762,,,,7763,,catalogued
familiar,pyrelord,familiar,7377,12816,Pyrelord,8077 8076,1727,12,8080,,,,8078,,catalogued
familiar,magpie,familiar,6824,12041,Magpie,8008 8007,1537,16,7810,,,5388,8012,,catalogued
familiar,bloated_leech,familiar,6843,12061,Bloated leech,7654 7653,1726,10,7657,,,,7656,,catalogued
familiar,spirit_terrorbird,familiar,6794,12007,Spirit terrorbird,1008 1007,1533,26,1010,,,,1013,,catalogued
familiar,abyssal_parasite,familiar,6818,12035,Abyssal parasite,7668 7667,1732,10,8910,,,,7671,,catalogued
familiar,spirit_jelly,familiar,6992,12027,Spirit jelly,8572 8575,1903,10,8569,,,,8570,,catalogued
familiar,ibis,familiar,6991,12531,Ibis,8197 8198,1743,36,,,,,,,catalogued
familiar,spirit_kyatt,familiar,7365,12812,Spirit kyatt,5225 5226,1206,28,5228,,,,5230,,catalogued
familiar,spirit_larupia,familiar,7337,12784,Spirit larupia,5225 5226,1206,28,5228,,,,5230,,catalogued
familiar,spirit_graahk,familiar,7363,12810,Spirit graahk,5225 5226,1206,28,5229,,,,5230,,catalogued
familiar,karamthulhu,familiar,6809,12023,Karamthulhu overlord,7968 7961,1723,11,7963,,,,7964,,catalogued
familiar,smoke_devil,familiar,6865,12085,Smoke devil,7815 7814,1741,10,7816,,,,7818,,catalogued
familiar,abyssal_lukrer,familiar,6820,12037,Abyssal lurker,7677 7678,1743,36,7680,,,,7684,,catalogued
familiar,spirit_cobra,familiar,6802,12015,Spirit cobra,8155 8158,1725,20,8152,,,,8153,,catalogued
familiar,stranger_plant,familiar,6827,12045,Stranger plant,8204 8207,1719,11,8208,,,,8209,,catalogued
familiar,barker_toad,familiar,6889,12123,Barker toad,7258 7259,1643,12,7260,,,,7256,,catalogued
familiar,war_tortoise,familiar,6815,12031,War tortoise,8284 8281,1720,9,8286,,,,8285,,catalogued
familiar,bunyip,familiar,6813,12029,Bunyip,7738 7735,1733,10,7741,,,7742,7740,,catalogued
familiar,fruit_bat,familiar,6817,12033,Fruit bat,8271 8273,1153,17,,,,,,,catalogued
familiar,ravenous_locust,familiar,7372,12820,Ravenous locust,7992 7991,1752,12,7994,,,,7996,,catalogued
familiar,arctic_bear,familiar,6839,12057,Arctic bear,4919 4923,1151,20,4925,,,4928,4929,"498,500,499",catalogued
familiar,phoenix,familiar,8575,14623,Phoenix,11092 11094,2430,18,11093,,,,11108,,catalogued
familiar,obsidian_golem,familiar,7345,12792,Obsidian golem,8047 8046,1729,9,8050,,,8051,8052,,catalogued
familiar,granite_lobster,familiar,6849,12069,Granite lobster,8116 8115,1736,9,8112,,,8114,8113,,catalogued
familiar,praying_mantis,familiar,6798,12011,Praying mantis,8067 8072,1739,11,8069,,,,8065,,catalogued
familiar,forge_regent_beast,familiar,7335,12782,Forge regent,7867 7868,1722,17,7863,,,,7864,,catalogued
familiar,talon_beast,familiar,7347,12794,Talon beast,5986 5987,1372,9,5989,,,,5990,,catalogued
familiar,giant_ent,familiar,6800,12013,Giant ent,7849 7848,1731,10,7853,,,,7854,,catalogued
familiar,hydra,familiar,6811,12025,Hydra,7938 7941,1746,10,7935,,,7936,7937,,catalogued
familiar,spirit_dagannoth,familiar,6804,12017,Spirit dagannoth,7781 7784,1737,10,7786,,,,7780,,catalogued
familiar,unicorn_stallion,familiar,6822,12039,Unicorn stallion,6374 6373,1472,9,6376,6376,6376,6375,6377,"4135,4196,4195",catalogued
familiar,wolpertinger,familiar,6869,12089,Wolpertinger,8301 8302,1716,9,8304,8304,8304,8306,8305,,catalogued
familiar,pack_yak,familiar,6873,12093,Pack yak,5785 5781,1338,21,5782,5782,5782,5783,5784,,catalogued
familiar,fire_titan,familiar,7355,12802,Fire titan,7831 7828,1751,9,7834,7834,7834,7832,7833,,catalogued
familiar,moss_titan,familiar,7357,12804,Moss titan,7841 7838,1740,41,7844,7834,7834,7832,7843,,catalogued
familiar,ice_titan,familiar,7359,12806,Ice titan,8186 7847,1740,41,7845,7834,7834,7832,7846,,catalogued
familiar,lava_titan,familiar,7341,12788,Lava titan,7978 7977,1734,9,7980,,,,7979,,catalogued
familiar,swamp_titan,familiar,7329,12776,Swamp titan,8220 8219,1753,9,8222,,,8224,8226,,catalogued
familiar,geyser_titan,familiar,7339,12786,Geyser titan,7876 7877,1714,11,7879,422,422,7878,7880,,catalogued
familiar,abyssal_titan,familiar,7349,12796,Abyssal titan,7690 7687,1740,41,7693,,,,7692,,catalogued
familiar,iron_titan,familiar,7375,12822,Iron titan,7949 7952,1740,41,7946,,,7948,7947,,catalogued
familiar,steel_titan,familiar,7343,12790,Steel titan,8186 8189,1740,41,8183,8183,8183,8185,8184,,catalogued
