id,name,combat_level,size,footprint_size,height,category,is_interactable,is_minimap_visible,is_pet,has_render_priority,render_priority,rotation_flag,low_priority_follower_ops,rotation_speed,width_scale,height_scale,ambient,contrast,stat_74,stat_75,stat_76,stat_77,stat_78,stat_79,varbit_id,varp_index,configs,op1,op2,op3,op4,op5,models,chathead_models,recolors,retextures,bas_type_id,anim_stand,anim_walk,anim_run,anim_idle_rot_left,anim_idle_rot_right,anim_rot180,anim_rot_left,anim_rot_right,anim_run_rot180,anim_run_rot_left,anim_run_rot_right,anim_crawl,anim_crawl_rot180,anim_crawl_rot_left,anim_crawl_rot_right,sound_idle,sound_crawl,sound_walk,sound_run,sound_radius,ambient_sound_volume,head_icons,params,record_bytes,decoded_bytes,stop_opcode
19,White Knight,36,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,11744 306 164 13318 546 268 4954,,5400>5214 5648>5206 41>5206 61>5223 57>7269 43311>926,,2101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=310;14=7;5=83;6=76;7=70;9=74;8=-11,136,136,-1
20,Paladin,62,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,217 248 313 156 10218 268 185 518 541 3330,,4626>24 6798>6854 55198>35026 43072>4550,228>426,2100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=220;14=5;5=87;6=84;7=76;9=79;8=-10,147,147,-1
21,Hero,69,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,217 306 164 179 268 185 49416 246 541,,70>36133 5532>39234 41>39234 61>36133 57>36133 4550>4657 4540>4649,,2100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=220;14=5;5=87;6=84;7=76;9=79;8=-10,150,150,-1
22,Sneakerpeeper,0,2,-1,-1,0,true,false,false,false,0,true,false,32,128,128,25,75,1,1,1,1,1,1,-1,-1,,Interact,,,,,61979,62049,,,1916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,53,53,-1
23,Knight of Ardougne,46,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,218 313 164 179 268 185 518 3330,,11187>54185 5532>82 54397>48064 6798>48064,,2100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=100;14=5;5=39;6=40;7=36;9=36;8=-11,148,148,-1
24,Man,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,230 185 299 32592 179 267 252 321 186,39799 38097 39371,25238>7073,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,134,134,-1
25,Woman,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,378 361 462 341 10706 428 483 445,39090,25238>6947,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,126,126,-1
26,Knight of Ardougne,46,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,232 246 313 164 179 268 185 518 3330,,11187>54185 5532>82 54397>48064 6798>48064,,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=100;14=5;5=39;6=40;7=36;9=36;8=-11,150,150,-1
27,Archer,37,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,220 185 253 296 151 179 262 563,,6674>8111,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=80;14=6;5=18;6=23;7=27;9=19;8=10;643=80,120,120,-1
28,Zookeeper,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,47090,39744 39275,,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,53,53,-1
29,Musician,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,Listen-to,,,47159 47170,47182,4892>5285 4899>5279,376>154,1541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,79,79,-1
30,Musician,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,Listen-to,,,47147 47170,47189,4892>41 4899>41,376>154,1541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,77,77,-1
31,Priest,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,,,,,223 249 292 162 176 265 185 325,,25238>43414 8741>43660 8078>43111,257>252,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,57,57,-1
32,Guard,20,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,225 301 162 179 274 185 502,,25238>811 8741>43939,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=14;5=24;7=19;9=16;8=4;641=70;14=5,125,125,-1
33,Ethereal Mimic,0,1,-1,-1,0,true,true,false,false,0,true,false,32,127,124,40,200,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,16480 16484 16471 16475 16482 16474 16483,39893,33676>60620 410>31058 33300>54606 36007>29910 6573>54371 33036>31058,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,96,96,-1
34,Watchman,33,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,219 301 167 179 274 185 249,,25238>811 8741>43939,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=14;5=24;7=19;9=16;8=-4,112,112,-1
35,Soldier,28,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,219 301 167 179 274 185 249 518,,25238>811 8741>43939,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=14;5=24;7=19;9=16;8=-4;14=5;641=100,117,117,-1
36,Wyson the gardener,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,230 253 11761 10301 179 40270 185 4843 496,39799 39547 39227,8741>36015,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,86,86,-1
37,Sigbert the Adventurer,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,313 208 167 268 185 179 250 323 553 3330,38588 38642,8741>7700 11187>61 11200>41 11187>41 926>43934,,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,102,102,-1
38,Shipyard worker,11,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,215 247 305 151 179 254 185,39836 39256,25238>8472 6798>5921 8741>61,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=0;6=0;5=0;7=0;8=0;9=0,140,140,-1
39,Shipyard worker,11,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,230 246 305 173 179 271 185 491,39630,25238>8472 8741>61,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,14=6;641=60;6=0;5=0;7=0;8=0;9=0,142,142,-1
40,Shark,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,,,,,2848,,,,1415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,22,22,-1
41,Chicken,1,1,-1,-1,0,true,true,false,false,0,true,false,32,80,80,25,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,23905,6318,,,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-420;5=-42;6=-42;7=-42;9=-42;8=-42,99,99,-1
42,Sheep,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,30,75,1,1,1,1,1,1,-1,-1,,,,,,,20283 20289 20285,,,,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,30,30,-1
43,Sheep,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,30,75,1,1,1,1,1,1,-1,-1,,Shear,,,,,20290 20291,,,,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,39,39,-1
44,Banker,0,1,-1,-1,0,true,true,false,false,0,true,false,32,130,124,20,0,1,1,1,1,1,1,-1,-1,,,,,,,215 246 17365 163 10218 12138 181,39836 39223,8741>47382 25238>47382 0>47502 33030>47382 4626>4,256>202 359>202,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,111,111,-1
45,Banker,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,20,0,1,1,1,1,1,1,-1,-1,,,,,,,378 25868 343 353 433 358,39090,8741>47502 25238>47502 8078>47382 908>47382 4626>12 6798>5027,251>258 252>273 263>257,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,107,107,-1
46,Duck,1,1,-1,-1,0,true,false,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,26873,,,,742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-420;5=-42;6=-42;7=-42;9=-42;8=-42,85,85,-1
47,Rat,1,1,-1,-1,0,true,false,false,false,0,true,false,32,133,134,25,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,9610,,8370>8391 8366>8401 8362>24 8357>19 8352>14,,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-530;5=-42;6=-42;7=-42;9=-42;8=-42,112,112,-1
48,Oomlie bird,46,1,-1,-1,0,true,true,false,false,0,true,false,32,180,180,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,23905,,6466>2332 6474>920 6470>2452,,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,65,65,-1
49,Hellhound,122,2,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,26256,,,,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,37,37,-1
50,King Black Dragon,276,5,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,17414 17415 17429 17422,,,,1403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=90;5=70;7=90;9=70;8=80,94,94,-1
51,Frost dragon,166,4,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,75,1,1,1,1,1,1,-1,-1,,,Attack,,,,56767 55294,,404>36161 396>36153,,1755,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,14=4;641=260;3=40;965=260;7=140;6=140;5=24;8=60;9=24,135,135,-1
52,Baby blue dragon,48,2,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,75,1,1,1,1,1,1,-1,-1,,,Attack,,,,57937,,,,1847,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=50;5=30;7=50;9=30;8=40,92,92,-1
53,Red dragon,152,4,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,75,1,1,1,1,1,1,-1,-1,,,Attack,,,,49143 49144,,,,1852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=70;5=50;7=70;9=50;8=60,91,91,-1
54,Black dragon,227,4,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,75,1,1,1,1,1,1,-1,-1,,,Attack,,,,14294 49144,,404>15 396>7,,1852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=70;5=50;7=70;9=50;8=60,101,101,-1
55,Blue dragon,111,4,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,75,1,1,1,1,1,1,-1,-1,,,Attack,,,,49137 49144,,404>34200 396>34192,,1852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,6=70;5=50;7=70;9=50;8=60,101,101,-1
56,Dwarf,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,,,,,63805,51676,7473>5413 8485>5402,,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,40,40,-1
57,Fairy,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,57305,11916,,,1801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7517,7517,7517,7517,10,255,,,61,61,-1
58,Shadow spider,52,1,-1,-1,0,true,false,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,20309 20312,,960>16 33728>12 22443>8 11200>4 56256>10128 50099>8130,,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=20;6=15;7=10;9=15;8=15,112,112,-1
59,Giant spider,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,20309 20311,,960>8088 33728>9098 22443>8076 11200>10159 56256>7700 50099>7106,,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-100;5=-10;6=-10;7=-10;9=-10;8=-10,118,118,-1
60,Giant spider,27,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,20309 20310,,960>7081 33728>9098 22443>8076 11200>10159 56256>7700 50099>7106,,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,68,68,-1
61,Spider,1,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,24613,,,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-580;5=-53;6=-53;7=-53;9=-53;8=-53,84,84,-1
62,Jungle spider,44,1,-1,-1,0,true,false,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,20315 20313,,33728>16945 56256>8483 22443>22823 50099>22823 960>16937,,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=20;6=20;7=10;9=20;8=17,108,108,-1
63,Deadly red spider,34,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,20309 20312,,960>699 33728>64414 22443>803 11200>4888 56256>43276 50099>43270,,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=15;6=16;7=7;9=16;8=12,115,115,-1
64,Ice spider,61,1,-1,-1,0,true,false,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,20303 20304,,,,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=20;6=17;7=12;9=13;8=13,83,83,-1
65,Dwarf,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,20,125,1,1,1,1,1,1,-1,-1,,,,,,,63809,51672,,,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,34,34,-1
66,Gnome,1,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,20,100,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,Pickpocket,,,62964 62994 63097 62896 62911 63014,42660 42662 42661,,,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-420;5=-42;6=-42;7=-42;9=-42;8=-42,148,148,-1
67,Gnome,1,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,20,100,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,Pickpocket,,,62964 62994 63097 62896 62911 63014 63126,42660 42662 42661,18966>6548 18970>6552 18972>6554 18974>6556,,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-420;5=-42;6=-42;7=-42;9=-42;8=-42,170,170,-1
68,Gnome,1,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,20,100,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,Pickpocket,,,62964 62994 63097 62896 62911 63014 63126,42660 42662 42661,4550>4520 4540>4510 4564>4534 4530>4500 4508>4480,,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-420;5=-42;6=-42;7=-42;9=-42;8=-42,174,174,-1
