raid,index,spawn_tick,despawn_tick,lifetime,heal_amount,heal_ticks,exhumed_count,p2_tick,p3_tick
02e9d7d9-1108-4059-9d78-0f88919ba883,3,23,34,11,8,26,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,4,27,38,11,8,30,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,5,31,42,11,8,34,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,6,35,46,11,8,38;39;40;41,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,7,39,50,11,8,42;43,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,8,43,54,11,8,46;47;48,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,9,47,58,11,8,50,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,10,51,62,11,8,60;61,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,11,55,66,11,8,58;59,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,12,59,70,11,8,,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,13,63,74,11,8,,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,14,67,78,11,8,,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,15,71,82,11,8,74;81,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,16,75,86,11,8,78;79;80,18,99,515
02e9d7d9-1108-4059-9d78-0f88919ba883,17,79,90,11,8,82,18,99,515
047e7ac7-29df-44b2-9127-634f58377161,0,9,20,11,12,12,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,1,17,28,11,12,20,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,2,25,36,11,12,28;29,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,3,33,44,11,12,,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,4,41,52,11,12,44,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,5,49,60,11,12,52;53,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,6,57,68,11,12,,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,7,65,76,11,12,68,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,8,73,84,11,12,,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,9,81,92,11,12,84,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,10,89,100,11,12,,12,117,225
047e7ac7-29df-44b2-9127-634f58377161,11,97,108,11,12,100,12,117,225
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,0,11,22,11,9,14,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,1,15,26,11,9,18,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,2,19,30,11,9,22,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,3,23,34,11,9,31;32;33,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,4,27,38,11,9,30;31;32,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,5,31,42,11,9,34;35,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,6,35,46,11,9,38;39,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,7,39,50,11,9,,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,8,43,54,11,9,46;52;53,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,9,47,58,11,9,50;51,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,10,51,62,11,9,54;61,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,11,55,66,11,9,58;59;60;61,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,12,59,70,11,9,62;63;64;65;66,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,13,63,74,11,9,,15,87,199
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,14,67,78,11,9,70,15,87,199
305dfb7c-fd53-482c-9dad-a050913926c4,0,8,19,11,20,11,7,100,516
305dfb7c-fd53-482c-9dad-a050913926c4,1,20,31,11,20,23;24;25,7,100,516
305dfb7c-fd53-482c-9dad-a050913926c4,2,32,43,11,20,35;36;37,7,100,516
305dfb7c-fd53-482c-9dad-a050913926c4,3,44,55,11,20,47;48;49,7,100,516
305dfb7c-fd53-482c-9dad-a050913926c4,4,56,67,11,20,59,7,100,516
305dfb7c-fd53-482c-9dad-a050913926c4,5,68,79,11,20,71,7,100,516
305dfb7c-fd53-482c-9dad-a050913926c4,6,80,91,11,20,83;84,7,100,516
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,0,9,20,11,12,12;13;14,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,1,17,28,11,12,20,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,2,25,36,11,12,28,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,3,33,44,11,12,36;37,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,4,41,52,11,12,44,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,5,49,60,11,12,52;53,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,6,57,68,11,12,60;61,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,7,65,76,11,12,68,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,8,73,84,11,12,83,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,9,81,92,11,12,,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,10,89,100,11,12,92;93,12,117,237
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,11,97,108,11,12,100,12,117,237
3d30c636-cd48-431a-9efe-6a2a12a31a0e,0,8,19,11,9,11;12;13;14;15,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,1,12,23,11,9,15;17,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,2,16,27,11,9,19;20,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,3,20,31,11,9,24;24;25,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,4,24,35,11,9,27;29;29,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,5,28,39,11,9,32,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,6,32,43,11,9,35;36,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,7,36,47,11,9,39;41;47,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,8,40,51,11,9,44;44;45,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,9,44,55,11,9,47,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,10,48,59,11,9,,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,11,52,63,11,9,55;56;58,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,12,56,67,11,9,59,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,13,60,71,11,9,63;64,15,84,204
3d30c636-cd48-431a-9efe-6a2a12a31a0e,14,64,75,11,9,68;68,15,84,204
4e638be0-4134-43e7-b847-bbeb862d25ce,0,8,17,9,0,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,1,12,21,9,0,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,2,16,25,9,0,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,3,20,29,9,12,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,4,24,33,9,12,27,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,5,28,37,9,12,35;36,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,6,32,41,9,12,35,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,7,36,45,9,12,39,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,8,40,49,9,12,43,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,9,44,53,9,12,47,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,10,48,57,9,12,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,11,52,61,9,12,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,12,56,65,9,12,59;60;61,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,13,60,69,9,12,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,14,64,73,9,12,,16,84,216
4e638be0-4134-43e7-b847-bbeb862d25ce,15,68,77,9,12,73,16,84,216
56216003-6bb6-4095-a47e-0aecb84e252d,0,9,20,11,12,12,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,1,17,28,11,12,20;21,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,2,25,36,11,12,28;34;35,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,3,33,44,11,12,,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,4,41,52,11,12,,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,5,49,60,11,12,52;53,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,6,57,68,11,12,60,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,7,65,76,11,12,68,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,8,73,84,11,12,76,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,9,81,92,11,12,84,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,10,89,100,11,12,92,12,117,237
56216003-6bb6-4095-a47e-0aecb84e252d,11,97,108,11,12,100;101,12,117,237
5905be94-8610-436b-805c-f4b10359086c,0,8,19,11,9,,15,84,168
5905be94-8610-436b-805c-f4b10359086c,1,12,23,11,9,15;16,15,84,168
5905be94-8610-436b-805c-f4b10359086c,2,16,27,11,9,19,15,84,168
5905be94-8610-436b-805c-f4b10359086c,3,20,31,11,9,23;24,15,84,168
5905be94-8610-436b-805c-f4b10359086c,4,24,35,11,9,,15,84,168
5905be94-8610-436b-805c-f4b10359086c,5,28,39,11,9,,15,84,168
5905be94-8610-436b-805c-f4b10359086c,6,32,43,11,9,,15,84,168
5905be94-8610-436b-805c-f4b10359086c,7,36,47,11,9,39;40,15,84,168
5905be94-8610-436b-805c-f4b10359086c,8,40,51,11,9,,15,84,168
5905be94-8610-436b-805c-f4b10359086c,9,44,55,11,9,47,15,84,168
5905be94-8610-436b-805c-f4b10359086c,10,48,59,11,9,,15,84,168
5905be94-8610-436b-805c-f4b10359086c,11,52,63,11,9,55;56,15,84,168
5905be94-8610-436b-805c-f4b10359086c,12,56,67,11,9,59,15,84,168
5905be94-8610-436b-805c-f4b10359086c,13,60,71,11,9,,15,84,168
5905be94-8610-436b-805c-f4b10359086c,14,64,75,11,9,67,15,84,168
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,0,9,20,11,20,12,7,101,481
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,1,21,32,11,20,,7,101,481
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,2,33,44,11,20,,7,101,481
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,3,45,56,11,20,48;49,7,101,481
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,4,57,68,11,20,,7,101,481
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,5,69,80,11,20,72;73,7,101,481
5b6fc2b0-f267-4f13-8d1d-8bfdb8397c6d,6,81,92,11,20,84,7,101,481
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,0,8,17,9,12,,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,1,12,21,9,12,15,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,2,16,25,9,12,19;20,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,3,20,29,9,12,23;24,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,4,24,33,9,12,27;28,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,5,28,37,9,12,31,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,6,32,41,9,12,35,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,7,36,45,9,12,39;40,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,8,40,49,9,12,,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,9,44,53,9,12,,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,10,48,57,9,12,51;52,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,11,52,61,9,12,55;56,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,12,56,65,9,12,59,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,13,60,69,9,12,63,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,14,64,73,9,12,,16,84,224
5d8a40ec-0c29-472b-a0c5-efb4dd472cc8,15,68,77,9,12,71,16,84,224
605f697e-ba8b-4324-b550-7bf3c4c3ea02,0,9,20,11,20,12,7,100,548
605f697e-ba8b-4324-b550-7bf3c4c3ea02,1,21,32,11,20,24;25;26;27,7,100,548
605f697e-ba8b-4324-b550-7bf3c4c3ea02,2,33,44,11,20,,7,100,548
605f697e-ba8b-4324-b550-7bf3c4c3ea02,3,45,56,11,20,,7,100,548
605f697e-ba8b-4324-b550-7bf3c4c3ea02,4,57,68,11,20,60,7,100,548
605f697e-ba8b-4324-b550-7bf3c4c3ea02,5,69,80,11,20,72;73,7,100,548
605f697e-ba8b-4324-b550-7bf3c4c3ea02,6,81,92,11,20,84,7,100,548
630f537c-d33a-45cb-9b00-f0dcadb0cc38,0,8,19,11,16,11;12,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,1,16,27,11,16,,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,2,24,35,11,16,27,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,3,32,43,11,16,35,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,4,40,51,11,16,43,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,5,48,59,11,16,51,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,6,56,67,11,16,59,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,7,64,75,11,16,,9,92,260
630f537c-d33a-45cb-9b00-f0dcadb0cc38,8,72,83,11,16,75;76,9,92,260
74700b67-6c79-41d8-b441-c7d96629348a,0,8,19,11,12,11,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,1,16,27,11,12,19,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,2,24,35,11,12,27,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,3,32,43,11,12,35;36,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,4,40,51,11,12,43;44,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,5,48,59,11,12,51,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,6,56,67,11,12,59,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,7,64,75,11,12,67;68,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,8,73,84,11,12,,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,9,81,92,11,12,,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,10,89,100,11,12,92;93;94,12,116,228
74700b67-6c79-41d8-b441-c7d96629348a,11,97,108,11,12,100;101;102;103;104;105;106,12,116,228
7ca85464-b9da-470c-a984-82865ece18dc,0,8,19,11,0,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,1,16,27,11,0,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,2,24,35,11,0,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,3,32,43,11,0,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,4,40,51,11,0,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,5,48,59,11,0,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,6,56,67,11,0,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,7,64,75,11,12,67,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,8,72,83,11,12,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,9,80,91,11,12,,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,10,88,99,11,12,91;92,12,116,232
7ca85464-b9da-470c-a984-82865ece18dc,11,96,107,11,12,,12,116,232
7dd4a479-72ef-4813-a3af-c3e728595a0c,0,8,19,11,8,,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,1,12,23,11,8,15,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,2,16,27,11,8,19,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,3,20,31,11,8,,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,4,24,35,11,8,,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,5,28,39,11,8,,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,6,32,43,11,8,35;36,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,7,36,47,11,8,39;40;41,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,8,40,51,11,8,,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,9,44,55,11,8,47,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,10,48,59,11,8,51,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,11,52,63,11,8,55,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,12,56,67,11,8,59;64;65;66,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,13,60,71,11,8,63;64,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,14,64,75,11,8,67,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,15,68,79,11,8,71,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,16,72,83,11,8,75;76;77,18,96,196
7dd4a479-72ef-4813-a3af-c3e728595a0c,17,76,87,11,8,,18,96,196
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,0,8,17,9,12,11;12;13,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,1,12,21,9,12,15,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,2,16,25,9,12,19;20;21,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,3,20,29,9,12,23,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,4,24,33,9,12,27,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,5,28,37,9,12,31;32,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,6,32,41,9,12,40,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,7,36,45,9,12,,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,8,40,49,9,12,,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,9,44,53,9,12,49;52,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,10,48,57,9,12,51,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,11,52,61,9,12,60,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,12,56,65,9,12,,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,13,60,69,9,12,,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,14,64,73,9,12,72,16,84,224
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,15,68,77,9,12,71;75,16,84,224
99a19877-b298-4f81-920a-4dab071af96f,0,8,19,11,8,11,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,1,12,23,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,2,16,27,11,8,19,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,3,20,31,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,4,24,35,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,5,28,39,11,8,31;32,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,6,32,43,11,8,35,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,7,36,47,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,8,40,51,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,9,44,55,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,10,48,59,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,11,52,63,11,8,55,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,12,56,67,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,13,60,71,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,14,64,75,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,15,68,79,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,16,72,83,11,8,,18,96,180
99a19877-b298-4f81-920a-4dab071af96f,17,76,87,11,8,,18,96,180
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,0,8,19,11,0,,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,1,16,27,11,12,19;20,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,2,24,35,11,12,27;34,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,3,32,43,11,12,,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,4,40,51,11,12,43;44;45,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,5,48,59,11,12,51;52;53,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,6,56,67,11,12,59,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,7,64,75,11,12,67,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,8,72,83,11,12,,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,9,80,91,11,12,83;84;85,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,10,88,99,11,12,91,12,116,236
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,11,96,107,11,12,99,12,116,236
a2968a27-1164-47cb-be4a-c5903764b9c9,0,8,19,11,16,11,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,1,16,27,11,16,,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,2,24,35,11,16,27;34,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,3,32,43,11,16,,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,4,40,51,11,16,,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,5,48,59,11,16,51,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,6,56,67,11,16,,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,7,64,75,11,16,67;68,9,92,252
a2968a27-1164-47cb-be4a-c5903764b9c9,8,72,83,11,16,75,9,92,252
c695912b-8120-4096-96e5-4c57bc61e152,0,8,19,11,8,11,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,1,12,23,11,8,15;16;17,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,2,16,27,11,8,,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,3,20,31,11,8,,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,4,24,35,11,8,27,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,5,28,39,11,8,31,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,6,32,43,11,8,35,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,7,36,47,11,8,39;40,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,8,40,51,11,8,,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,9,44,55,11,8,47;48;52;53;54,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,10,48,59,11,8,51,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,11,52,63,11,8,55,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,12,56,67,11,8,,18,96,180
c695912b-8120-4096-96e5-4c57bc61e152,13,60,71,11,8,,18,96,180
