raid,event,tick,down_number,walk_ticks,hand_count,bloat_hp_pct
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,15,,,16,98.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,18,,,16,98.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,21,,,16,98.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,24,,,15,98.61
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,27,,,15,98.56
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,30,,,15,98.5
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,33,,,15,98.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,36,,,15,98.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,39,,,15,98.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,down,40,1,40,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,42,,,16,97.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,45,,,16,97.28
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,48,,,16,92.06
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,51,,,16,89.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,54,,,16,89.28
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,57,,,16,88.28
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,60,,,16,88.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,63,,,16,86.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,66,,,15,84.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,69,,,15,84.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,72,,,16,84.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,up,73,,,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,75,,,16,84.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,78,,,14,84.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,81,,,14,84.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,84,,,16,83.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,87,,,16,83.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,90,,,16,82.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,93,,,16,82.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,96,,,15,82.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,99,,,15,82.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,102,,,16,82.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,105,,,16,82.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,108,,,15,82.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,111,,,15,82.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,down,112,2,38,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,114,,,16,82.22
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,117,,,16,82.22
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,120,,,16,80.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,123,,,16,78.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,126,,,14,77.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,129,,,14,75.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,132,,,14,73.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,135,,,14,73.28
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,138,,,16,72.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,141,,,16,72.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,144,,,16,69.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,up,145,,,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,147,,,16,69.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,150,,,16,69.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,153,,,16,69.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,156,,,16,69.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,159,,,16,69.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,162,,,16,69.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,165,,,16,69.5
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,168,,,15,69.5
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,171,,,15,69.5
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,174,,,16,69.5
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,177,,,16,69.5
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,180,,,15,69.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,183,,,15,69.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,down,184,3,38,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,186,,,16,69.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,189,,,16,69.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,192,,,15,67.56
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,195,,,15,63.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,198,,,16,63.56
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,201,,,16,60.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,204,,,15,60.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,207,,,15,56.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,210,,,15,53.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,213,,,15,53.22
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,216,,,16,51.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,up,217,,,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,219,,,16,51.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,222,,,15,51.61
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,225,,,15,51.61
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,228,,,16,51.61
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,231,,,16,50.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,234,,,16,50.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,237,,,16,50.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,240,,,16,50.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,243,,,16,49.06
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,246,,,16,49.06
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,249,,,16,49.06
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,252,,,16,49.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,255,,,16,48.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,down,256,4,38,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,258,,,16,47.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,261,,,16,46.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,264,,,16,45.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,267,,,16,43.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,270,,,16,42.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,273,,,16,40.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,276,,,15,40.67
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,279,,,15,39.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,282,,,16,39.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,285,,,16,36.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,286,,,16,36.44
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,up,289,,,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,289,,,16,35.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,290,,,14,35.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,293,,,14,35.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,294,,,16,35.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,297,,,16,35.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,298,,,16,35.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,301,,,16,35.11
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,302,,,16,35.06
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,305,,,16,35.06
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,306,,,16,35.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,309,,,16,35.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,310,,,16,35.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,313,,,16,35.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,314,,,16,34.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,317,,,16,34.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,318,,,15,34.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,321,,,15,34.94
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,322,,,15,34.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,325,,,15,34.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,326,,,15,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,329,,,15,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,330,,,15,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,333,,,15,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,334,,,15,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,down,337,5,47,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,337,,,15,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,338,,,16,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,341,,,16,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,342,,,16,34.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,345,,,16,32.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,346,,,16,32.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,349,,,16,27.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,350,,,16,27.61
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,353,,,16,27.61
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,354,,,16,24.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,357,,,16,24.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,358,,,16,24.39
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,361,,,16,23.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,362,,,16,23.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,365,,,16,20.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,366,,,16,20.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,369,,,16,16.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,up,370,,,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,370,,,16,16.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,373,,,16,16.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,374,,,16,16.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,377,,,16,16.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,378,,,16,16.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,381,,,16,16.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,382,,,16,16.83
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,385,,,16,16.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,386,,,16,16.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,389,,,16,16.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,390,,,15,16.78
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,393,,,15,16.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,394,,,15,15.28
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,397,,,15,15.22
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,398,,,16,15.22
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,401,,,16,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,402,,,16,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,405,,,16,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,406,,,16,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,409,,,16,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,down,410,6,39,,
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,410,,,15,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,413,,,15,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,414,,,16,15.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,417,,,16,11.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,418,,,16,11.0
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,421,,,16,6.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,422,,,16,6.72
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,425,,,16,3.33
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,426,,,16,3.33
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,429,,,16,3.17
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,430,,,16,0.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,433,,,16,0.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_drop,434,,,16,0.89
1a197ddf-6942-47d2-9ad8-e9c5c82a3a80,hands_splat,437,,,16,0.0
3346ccde-e75c-42f2-8d79-e03c120b950a,down,40,1,40,,
3346ccde-e75c-42f2-8d79-e03c120b950a,up,73,,,,
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,73,,,16,34.07
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,76,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,77,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,80,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,81,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,84,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,85,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,88,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,89,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,92,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,93,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,96,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,97,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,100,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,101,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,104,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,105,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,108,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,109,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,down,112,2,38,,
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,112,,,16,34.0
3346ccde-e75c-42f2-8d79-e03c120b950a,up,145,,,,
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,145,,,16,4.87
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,148,,,16,2.87
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,149,,,16,2.87
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,152,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,153,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,156,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,157,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,160,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,161,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,164,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,165,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,168,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,169,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,172,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,173,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,176,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,177,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,180,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,181,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,184,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_drop,185,,,16,2.0
3346ccde-e75c-42f2-8d79-e03c120b950a,down,188,3,42,,
3346ccde-e75c-42f2-8d79-e03c120b950a,hands_splat,188,,,16,2.0
351da7f1-4a8c-4aeb-9da3-fdabfb963033,down,42,1,42,,
351da7f1-4a8c-4aeb-9da3-fdabfb963033,up,75,,,,
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,75,,,16,48.4
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,78,,,16,48.4
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,81,,,16,48.4
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,84,,,16,48.4
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,87,,,16,48.4
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,90,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,93,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,96,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,99,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,102,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,105,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,108,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,111,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,114,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_drop,117,,,16,45.26
351da7f1-4a8c-4aeb-9da3-fdabfb963033,down,118,2,42,,
351da7f1-4a8c-4aeb-9da3-fdabfb963033,hands_splat,120,,,16,45.26
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_drop,0,,,15,100.0
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_splat,3,,,15,100.0
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_drop,6,,,16,100.0
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_splat,9,,,16,100.0
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_drop,12,,,16,99.83
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_splat,15,,,16,99.83
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_drop,18,,,15,99.83
4e638be0-4134-43e7-b847-bbeb862d25ce,hands_splat,21,,,15,99.39
