raid,mode,scale,maze_index,c0,c2,c4,c6,c8,c10,c12,c14
7dd4a479-72ef-4813-a3af-c3e728595a0c,11,5,0,1,2,6,8,9,11,9,9
8c9fd252-9850-4cba-8c73-ee1375eb2d40,11,5,0,9,9,10,8,12,7,12,7
93b446c1-4f5e-4714-80be-96a2763b9303,11,5,0,7,10,8,9,9,9,9,6
99a19877-b298-4f81-920a-4dab071af96f,11,5,0,10,12,11,11,12,7,11,12
99a19877-b298-4f81-920a-4dab071af96f,11,5,1,12,10,12,12,10,5,7,11
9fe874c0-007e-43ca-a640-30d53b8dc1d0,11,5,0,13,9,5,1,6,5,10,10
a2f37a27-127a-4631-ab4f-22c435b29248,11,5,0,8,13,8,9,6,2,2,1
bdfa4db1-4aa1-48fb-965e-899e501710dc,11,5,0,4,8,11,13,11,13,8,6
c45a65ca-65c9-4bde-82cf-3bb05983a840,11,5,0,4,8,11,13,10,11,13,9
c45a65ca-65c9-4bde-82cf-3bb05983a840,11,5,1,4,1,2,7,4,5,3,6
d1385484-5713-4f85-864e-965a84a3877f,11,5,0,12,12,12,12,11,13,13,8
db27542b-5ee4-4863-8aa5-2bc2d09e4749,11,5,0,10,8,11,11,12,11,8,7
e0fa2c99-036d-4a9f-9a75-02e2143f7a55,11,5,0,1,2,1,6,10,8,8,4
e1f035e7-fac3-4600-acdc-bef9074812ff,11,5,0,3,2,7,5,1,4,6,7
eee9a190-f2af-4354-bf84-1e2990e77891,11,5,0,10,7,9,12,8,12,12,12
f1feaa47-e7c8-46dc-9874-3646060120b5,11,5,0,1,3,8,8,10,7,2,1
f4a920d8-f2b2-4b95-b9fa-133d49d59d85,11,5,0,10,7,7,6,7,9,12,12
f4a920d8-f2b2-4b95-b9fa-133d49d59d85,11,5,1,5,3,3,0,3,2,1,3
f90b9e68-f1c4-42fa-96f9-ff11ea2185b0,11,5,0,3,5,4,1,2,4,2,2
fab6f651-1a28-42a3-8f8b-ab68406afd75,11,5,0,6,8,13,11,9,8,8,10
fb889efb-799b-45ec-b182-f35f315782e5,11,5,0,3,6,1,6,3,8,9,12
fb889efb-799b-45ec-b182-f35f315782e5,11,5,1,9,13,13,8,3,3,2,4
fc3d1460-580a-45ab-b249-d08d17478d3d,11,5,0,8,4,6,6,10,6,8,9
53b4acdf-9fef-431e-a1fd-472e9f964b24,12,1,0,2,6,7,7,12,11,13,13
53b4acdf-9fef-431e-a1fd-472e9f964b24,12,1,1,9,9,4,9,12,10,8,11
18f6c5b8-1db8-4765-8d98-c4f755028f06,12,2,0,13,9,9,10,12,9,12,12
18f6c5b8-1db8-4765-8d98-c4f755028f06,12,2,1,6,3,1,3,7,6,4,6
19d71c51-08ba-4e7c-84de-5c1d9468e24f,12,2,0,4,2,5,7,9,7,4,4
19d71c51-08ba-4e7c-84de-5c1d9468e24f,12,2,1,13,13,10,5,8,13,8,8
1c87f7ff-bcc4-40e1-97f3-f543ed93e893,12,2,0,2,2,7,9,10,9,9,5
1c87f7ff-bcc4-40e1-97f3-f543ed93e893,12,2,1,2,2,4,8,4,4,0,1
2036ebcd-cce1-47fa-aa0a-499d41b89dca,12,2,0,4,4,3,3,6,10,7,7
2036ebcd-cce1-47fa-aa0a-499d41b89dca,12,2,1,11,9,4,5,7,6,7,12
28dfb625-f844-44b9-8471-59138ad8629a,12,2,0,10,8,7,6,10,6,6,8
28dfb625-f844-44b9-8471-59138ad8629a,12,2,1,3,2,6,5,9,6,7,8
3428d5a4-d183-47ed-8f60-e2883e0ce633,12,2,0,8,10,10,10,13,8,11,13
4464aba6-2638-4f46-af15-d7a0ccb55584,12,2,0,3,6,1,3,3,0,0,1
4f9324aa-ff99-4180-ada2-24841134b750,12,2,0,6,5,4,3,5,10,12,11
4f9324aa-ff99-4180-ada2-24841134b750,12,2,1,13,8,7,5,10,10,13,12
57eaefb9-50f3-4883-afe3-1352ed3e73b0,12,2,0,2,6,6,7,7,12,11,6
6ef866d5-4ec4-46e3-9e17-db4233f54d00,12,2,0,11,12,9,7,8,9,7,12
7738e3b1-2c02-4e21-9dd3-83917c6c2fbe,12,2,0,6,4,1,6,9,9,5,9
7b556acf-ab5b-4f45-ae5d-45364d15a6bc,12,2,0,4,3,1,4,4,2,1,4
974da366-9f5a-4ae6-8fa4-82cb60485122,12,2,0,5,4,1,6,9,9,9,9
974da366-9f5a-4ae6-8fa4-82cb60485122,12,2,1,12,11,11,10,9,10,12,8
bda8e70b-30a1-4b07-bf6a-9d682f798d4b,12,2,0,10,5,8,10,11,8,9,9
be4a8786-2032-4fb2-8352-39a9c50f45a9,12,2,0,5,9,6,4,7,4,2,4
be4a8786-2032-4fb2-8352-39a9c50f45a9,12,2,1,9,5,10,7,9,13,10,10
d0da58c2-030b-4af9-8523-7ac63aa53988,12,2,0,7,3,2,0,2,3,7,3
d302335e-54c6-41b2-bc92-935987e9a2f9,12,2,0,1,1,6,1,3,0,2,3
d302335e-54c6-41b2-bc92-935987e9a2f9,12,2,1,12,12,7,3,7,4,5,3
d45b2abd-cec7-4344-9c63-3757d6dd43cf,12,2,0,2,0,4,4,0,5,3,7
d45b2abd-cec7-4344-9c63-3757d6dd43cf,12,2,1,2,0,5,9,4,4,0,0
e1ec5191-dab6-45ee-8479-5082e4212868,12,2,0,6,9,6,1,2,1,1,2
e7f3fd06-c132-4e0a-b303-c04c205b1071,12,2,0,9,10,6,8,3,1,3,3
fb173051-9b6e-425a-865e-ac60da97b366,12,2,0,7,12,12,11,12,9,13,10
fb173051-9b6e-425a-865e-ac60da97b366,12,2,1,10,13,10,7,11,11,11,9
fce76340-1030-4ec5-b9e6-37d1baedd61d,12,2,0,13,11,10,10,11,9,7,10
fce76340-1030-4ec5-b9e6-37d1baedd61d,12,2,1,9,12,11,12,8,8,8,3
014b5bb9-3fac-4afd-8b68-7dfaf8d244d6,12,3,0,13,11,11,6,6,6,11,13
014b5bb9-3fac-4afd-8b68-7dfaf8d244d6,12,3,1,12,12,8,11,13,12,11,11
22437820-14fc-4551-be6c-d2c996eb1c0f,12,3,0,13,11,7,3,8,10,6,6
431bc619-7fbd-481f-99bd-353e1fc4cc79,12,3,0,4,4,0,1,5,5,2,1
4e638be0-4134-43e7-b847-bbeb862d25ce,12,3,0,6,6,5,0,2,2,3,5
6bf2022a-160e-487d-a359-57c592871d15,12,3,0,9,5,0,4,4,1,4,3
6ddc14e0-d2dc-4d1a-9bf8-5fdf886658ad,12,3,0,1,5,2,0,4,7,10,11
72d2b99a-3ba3-456f-a780-e810a8c74276,12,3,0,1,4,1,1,3,3,3,0
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,12,3,0,8,10,10,13,9,9,5,9
a2760a8f-def1-4dce-a83e-ef93604e2edf,12,3,0,6,7,10,11,8,8,12,9
b27981b4-5e96-48b1-b748-3d0aadab64d3,12,3,0,8,8,9,9,5,6,4,1
b27981b4-5e96-48b1-b748-3d0aadab64d3,12,3,1,2,7,11,10,13,9,9,6
bc46642f-21d8-4310-b7be-30c4293bfb83,12,3,0,5,5,2,0,0,4,0,0
c56c06ff-3b0f-45df-9ec8-136eddfab84d,12,3,0,8,6,1,1,3,3,0,1
dc29d897-55c8-4d68-8bf0-141542064283,12,3,0,10,10,12,9,5,4,4,9
dc29d897-55c8-4d68-8bf0-141542064283,12,3,1,11,13,13,13,10,10,10,10
eda39bf5-7e5d-4eec-957d-8840dd117bde,12,3,0,7,5,2,3,2,7,8,11
0d6d22eb-6aab-4740-958b-3640a804455f,12,4,0,1,6,5,6,8,13,12,9
0d6d22eb-6aab-4740-958b-3640a804455f,12,4,1,6,10,5,10,5,3,3,2
0e164ea2-d518-4217-b9c1-c02a058bf471,12,4,0,6,8,4,4,0,3,1,6
1c25988d-037f-471e-95c2-8cd8ae585a06,12,4,0,11,10,12,10,8,4,3,8
1c7135e3-328f-48f8-bc81-2ead0fafd292,12,4,0,5,5,0,5,9,11,11,13
2279c85d-8972-41bc-ab1c-e4c3ccf762db,12,4,0,6,3,1,1,6,11,11,13
3e40cf18-3943-4a7e-a7a1-0a517079ecde,12,4,0,5,7,4,9,13,11,9,13
5716a7f5-3bf3-4edb-a308-dd865f420bb6,12,4,0,1,4,9,10,11,10,5,8
633ee326-ca41-470a-b800-edb7620c5c43,12,4,0,3,8,12,11,6,10,9,8
67589b46-61f4-46ff-9f3e-9986f559dbd2,12,4,0,3,3,2,3,0,0,4,2
79e127f7-a26f-42e4-ada6-67e8a053b9a7,12,4,0,9,9,12,10,10,6,8,7
7d53a5c3-8489-4a07-9ebb-868cc3f291f2,12,4,0,9,10,6,6,6,3,2,2
877fbf43-9178-492e-a52a-ece447fb58cf,12,4,0,4,4,6,6,4,0,4,9
d41198c3-ab7e-42fc-a99c-bdbf2dd4cd3e,12,4,0,9,9,4,6,4,3,0,0
d41198c3-ab7e-42fc-a99c-bdbf2dd4cd3e,12,4,1,8,8,12,8,4,3,4,2
e2c94a92-2881-40a7-b516-6a5689baa66a,12,4,0,10,13,11,12,11,12,9,9
f6cb244c-d0dc-4632-9493-fefc945bd541,12,4,0,3,7,8,7,11,9,9,12
fabe0265-b081-46d3-93cf-0bb65c15ba68,12,4,0,2,1,1,2,1,4,3,3
fabe0265-b081-46d3-93cf-0bb65c15ba68,12,4,1,7,9,5,5,3,1,4,2
01c70727-1bd3-48f1-b20a-fb68b7dba5f4,12,5,0,4,0,2,2,3,4,1,3
26a739fe-4e62-471d-948f-5beb9eacd2cb,12,5,0,11,11,7,7,2,0,3,3
26a739fe-4e62-471d-948f-5beb9eacd2cb,12,5,1,12,9,11,7,7,11,7,7
27163bc7-0c60-4bea-9314-22c825ff9c03,12,5,0,13,8,8,3,8,8,12,10
48638470-16bb-4017-bb3d-d231dd4d8392,12,5,0,11,13,11,11,13,10,13,11
6cc2ed49-b3a8-4a9d-99a4-9a87ec373978,12,5,0,8,7,4,4,8,13,11,11
758b9832-fd0d-446b-a72b-483571729bb3,12,5,0,7,6,11,11,11,10,11,11
a826c0b4-c003-4e07-9eae-8443c9b6a36f,12,5,0,12,8,8,7,9,12,11,11
e77257b2-a229-411e-9115-0b065d25d4ef,12,5,0,11,8,10,13,11,12,12,11
e7eb603f-602a-47ce-b0b7-e21970c582ce,12,5,0,4,2,2,5,5,1,6,8
fb4b76c8-5ba6-48b6-a992-d5c225e1ed06,12,5,0,12,8,3,8,6,5,5,9
fb4b76c8-5ba6-48b6-a992-d5c225e1ed06,12,5,1,10,10,8,5,10,7,2,2
