raid,marker,tick,ticks_to_first_attack,detail
7ca85464-b9da-470c-a984-82865ece18dc,p1_first_auto,19,,19;33;47
7ca85464-b9da-470c-a984-82865ece18dc,phase2,63,16,79
7ca85464-b9da-470c-a984-82865ece18dc,phase3,266,12,278
7dd4a479-72ef-4813-a3af-c3e728595a0c,p1_first_auto,20,,20;34;48;62;76
7dd4a479-72ef-4813-a3af-c3e728595a0c,phase2,92,16,108
7dd4a479-72ef-4813-a3af-c3e728595a0c,phase3,268,12,280
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,p1_first_auto,19,,19;33;47;61;75;89;103
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,phase2,112,16,128
8eb37ed4-5b9c-44da-a9c9-8f74d081de4a,phase3,324,12,336
99a19877-b298-4f81-920a-4dab071af96f,p1_first_auto,19,,19;33;47;61;75
99a19877-b298-4f81-920a-4dab071af96f,phase2,80,16,96
99a19877-b298-4f81-920a-4dab071af96f,phase3,241,12,253
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,p1_first_auto,20,,20;34;48;62;76;90;104
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,phase2,120,16,136
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,phase3,358,12,370
a2968a27-1164-47cb-be4a-c5903764b9c9,p1_first_auto,19,,19;33;47;61;75;89;103
a2968a27-1164-47cb-be4a-c5903764b9c9,phase2,113,16,129
a2968a27-1164-47cb-be4a-c5903764b9c9,phase3,389,12,401
c695912b-8120-4096-96e5-4c57bc61e152,p1_first_auto,20,,20;34;48;62
c695912b-8120-4096-96e5-4c57bc61e152,phase2,69,16,85
c695912b-8120-4096-96e5-4c57bc61e152,phase3,273,12,285
d5ef6c12-42cf-428c-9580-14abe398b3a8,p1_first_auto,20,,20;34;48
d5ef6c12-42cf-428c-9580-14abe398b3a8,phase2,62,16,78
d5ef6c12-42cf-428c-9580-14abe398b3a8,phase3,241,12,253
dc29d897-55c8-4d68-8bf0-141542064283,p1_first_auto,19,,19;33;47;61;75
dc29d897-55c8-4d68-8bf0-141542064283,phase2,89,16,105
dc29d897-55c8-4d68-8bf0-141542064283,phase3,330,12,342
e029c9ae-f1a0-49e2-b35c-7980bebc7e4e,p1_first_auto,20,,20;34;48;62
e029c9ae-f1a0-49e2-b35c-7980bebc7e4e,phase2,66,16,82
e029c9ae-f1a0-49e2-b35c-7980bebc7e4e,phase3,257,12,269
ec129d16-ceaf-4a33-bb6e-fee4060c2607,p1_first_auto,20,,20;34;48;62;76;90;104;118
ec129d16-ceaf-4a33-bb6e-fee4060c2607,phase2,258,16,274
ec129d16-ceaf-4a33-bb6e-fee4060c2607,phase3,826,12,838
eee9a190-f2af-4354-bf84-1e2990e77891,p1_first_auto,20,,20;34;48;62
eee9a190-f2af-4354-bf84-1e2990e77891,phase2,66,16,82
eee9a190-f2af-4354-bf84-1e2990e77891,phase3,215,12,227
f0ac6d63-deeb-4637-8d5d-0076cb0a2094,p1_first_auto,20,,20;34;48;62;76;90;104;118
f0ac6d63-deeb-4637-8d5d-0076cb0a2094,phase2,301,16,317
f0ac6d63-deeb-4637-8d5d-0076cb0a2094,phase3,796,12,808
