raid,tick,style
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,431,mage
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,441,melee
0ffb0fcb-8ebe-428d-8cff-19d4d96aa345,451,mage
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,347,melee
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,356,range
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,366,mage
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,376,melee
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,386,range
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,396,melee
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,406,range
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,416,melee
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,426,mage
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,436,melee
39c0d85d-f6ca-40f4-a04d-5a69843ceb4b,446,mage
3d30c636-cd48-431a-9efe-6a2a12a31a0e,353,melee
3d30c636-cd48-431a-9efe-6a2a12a31a0e,362,range
3d30c636-cd48-431a-9efe-6a2a12a31a0e,372,melee
3d30c636-cd48-431a-9efe-6a2a12a31a0e,382,range
3d30c636-cd48-431a-9efe-6a2a12a31a0e,392,melee
3d30c636-cd48-431a-9efe-6a2a12a31a0e,402,range
3d30c636-cd48-431a-9efe-6a2a12a31a0e,412,melee
3d30c636-cd48-431a-9efe-6a2a12a31a0e,422,range
3d30c636-cd48-431a-9efe-6a2a12a31a0e,432,mage
3d30c636-cd48-431a-9efe-6a2a12a31a0e,442,melee
3d30c636-cd48-431a-9efe-6a2a12a31a0e,452,mage
56216003-6bb6-4095-a47e-0aecb84e252d,350,melee
56216003-6bb6-4095-a47e-0aecb84e252d,359,mage
56216003-6bb6-4095-a47e-0aecb84e252d,369,range
56216003-6bb6-4095-a47e-0aecb84e252d,379,mage
56216003-6bb6-4095-a47e-0aecb84e252d,389,range
56216003-6bb6-4095-a47e-0aecb84e252d,399,melee
56216003-6bb6-4095-a47e-0aecb84e252d,409,range
56216003-6bb6-4095-a47e-0aecb84e252d,419,mage
56216003-6bb6-4095-a47e-0aecb84e252d,429,melee
56216003-6bb6-4095-a47e-0aecb84e252d,439,range
5905be94-8610-436b-805c-f4b10359086c,294,melee
5905be94-8610-436b-805c-f4b10359086c,303,range
5905be94-8610-436b-805c-f4b10359086c,313,mage
5905be94-8610-436b-805c-f4b10359086c,323,melee
5905be94-8610-436b-805c-f4b10359086c,333,mage
5905be94-8610-436b-805c-f4b10359086c,343,range
5905be94-8610-436b-805c-f4b10359086c,353,melee
630f537c-d33a-45cb-9b00-f0dcadb0cc38,322,melee
630f537c-d33a-45cb-9b00-f0dcadb0cc38,331,mage
630f537c-d33a-45cb-9b00-f0dcadb0cc38,341,range
630f537c-d33a-45cb-9b00-f0dcadb0cc38,351,mage
630f537c-d33a-45cb-9b00-f0dcadb0cc38,361,melee
630f537c-d33a-45cb-9b00-f0dcadb0cc38,371,range
630f537c-d33a-45cb-9b00-f0dcadb0cc38,381,melee
630f537c-d33a-45cb-9b00-f0dcadb0cc38,391,range
630f537c-d33a-45cb-9b00-f0dcadb0cc38,401,melee
630f537c-d33a-45cb-9b00-f0dcadb0cc38,411,mage
630f537c-d33a-45cb-9b00-f0dcadb0cc38,421,range
630f537c-d33a-45cb-9b00-f0dcadb0cc38,431,melee
630f537c-d33a-45cb-9b00-f0dcadb0cc38,441,range
74700b67-6c79-41d8-b441-c7d96629348a,294,melee
74700b67-6c79-41d8-b441-c7d96629348a,303,range
74700b67-6c79-41d8-b441-c7d96629348a,313,melee
74700b67-6c79-41d8-b441-c7d96629348a,323,mage
74700b67-6c79-41d8-b441-c7d96629348a,333,range
74700b67-6c79-41d8-b441-c7d96629348a,343,mage
74700b67-6c79-41d8-b441-c7d96629348a,353,melee
74700b67-6c79-41d8-b441-c7d96629348a,363,range
74700b67-6c79-41d8-b441-c7d96629348a,373,melee
7ca85464-b9da-470c-a984-82865ece18dc,307,melee
7ca85464-b9da-470c-a984-82865ece18dc,316,range
7ca85464-b9da-470c-a984-82865ece18dc,326,mage
7ca85464-b9da-470c-a984-82865ece18dc,336,range
7ca85464-b9da-470c-a984-82865ece18dc,346,melee
7ca85464-b9da-470c-a984-82865ece18dc,356,range
7ca85464-b9da-470c-a984-82865ece18dc,366,melee
7ca85464-b9da-470c-a984-82865ece18dc,376,mage
7ca85464-b9da-470c-a984-82865ece18dc,386,melee
7ca85464-b9da-470c-a984-82865ece18dc,396,mage
7dd4a479-72ef-4813-a3af-c3e728595a0c,306,melee
7dd4a479-72ef-4813-a3af-c3e728595a0c,315,range
7dd4a479-72ef-4813-a3af-c3e728595a0c,325,mage
7dd4a479-72ef-4813-a3af-c3e728595a0c,335,melee
7dd4a479-72ef-4813-a3af-c3e728595a0c,345,range
7dd4a479-72ef-4813-a3af-c3e728595a0c,355,mage
7dd4a479-72ef-4813-a3af-c3e728595a0c,365,melee
7dd4a479-72ef-4813-a3af-c3e728595a0c,375,range
7dd4a479-72ef-4813-a3af-c3e728595a0c,385,mage
99a19877-b298-4f81-920a-4dab071af96f,290,melee
99a19877-b298-4f81-920a-4dab071af96f,299,mage
99a19877-b298-4f81-920a-4dab071af96f,309,range
99a19877-b298-4f81-920a-4dab071af96f,319,mage
99a19877-b298-4f81-920a-4dab071af96f,329,melee
99a19877-b298-4f81-920a-4dab071af96f,339,range
99a19877-b298-4f81-920a-4dab071af96f,349,mage
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,334,melee
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,343,mage
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,353,range
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,363,melee
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,373,range
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,383,mage
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,393,melee
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,403,mage
9b6110bc-8dfa-4182-a8c1-02eccc1270b1,413,melee
a2968a27-1164-47cb-be4a-c5903764b9c9,334,melee
a2968a27-1164-47cb-be4a-c5903764b9c9,343,range
a2968a27-1164-47cb-be4a-c5903764b9c9,353,mage
a2968a27-1164-47cb-be4a-c5903764b9c9,363,melee
a2968a27-1164-47cb-be4a-c5903764b9c9,373,range
a2968a27-1164-47cb-be4a-c5903764b9c9,383,melee
a2968a27-1164-47cb-be4a-c5903764b9c9,393,range
a2968a27-1164-47cb-be4a-c5903764b9c9,403,mage
a2968a27-1164-47cb-be4a-c5903764b9c9,413,range
a2968a27-1164-47cb-be4a-c5903764b9c9,423,melee
a2968a27-1164-47cb-be4a-c5903764b9c9,433,range
a2968a27-1164-47cb-be4a-c5903764b9c9,443,mage
a2968a27-1164-47cb-be4a-c5903764b9c9,453,melee
a2968a27-1164-47cb-be4a-c5903764b9c9,463,mage
a2968a27-1164-47cb-be4a-c5903764b9c9,473,melee
a2968a27-1164-47cb-be4a-c5903764b9c9,483,range
a2968a27-1164-47cb-be4a-c5903764b9c9,493,mage
c695912b-8120-4096-96e5-4c57bc61e152,310,melee
c695912b-8120-4096-96e5-4c57bc61e152,319,range
c695912b-8120-4096-96e5-4c57bc61e152,329,mage
c695912b-8120-4096-96e5-4c57bc61e152,339,melee
c695912b-8120-4096-96e5-4c57bc61e152,349,mage
c695912b-8120-4096-96e5-4c57bc61e152,359,range
c695912b-8120-4096-96e5-4c57bc61e152,369,melee
c695912b-8120-4096-96e5-4c57bc61e152,379,mage
d5ef6c12-42cf-428c-9580-14abe398b3a8,306,melee
d5ef6c12-42cf-428c-9580-14abe398b3a8,315,range
d5ef6c12-42cf-428c-9580-14abe398b3a8,325,mage
d5ef6c12-42cf-428c-9580-14abe398b3a8,335,range
d5ef6c12-42cf-428c-9580-14abe398b3a8,345,melee
d5ef6c12-42cf-428c-9580-14abe398b3a8,355,mage
d5ef6c12-42cf-428c-9580-14abe398b3a8,365,melee
d5ef6c12-42cf-428c-9580-14abe398b3a8,375,range
eee9a190-f2af-4354-bf84-1e2990e77891,319,melee
eee9a190-f2af-4354-bf84-1e2990e77891,328,mage
eee9a190-f2af-4354-bf84-1e2990e77891,338,melee
eee9a190-f2af-4354-bf84-1e2990e77891,348,mage
eee9a190-f2af-4354-bf84-1e2990e77891,358,range
eee9a190-f2af-4354-bf84-1e2990e77891,368,mage
eee9a190-f2af-4354-bf84-1e2990e77891,378,range
eee9a190-f2af-4354-bf84-1e2990e77891,388,melee
