raid,scale,wave,split_pillar,parent_pillar,nearest_to_spawn
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,NW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,NW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,NE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,21,NE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,22,SE,NW,NW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,22,NW,NW,NW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,22,SE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,22,SW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,22,NE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,22,SE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,SE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,SW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,NE,NW,NW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,NE,NW,NW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,SE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,SW,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,23,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,26,SE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,26,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,26,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,26,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,27,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,27,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,27,SE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,28,NE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,28,NE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,28,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,28,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,NE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,SE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,NW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,SE,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,SW,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,29,SE,NE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,30,SW,NW,NW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,30,NE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,30,SW,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,30,SW,NW,NW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,31,SW,SE,NE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,31,SW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,31,NW,SW,SW
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,31,SE,SE,SE
029e4be8-0a1c-4a60-8538-7796e0d6c754,1,31,NE,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,SE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,SE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,SE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,NE,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,NE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,9,SW,SW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,10,NE,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,10,SE,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,13,NE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,13,NE,SW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,13,NE,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,13,NW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,13,SE,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,13,NW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,14,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,14,NE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,15,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,15,SW,NW,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NE,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SE,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NE,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SW,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SW,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NE,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NE,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SE,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,SE,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,19,NW,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,21,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,21,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,22,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,22,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,25,SW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,25,SW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,27,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,27,NE,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SE,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SE,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NE,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,28,SW,SE,SE
038b9770-2c92-49d3-bc63-92de5d6df970,1,31,SW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,31,SW,NE,NE
038b9770-2c92-49d3-bc63-92de5d6df970,1,31,NW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,31,SW,NW,NW
038b9770-2c92-49d3-bc63-92de5d6df970,1,31,NE,SW,SW
038b9770-2c92-49d3-bc63-92de5d6df970,1,31,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,5,SE,,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,5,NW,,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,9,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,9,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,9,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,9,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,9,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,9,NW,SW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,10,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,10,NW,SW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,10,SE,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,10,SE,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,10,SW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,10,NW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,13,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,13,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,14,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,14,SE,SW,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,16,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,16,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,16,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,16,SW,SW,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,18,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,18,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,20,SW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,20,SW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,20,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,20,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,20,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,20,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,20,NE,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,20,NW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,21,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,21,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,21,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,21,NE,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,21,SW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,21,SW,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,21,NE,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,22,NW,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,22,SW,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,23,NW,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,23,NE,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,23,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,23,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,23,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,24,SW,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,24,SE,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,24,NE,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,24,NW,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,24,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,24,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,25,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,25,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,25,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,25,NW,SW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,27,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,27,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,28,NE,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,28,NE,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,28,SW,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,28,SW,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,28,SW,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,28,NW,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,28,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,28,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,29,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,29,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,29,SW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,30,SE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,30,SW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,30,SW,NE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,30,NW,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,30,NW,NW,NW
076bb399-563e-4fff-b5ae-c903a640501d,1,30,SE,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,30,SW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,31,SW,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,31,SE,SE,NE
076bb399-563e-4fff-b5ae-c903a640501d,1,31,NE,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,31,NW,SW,SW
076bb399-563e-4fff-b5ae-c903a640501d,1,31,SE,SE,SE
076bb399-563e-4fff-b5ae-c903a640501d,1,31,SE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,5,SW,,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,5,SW,,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,9,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,9,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,NE,SW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,NE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,SW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,SW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,10,SE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,11,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,11,SE,SW,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,12,NE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,12,SW,SW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,15,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,15,NE,SW,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,17,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,17,NE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,17,NW,NW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,17,SE,NW,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,19,NE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,19,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,20,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,20,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,20,SW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,20,NE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,21,SE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,21,SW,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,21,NW,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,21,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,21,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,21,SW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SW,NW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NW,NW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NE,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SW,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NW,NW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SE,NW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,NE,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,22,SW,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,25,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,25,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,26,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,26,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,26,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,26,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,27,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,27,NE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,27,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,27,NE,SW,NW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,28,NE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,28,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,28,NE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,28,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,28,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,28,NE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,29,NE,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,29,SE,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,30,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,30,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,30,NW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,30,SE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,SE,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,NW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,NE,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,NE,NE,NE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,SE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,NW,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,NE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,SE,SE,SE
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,SW,SW,SW
09eb3bed-9930-4f95-bdaa-f4c46b21b4eb,1,31,SW,SE,SE
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,5,SW,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,5,SE,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,7,SW,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,7,SE,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,8,SE,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,8,NE,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,9,SW,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,9,SW,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,9,SW,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,9,SW,SW,NW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,10,NW,SE,SE
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,10,NW,SE,SE
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,10,SE,NE,NE
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,12,SE,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,12,NW,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,15,NE,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,15,NW,SW,SW
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,15,NE,SE,SE
0f75b40a-3218-47ae-ba77-7b574512e9c9,1,15,NW,SE,SE
