<!--
Old School RuneScape Wiki jingle cache ids, harvested from Category:Jingles
(https://oldschool.runescape.wiki/wiki/Category:Jingles, 324 pages) via the
MediaWiki API (action=query&prop=revisions, batched 40 titles at a time,
2026-08-14), reading each page's infobox `|cacheid=` field.

`cacheid` is the JS5 index-11 (music jingles) archive/group id -- verified,
not assumed, three independent ways (see docs/AUDIO_ACCURACY.md and
tools/gen_jingle_names.py):
  - name-hash proof on the sibling index-6 (music tracks) table, which DOES
    carry name hashes -- 7/7 sampled wiki cacheids resolved to the archive-6
    group whose stored hash matches the lowercased track name
  - id-set identity: all 314 wiki jingle cacheids fall in exactly the
    315-entry archive-11 group id set of cache.osrs239 (314 of 315 -- the one
    miss, id 178, has no wiki page; id 17 likewise)
  - independent MIDI note-event match against LostCity's 74 named 2004
    jingle .mid files (66/74 exact -- see gen_jingle_names.py)

314 of 315 archive-11 ids resolved this way. Ids 17 and 178 have no wiki
page and keep jingle_<id> in the pack. `cacheid=11488` on "Yama's Jingle" is
out of range for this table (max valid id is index-11's own count) and is
treated as a wiki error, not a row -- the generator only trusts an id inside
the cache's own group id set.
-->

id	title
162	Wisdom (Recruitment Drive)
163	Perfectly Tuned (Fremennik Trials)
164	Ballad Refrain (Fremennik Trials)
165	Ballad Opening (Fremennik Trials)
166	Echo of Beauty (Mountain Daughter)
167	Ready to Fire! (Between a Rock)
168	Romeo Falls in Love (Romeo & Juliet)
169	A Long Royal Plan (Royal Trouble)
170	A Royal Plan (Royal Trouble)
171	Quick Sail
172	Sailing Journey
173	Silence (25 Seconds)
174	Skullball Goal!
175	Snake Charming (Pyramid Plunder)
176	Snake Charming (The Feud)
177	Box of Health (Stronghold of Security)
179	Grain of Plenty (Stronghold of Security)
180	Angry (A Soul's Bane)
181	Confused (A Soul's Bane)
182	Fear (A Soul's Bane)
183	Hopeless (A Soul's Bane)
184	A Monster (A Soul's Bane)
185	Too Slow! (Speedy Gnome)
186	Faster Than Gnome! (Speedy Gnome)
187	Tale of the Wise Old Man (Swan Song)
188	Tinsay Satisfied (Tai Bwo Wannai Trio)
189	Tiadeche Thankful (Tai Bwo Wannai Trio)
190	Tamayu Slays the Shaikahan (Tai Bwo Wannai Trio)
191	Flamtaer Restored
192	Icthlarin's Little Puzzle
193	Treasure! (Treasure Trails)
194	Trek Destination (Temple Trekking)
195	Dangers of Morytania (Temple Trekking)
196	Danger Evaded (Temple Trekking)
197	Trek Continues (Temple Trekking)
198	Cat gets Lazy
199	Cat gets Wily
200	Vampyre Assault (In Aid of the Myreque)
201	A Thing Under the Bed!
202	Zanik Lives Again! (Death to the Dorgeshuun)
203	Rum for the Dumb (Rum Deal)
204	Stealing from the Godfather (A Fairy Tale Part II)
205	Fairy Queen Awakens! (A Fairy Tale Part II)
206	The Battle of Atarisundri (The Eyes of Glouphrie)
207	Gnomes & Goblins (The Eyes of Glouphrie)
208	Invincible Army (The Eyes of Glouphrie)
209	Goblin Retreat (The Eyes of Glouphrie)
210	Oaknock Calls (The Eyes of Glouphrie)
211	The Illusion... (The Eyes of Glouphrie)
212	Of Glouphrie (The Eyes of Glouphrie)
213	Secrets (The Eyes of Glouphrie)
214	Healthorg's Rule (The Eyes of Glouphrie)
215	Glouphrie's Watching (The Eyes of Glouphrie)
216	Expulsion (The Eyes of Glouphrie)
217	The Expulsion of Glouphrie (The Eyes of Glouphrie)
218	Machine Fixed (The Eyes of Glouphrie)
219	Izzie no More (The Eyes of Glouphrie)
220	Oaknock's Machine (The Eyes of Glouphrie)
221	Story for Brimstal (The Eyes of Glouphrie)
222	The Machine is Broken... (The Eyes of Glouphrie)
223	Gnome Sabotage (The Eyes of Glouphrie)
224	A Shadow Passes (The Eyes of Glouphrie)
225	Sudden Cry (The Eyes of Glouphrie)
226	Argento (The Eyes of Glouphrie)
227	Morytanian Mystery (Darkness of Hallowvale)
228	Welcome to the Family (The Slug Menace)
229	The Slug Prince (The Slug Menace)
230	Mother Mallum (The Slug Menace)
231	Cape of Accomplishment (jingle)
232	Adventurer Stew (My Arm's Big Adventure)
233	Rumble in da Jungle (My Arm's Big Adventure)
234	The Watchtower Shield
235	Here Chicky Chicky! (Animal Magnetism)
236	Chicken Grabbed (Animal Magnetism)
237	Claws' Shanty (Christmas 2013)
238	Tarn (Lair of Tarn Razorlor)
239	The Transformation (Lair of Tarn Razorlor)
240	Bongos (Cold War)
241	Cowbells (Cold War)
242	The Royal Decree (The Fremennik Isles)
243	Sleepy... (Great Brain Robbery)
244	Soothing Kitten Music (Great Brain Robbery)
245	Silence (6 Seconds)
246	Dorgesh-Kaan Nursery
247	Surok Dance (What Lies Below)
248	Surok Rock (What Lies Below)
249	Air Guitar (jingle)
250	Verzik's Defeat
251	All Medium Tasks (Karamja Diary)
252	All Easy Tasks (Karamja Diary)
253	All Hard Tasks (Karamja Diary)
254	Easy Task (Karamja Diary)
255	Hard Task (Karamja Diary)
256	Medium Task (Karamja Diary)
257	Rupert's Decent (Grim Tales)
258	Rupert's Ascent (Grim Tales)
259	Rupert's Second Decent (Grim Tales)
260	Nora's Record (Grim Tales)
261	Nora's Broken Record (Grim Tales)
262	Nora's Melody (Grim Tales)
263	A Grim Tale (Grim Tales)
264	Grimgnash's Bedtime (Grim Tales)
265	Stupid Human Story (Grim Tales)
266	Silence (1 Second)
267	A Slayer's Feat (Dragon Slayer)
268	Barbarian Funeral
269	Top of the Class (Surprise Exam)
270	Fail (Surprise Exam)
271	King has Come (King's Ransom)
272	Case Closed (King's Ransom)
273	My Arm's First Love (Making Friends with My Arm)
274	Rejection (Making Friends with My Arm)
275	My Arm & Snowflake Forever (Making Friends with My Arm)
276	Clearing the Gauntlet
277	Petrification of the Basilisk (The Fremennik Exiles)
278	The Fallen Myreque (Sins of the Father)
279	Hosidius Entrance (POH)
280	Scape Jingle
281	Border Broken (Leagues)
282	Relic of Power (Leagues)
283	Task Mastered (Leagues)
284	Defeated! (Soul Wars)
285	Victorious! (Soul Wars)
286	Festive Entrance (POH)
287	Star of Your Own (Shooting Stars)
288	Tempor Subdued! (Tempoross)
289	Raging Storm (Tempoross)
290	A Christmas Deed (Christmas 2021)
291	Guardian Falls (Guardians of the Rift)
292	Rift Closed (Guardians of the Rift)
293	Sword Good. Hand Over. (Giants' Foundry)
294	Gilbert's Glade (Pride 2022)
295	Test of Nobility (Tombs of Amascut)
296	Tomb Cleared (Tombs of Amascut)
297	A Merry Christmas (Christmas 2022)
298	Assassin Altercation (Secrets of the North)
299	Combat Level Up!
300	Sliske... (Desert Treasure II)
301	Terrorbird Tussle (Jingle)
302	Dumpling no More (Path of Glouphrie)
303	The Terrorbirds (Path of Glouphrie)
304	Zemouregal's Theatre (Defender of Varrock)
305	Glorious Champion (Fortis Colosseum)
306	Assassin Ambush! (While Guthix Sleeps)
307	Canifis Entrance (POH)
308	Civitas Entrance (POH)
309	Yama's Horn
310	Yama's Soulflame Horn
830	Charted the Sea
831	Sailing Level Up!
832	Sailing Level Up! (99)
864	The Blood Moon Falls
11488	Yama's Jingle
