dbrow_id	display_name	sort_name	unlock_hint	col3_unknown	song_archive_id	unlock_varp,bit
2661	Domain of the Vampyres	Domain of the Vampyres	during the Darkness of Hallowvale quest.	319	677	20,15
2662	Don't Panic Zanik	Don't Panic Zanik	during the Land of the Goblins quest.	302	714	21,26
2663	Doorways	Doorways	in the area around Varrock.	251	56	2,2
2664	Dorgeshuun City	Dorgeshuun City	in Dorgesh-Kaan.	453	240	15,5
2665	Dorgeshuun Deep	Dorgeshuun Deep	in the Dorgesh-Kaan South Dungeon.	443	249	15,6
2666	Dorgeshuun Treaty	Dorgeshuun Treaty	during The Lost Tribe quest.	115	410	22,12
2667	Down and Out	Down and Out	during the Dream Mentor quest.	225	301	16,7
2668	Down Below	Down Below	in the Draynor Sewers.	300	361	9,28
2669	Down to Earth	Down to Earth	at the Earth Altar.	409	143	9,3
2670	Relics	Relics	during the Dragon Slayer II quest.	435	549	17,25
2671	Forsaken, The	The Forsaken	during the Dragon Slayer II quest.	564	527	17,30
2672	Dragontooth Island	Dragontooth Island	on Dragontooth Island.	500	358	9,25
2673	Oncoming Foe	Oncoming Foe	during the Dragon Slayer II quest.	550	540	17,31
2674	Dream	Dream	in Lumbridge.	257	327	2,3
2675	Dreamstate	Dreamstate	during the Lunar Diplomacy quest.	426	623	14,3
2676	Drunken Dwarf	Drunken Dwarf	somewhere.	114	438	
2677	Emir's Arena, The	The Emir's Arena	at the Emir's Arena	 north-east of Al Kharid.	289	47	6,4
2678	Dunjun	Dunjun	in Taverley Dungeon.	285	173	2,4
2679	Dusk in Yu'biusk	Dusk in Yu'biusk	in Yu'biusk.	489	713	21,23
2680	Dwarf Theme	Dwarf Theme	at the entrance to the Dwarven Mines.	158	310	2,20
2681	Dynasty	Dynasty	in Pollnivneach.	437	351	9,19
2682	Eagles' Peak	Eagles' Peak	at Eagles' Peak.	422	366	10,0
2683	Easter Jig	Easter Jig	during an Easter event.	394	273	15,27
2684	Egypt	Egypt	in the Kharidian Desert.	359	69	2,5
2685	Eye of the Storm	Eye of the Storm	during the Dragon Slayer I quest.	139	360	22,10
2686	Elven Mist	Elven Mist	in Isafdar.	383	252	7,10
2687	Elven Seed	Elven Seed	in Gwenith.	413	654	19,17
2688	Emotion	Emotion	at the Tree Gnome Maze.	322	148	2,6
2689	Emperor	Emperor	in Rimmington.	401	138	2,7
2690	Enclave, The	The Enclave	in Ferox Enclave.	324	680	20,23
2691	Escape	Escape	in the Witchaven dungeon.	282	17	6,16
2692	Espionage	Espionage	during the Cold War quest.	398	216	15,22
2693	Awful Anthem	Awful Anthem	during the Throne of Miscellania quest.	142	297	22,14
2694	Etceteria	Etceteria	on Etceteria.	403	285	8,3
2695	Everlasting	Everlasting	during the Dream Mentor quest.	280	283	16,5
2696	Everlasting Fire	Everlasting Fire	in the Wilderness.	380	586	14,1
2697	Everywhere	Everywhere	north of Prifddinas.	447	268	7,27
2698	Eve's Epinette	Eve's Epinette	during a Halloween event.	573	682	20,25
2699	Evil Bob's Island	Evil Bob's Island	on Evil Bob's island.	373	411	10,28
2700	Expanse	Expanse	in the area around Varrock.	285	106	2,8
2701	Expecting	Expecting	north of the Observatory.	377	41	2,9
2702	Expedition	Expedition	in the Observatory Dungeon.	287	153	2,10
2703	Exposed	Exposed	on the Island of Stone.	441	270	7,28
2704	Faerie	Faerie	in Zanaris.	286	118	2,11
2705	Fairy Dragon, The	The Fairy Dragon	during the Recipe for Disaster quest.	182	574	22,8
2706	Faith of the Hefin	Faith of the Hefin	in Prifddinas.	644	653	19,18
2707	Faithless	Faithless	in the Wilderness.	329	337	9,9
2708	Fanfare	Fanfare	in Falador.	237	72	2,12
2709	Fanfare 2	Fanfare 2	in the Karamja Shipyard.	198	166	6,2
2710	Fanfare 3	Fanfare 3	in and around Port Khazard.	442	167	2,13
2711	Fangs for the Memory	Fangs for the Memory	during the In Search of the Myreque quest.	340	504	12,2
2712	Far Away	Far Away	during the Mourning's End Part I quest.	458	372	10,4
2713	Fe Fi Fo Fum	Fe Fi Fo Fum	during the Grim Tales quest.	320	23	16,1
2714	Fear and Loathing	Fear and Loathing	in Tolna's rift.	504	602	13,21
2715	Fenkenstrain's Refrain	Fenkenstrain's Refrain	at Fenkenstrain's Castle.	415	344	9,15
2716	Fight or Flight	Fight or Flight	during the Mourning's End Part I quest.	445	375	10,5
2717	Find My Way	Find My Way	in the Ape Atoll Dungeon.	379	312	8,22
2718	Fire and Brimstone	Fire and Brimstone	in the TzHaar Fight Pit.	433	463	11,14
2719	Fishing	Fishing	in Catherby.	315	119	2,14
2720	Floating Free	Floating Free	during the Enlightened Journey quest.	331	206	15,7
2721	Flute Salad	Flute Salad	in Lumbridge.	194	163	2,15
2722	Food for Thought	Food for Thought	in the Stronghold of Security.	461	558	13,4
2723	Forbidden	Forbidden	in the Wilderness.	392	121	6,25
2724	Forest	Forest	in Isafdar.	419	251	7,11
2725	Forever	Forever	in Edgeville.	367	98	2,16
2726	Forgettable Melody	Forgettable Melody	during the Forgettable Tale... quest.	392	436	11,6
2727	Forgotten	Forgotten	in the Ruins of Uzer.	512	378	10,8
2728	Forlorn Homestead, The	The Forlorn Homestead	in Hosidius.	607	452	5,27
2729	Forsaken Tower, The	The Forsaken Tower	during The Forsaken Tower quest.	511	624	19,10
2730	Forgotten Religion, A	A Forgotten Religion	in the Forthos Dungeon.	656	639	19,15
2731	Lava is Mine	Lava is Mine	during the Volcanic Mine minigame.	402	507	17,16
2732	Preserved	Preserved	on Fossil Island.	207	513	17,18
2733	Preservation	Preservation	on Fossil Island.	204	512	17,19
2734	Fossilised	Fossilised	beneath Fossil Island.	369	514	17,17
2735	Lagoon	Lagoon	beneath Fossil Island.	499	503	17,15
2736	Frogland	Frogland	during the Frog random event.	206	409	11,16
2737	Frostbite	Frostbite	during the Desert Treasure I quest.	545	294	8,12
2738	Fruits de Mer	Fruits de Mer	at the Fishing Platform.	546	347	9,17
2739	Ful to the Brim	Ful to the Brim	in the Karuulm Slayer Dungeon.	455	635	18,31
2740	Funny Bunnies	Funny Bunnies	during an Easter event.	361	603	13,22
2741	Dragon Slayer, The	The Dragon Slayer	during the Dragon Slayer II quest.	777	543	17,26
2742	Gaol	Gaol	in Gu'Tanoth.	193	159	2,17
2743	Garden	Garden	in Varrock.	265	125	2,18
2744	Garden of Autumn	Garden of Autumn	in the Sorceress' Garden minigame.	347	228	15,17
2745	Garden of Spring	Garden of Spring	in the Sorceress' Garden minigame.	300	229	15,15
2746	Garden of Summer	Garden of Summer	in the Sorceress' Garden minigame.	300	230	15,14
2747	Garden of Winter	Garden of Winter	in the Sorceress' Garden minigame.	347	231	15,16
2748	Tempest	Tempest	while fighting the Grotesque Guardians.	385	518	17,20
2749	Gauntlet, The	The Gauntlet	in the Gauntlet.	1049	650	19,26
2750	Getting Down to Business	Getting Down to Business	east of the Farming Guild.	390	617	19,7
2751	Dogfight	Dogfight	during The General's Shadow miniquest.	169	233	22,9
2752	Consortium, The	The Consortium	during The Giant Dwarf quest.	445	405	21,31
2753	Foundry, The	The Foundry	during the Sleeping Giants quest.	496	406	22,27
2754	Gill Bill	Gill Bill	on Molch Island.	661	618	18,28
2755	Gnome King	Gnome King	in the Tree Gnome Stronghold.	241	22	2,19
2756	Gnome Village	Gnome Village	in the Tree Gnome Stronghold.	139	33	2,21
2757	Gnome Village Party	Gnome Village Party	automatically.	334	416	26,18
2758	Gnome Village 2	Gnome Village 2	in the Tree Gnome Stronghold.	468	101	2,22
2759	Gnomeball	Gnomeball	during the Gnomeball minigame.	254	112	2,24
2760	Goblin Game	Goblin Game	in the Goblin Cave.	374	346	8,28
2761	Goblin Village	Goblin Village	in Goblin Village.	161	313	2,23
2762	Golden Touch	Golden Touch	in the Mage Training Arena.	400	535	12,22
2763	Guardians of the Rift	Guardians of the Rift	during the Temple of the Eye quest.	531	720	21,29
2764	Guardians Prepare, The	The Guardians Prepare	during the Temple of the Eye quest.	123	718	21,28
2765	Greatness	Greatness	in the area around Varrock.	370	116	2,25
2766	Grimly Fiendish	Grimly Fiendish	during a Halloween event.	345	431	16,29
2767	Grip of the Talon	Grip of the Talon	during the Shadow of the Storm quest.	171	520	12,12
2768	Grotto	Grotto	in the Nature Grotto.	409	246	7,6
2769	Scape Ground	Scape Ground	automatically.	350	466	26,19
2770	Grow Grow Grow	Grow Grow Grow	in the Farming Guild.	579	613	19,8
2771	Grumpy	Grumpy	in the Feldip Hills.	242	128	6,17
2772	Watch Your Step	Watch Your Step	in the Hallowed Sepulchre.	640	674	20,21
2773	Well Hallowed Air	Well Hallowed Air	in the Hallowed Sepulchre lobby.	375	669	20,17
2774	H.A.M. and Seek	H.A.M. and Seek	during the Another Slice of H.A.M. quest.	405	276	15,30
2775	H.A.M. Attack	H.A.M. Attack	during the Another Slice of H.A.M. quest.	460	279	15,28
2776	H.A.M. Fisted	H.A.M. Fisted	during the Death to the Dorgeshuun quest.	405	638	14,13
2777	Harmony	Harmony	in Lumbridge.	362	76	2,26
2778	Harmony 2	Harmony 2	in the Lumbridge Castle cellar.	434	46	6,7
2779	Haunted Mine	Haunted Mine	in the Haunted Mine.	331	277	7,30
2780	Have a Blast	Have a Blast	during the Blast Furnace minigame.	450	434	11,5
2781	Have an Ice Day	Have an Ice Day	during the Cold War quest.	480	217	15,18
2782	Head to Head	Head to Head	during the Evil Twin random event.	353	612	13,27
2783	Heart and Mind	Heart and Mind	at the Body Altar.	353	190	6,14
2784	Hells Bells	Hells Bells	during the Troll Romance quest.	350	4	8,30
2785	Hermit	Hermit	in Saba's cave north-west of Burthorpe.	180	97	6,31
2786	Thorn in My Side, A	A Thorn in My Side	while fighting the Hespori.	740	601	19,9
2787	Creeping Vines	Creeping Vines	in the Farming Guild.	753	596	19,13
2788	High Seas	High Seas	in Brimhaven.	460	55	2,27
2789	High Spirits	High Spirits	during a Halloween event.	366	205	15,9
2790	Hoe Down	Hoe Down	in the Farming Guild.	351	599	19,0
2791	Home Sweet Home	Home Sweet Home	inside a Player-owned house.	536	454	13,1
2792	Scape Home	Scape Home	automatically.	412	621	26,20
2793	Horizon	Horizon	in Taverley.	335	18	2,28
2794	Country Jig	Country Jig	south of Hosidius.	296	456	5,25
2795	Beyond the Meadow	Beyond the Meadow	west of Hosidius.	393	707	21,13
2796	Hypnotised	Hypnotised	during the Icthlarin's Little Helper quest.	408	384	10,13
2797	Iban	Iban	at Lord Iban's Lair.	343	1	2,29
2798	Ice Melody	Ice Melody	at White Wolf Mountain.	226	87	6,5
2799	King of the Trolls	King of the Trolls	during The Fremennik Isles quest.	215	226	22,6
2800	Lament for the Hallowed	Lament for the Hallowed	during the Sins of the Father quest.	655	665	20,16
2801	Illusive	Illusive	during the Dream Mentor quest.	417	298	16,4
2802	Impetuous	Impetuous	in Puro-Puro.	337	349	15,26
2803	Impulses	Impulses	near a portal to Puro-Puro.	579	315	21,30
2804	In Between	In Between	in Dondakan's mine after the Between a Rock quest.	495	370	10,2
2805	In the Brine	In the Brine	on Mos Le'Harmless.	343	530	12,18
2806	In the Clink	In the Clink	during the Prison Pete random event.	378	511	12,8
2807	In the Manor	In the Manor	south of Yanille.	152	188	2,30
2808	In the Pits	In the Pits	in Mor Ul Rek or the Royal Titan arena.	407	469	11,15
2809	Inadequacy	Inadequacy	during the Dream Mentor quest.	357	299	16,3
2810	Incantation	Incantation	during the Shadow of the Storm quest.	560	519	12,11
2811	Inferno	Inferno	in the Inferno.	500	500	17,13
2812	Insect Queen	Insect Queen	in the Kalphite Lair.	432	260	7,20
2813	Inspiration	Inspiration	in the Wilderness.	522	96	2,31
2814	Into the Abyss	Into the Abyss	in the Abyss.	452	412	10,29
2815	Intrepid	Intrepid	during the Underground Pass quest.	198	95	3,0
2816	Sharp End of the Crystal	Sharp End of the Crystal	in the Iorwerth Slayer Dungeon.	565	657	19,28
2817	Iorwerths Lament	Iorwerth's Lament	in Prifddinas.	697	644	19,21
2818	Island Life	Island Life	on Ape Atoll.	372	306	8,18
2819	Island of the Trolls	Island of the Trolls	north of Neitiznot and Jatizso.	435	220	14,25
2820	Isle of Everywhere	Isle of Everywhere	on Lunar Isle.	277	627	14,5
2821	Architects of Prifddinas	Architects of Prifddinas	in Prifddinas.	563	651	19,24
2822	Jester Minute	Jester Minute	during The Fremennik Isles quest.	338	221	14,22
2823	Jolly R	Jolly R	in Brimhaven.	167	6	3,1
2824	Joy of the Hunt	Joy of the Hunt	at Piscatoris.	383	460	13,2
2825	Judgement of the Depths	Judgement of the Depths	during the A Kingdom Divided quest.	599	696	21,10
2826	Jungle Bells	Jungle Bells	during a Christmas event.	385	209	15,13
2827	Jungle Hunt	Jungle Hunt	in the Feldip Hills.	434	453	13,0
2828	Jungle Island	Jungle Island	at Musa Point.	303	172	3,2
2829	Jungle Island Xmas	Jungle Island Xmas	during a Christmas event.	303	208	15,11
2830	Jungle Troubles	Jungle Troubles	on Karamja.	386	479	11,23
2831	Jungly 1	Jungly 1	on Karamja.	285	114	3,3
2832	Jungly 2	Jungly 2	on Karamja.	231	115	3,4
2833	Jungly 3	Jungly 3	on Karamja.	135	117	3,5
2834	Kanon of Kahlith	Kanon of Kahlith	in the Karuulm Slayer Dungeon.	646	608	18,30
2835	Karamja Jam	Karamja Jam	in Brimhaven Dungeon.	380	362	9,30
2836	Pharaoh, The	The Pharaoh	during the Beneath Cursed Sands quest.	161	723	22,26
2837	Kingdom	Kingdom	in Burthorpe.	535	9	6,30
2838	Sinclairs, The	The Sinclairs	during the King's Ransom quest.	107	385	22,13
2839	Knightly	Knightly	in East Ardougne.	250	191	3,6
2840	Knightmare	Knightmare	in the Black Knights' Fortress.	305	374	16,18
2841	Beneath the Kingdom	Beneath the Kingdom	in the Catacombs of Kourend.	477	694	21,6
2842	Houses of Kourend, The	The Houses of Kourend	during the A Kingdom Divided quest.	249	699	21,8
2843	Kourend the Magnificent	Kourend the Magnificent	in Kingstown.	481	451	10,17
2844	La Mort	La Mort	at the Death altar.	452	134	7,0
2845	Labyrinth	Labyrinth	during the Contact! quest.	394	213	13,31
2846	Lair	Lair	in the Shade Catacombs.	457	287	8,5
2847	Lament	Lament	in Enakhra's Temple.	481	542	12,29
2848	Lament of Meiyerditch	Lament of Meiyerditch	in Meiyerditch.	566	197	14,14
2849	Land Down Under	Land Down Under	in the caves under Miscellania.	323	506	12,4
2850	Land of Snow	Land of Snow	during a Christmas event.	270	523	17,23
2851	Land of the Dwarves	Land of the Dwarves	in Keldagrim.	483	396	10,22
2852	Landlubber	Landlubber	in Brimhaven.	405	164	6,9
2853	Last Stand	Last Stand	during the Swan Song quest.	200	546	12,28
2854	Lasting	Lasting	south of Seers' Village.	362	60	3,7
2855	Last Man Standing	Last Man Standing	in the Last Man Standing minigame.	615	474	17,2
2856	Shattered Relics	Shattered Relics	automatically.	187	712	26,21
2857	Legend	Legend	in the area around Rellekka.	469	293	8,11
2858	Legion	Legion	at the Barbarian Outpost.	417	66	3,8
2859	Life's a Beach!	Life's a Beach!	on Mos Le'Harmless.	466	631	14,8
2860	Lighthouse	Lighthouse	at the Lighthouse.	477	320	8,27
2861	Lightness	Lightness	north of Falador.	449	113	3,9
2862	Lightwalk	Lightwalk	in Catherby.	307	74	3,10
2863	Little Cave of Horrors	Little Cave of Horrors	in the Mos Le'Harmless Caves.	294	632	14,10
2864	Fires of Lletya, The	The Fires of Lletya	during the Song of the Elves quest.	516	658	19,31
2865	Lonesome	Lonesome	at the Desert Mining Camp.	386	168	5,21
2866	Long Ago	Long Ago	east of Yanille.	217	161	3,11
2867	Long Way Home	Long Way Home	south of Falador.	206	12	3,12
2868	Looking Back	Looking Back	in the Varrock Museum.	335	309	15,10
2869	Lore and Order	Lore and Order	during the King's Ransom quest.	284	382	16,19
2870	Lost Soul	Lost Soul	at the Poison Waste.	342	253	7,12
2871	Dwarven Domain	Dwarven Domain	in Lovakengj.	325	446	5,23
2872	Out at the Mines	Out at the Mines	north west of Lovakengj.	335	704	21,16
2873	Lower Depths	Lower Depths	in the Chambers of Xeric.	775	487	17,7
2874	You Have My Attention	You Have My Attention	during the Sins of the Father quest.	668	666	20,20
2875	You Have My Attention	You Have My Attention	during the Sins of the Father quest.	407	673	
