# js5 index-6 archive id -> the archive's own name, recovered from the
# reference table's name hash (h = h*31 + c over the lowercased name).
# A row is here only because a candidate string reproduced the stored
# hash exactly, so these are proofs rather than guesses. Candidates came
# from docs/audio/music_tracks_osrs239.tsv (DBTable 44) and
# docs/audio/music_regions.tsv (Kronos's archive-name column).
# 499 of cache.osrs239's 885 archives; the rest keep song_<id>.
archive_id	archive_name
387	sphinx
388	mirage
389	cave of the goblins
390	romper chomper
391	strength of saradomin
392	zogre dance
393	path of peril
394	wayward
396	land of the dwarves
397	tears of guthix
398	the power of tears
399	zamorak zoo
400	scape original
401	the adventurer
404	armageddon
408	bandos battalion
414	armadyl alliance
416	gnome_village_party
417	beneath_the_stronghold
421	troubled_waters
422	nether_realm
423	scorpia_dances
424	devils_may_care
427	warpath
428	clanwars
429	shining_spirit
431	grimly_fiendish
432	coil
433	thrall_of_the_serpent
434	have a blast
435	wilderness
439	maws_jaws_claws
440	that_sullen_hall
442	dies_irae
443	nox_irae
444	soulfall
445	rugged_terrain
451	kourend_the_magnificent
453	jungle hunt
454	home sweet home
458	scape_ape
460	joy of the hunt
461	the desolate isle
467	monkey business
468	monkey badness
470	strange place
471	brew hoo hoo
472	darkly_altared
474	last_man_standing
475	wild side
476	dead can dance
478	the cellar dwellers
479	jungle troubles
480	mined out
481	catch me if you can
482	rat a tat tat
484	bobs on holiday
486	altar_ego
487	lower_depths
489	bubble and squeak
490	sarim's vermin
491	rat hunt
492	upper_depths
494	ascent
496	the trade parade
498	blistering barnacles
499	darkness_in_the_depths
500	inferno
504	fangs for the memory
505	pharoah's tomb
506	land down under
508	meddling kids
509	corridors of power
510	slither and thither
515	mudskipper melody
517	subterranea
519	incantation
520	grip of the talon
521	revenants
522	on_the_shore
523	land of snow
524	xenophobe
525	title fight
529	woe of the wyvern
532	diango's little helpers
533	roll the bones
534	mind over matter
535	golden touch
537	dogs of war
541	the enchanter
542	lament
544	making waves
545	cabin fever
546	last stand
547	scape santa
548	poles apart
554	roots_and_flutes
558	food for thought
559	malady
560	dance of death
565	wrath and ruin
568	storm brew
575	chickened out
576	davy jones locker
577	mastermindless
585	barren_land
587	null and void
588	pest control
591	tomb raider
592	troll_shuffle
594	no way out
600	method of madness
602	fear and loathing
603	funny bunnies
604	assault and battery
606	the depths
610	distillery hilarity
611	trouble brewing
612	head to head
614	pinball wizard
616	back to life
619	spy games
620	where eagles lair
622	waking dream
623	dreamstate
625	the lunar isle
626	way of the enchanter
627	isle of everywhere
630	the galleon
631	life's a beach!
632	little cave of horrors
637	box_of_delights
643	the last shanty
648	the_tower_of_voices
653	faith_of_the_hefin
660	dance_of_the_meilyr
679	rest_in_peace
683	sea_minor_shanty
692	rhapsody
693	clanliness
716	zanik's theme
717	temple of tribes
721	venomous
767	healin' feelin'
768	terrorbird tussle
769	bolrie's diary
770	waste defaced
771	the longramble scramble
772	storeroom shuffle
778	zombie invasion
779	undead army
789	incarceration
790	the evil within
791	the sound of guthix
792	temple desecrated
793	the kin
795	dangerous logic
797	the route of all evil
798	black of knight
799	the route of the problem
806	mistrock
812	the plundered tomb
814	lamistards labyrinth
815	heavy security
816	the heist
817	the north
843	honkytonky_sea_shanty_2
848	scape_sail
866	castle_drakan
