# index-11 archive id -> name, and how it was established.
# See tools/gen_jingle_names.py for the method.
id	name	evidence
232	adventurer_stew_my_arm_s_big_adventure	wiki
233	rumble_in_da_jungle_my_arm_s_big_adventure	wiki
234	the_watchtower_shield	wiki
235	here_chicky_chicky_animal_magnetism	wiki
236	chicken_grabbed_animal_magnetism	wiki
237	claws_shanty_christmas_2013	wiki
238	tarn_lair_of_tarn_razorlor	wiki
239	the_transformation_lair_of_tarn_razorlor	wiki
240	bongos_cold_war	wiki
241	cowbells_cold_war	wiki
242	the_royal_decree_the_fremennik_isles	wiki
243	sleepy_great_brain_robbery	wiki
244	soothing_kitten_music_great_brain_robbery	wiki
245	silence_6_seconds	wiki
246	dorgesh_kaan_nursery	wiki
247	surok_dance_what_lies_below	wiki
248	surok_rock_what_lies_below	wiki
249	air_guitar_jingle	wiki
250	verzik_s_defeat	wiki
251	all_medium_tasks_karamja_diary	wiki
252	all_easy_tasks_karamja_diary	wiki
253	all_hard_tasks_karamja_diary	wiki
254	easy_task_karamja_diary	wiki
255	hard_task_karamja_diary	wiki
256	medium_task_karamja_diary	wiki
257	rupert_s_decent_grim_tales	wiki
258	rupert_s_ascent_grim_tales	wiki
259	rupert_s_second_decent_grim_tales	wiki
260	nora_s_record_grim_tales	wiki
261	nora_s_broken_record_grim_tales	wiki
262	nora_s_melody_grim_tales	wiki
263	a_grim_tale_grim_tales	wiki
264	grimgnash_s_bedtime_grim_tales	wiki
265	stupid_human_story_grim_tales	wiki
266	silence_1_second	wiki
267	a_slayer_s_feat_dragon_slayer	wiki
268	barbarian_funeral	wiki
269	top_of_the_class_surprise_exam	wiki
270	fail_surprise_exam	wiki
271	king_has_come_king_s_ransom	wiki
272	case_closed_king_s_ransom	wiki
273	my_arm_s_first_love_making_friends_with_my_arm	wiki
274	rejection_making_friends_with_my_arm	wiki
275	my_arm_snowflake_forever_making_friends_with_my_arm	wiki
276	clearing_the_gauntlet	wiki
277	petrification_of_the_basilisk_the_fremennik_exiles	wiki
278	the_fallen_myreque_sins_of_the_father	wiki
279	hosidius_entrance_poh	wiki
280	scape_jingle	wiki
281	border_broken_leagues	wiki
282	relic_of_power_leagues	wiki
283	task_mastered_leagues	wiki
284	defeated_soul_wars	wiki
285	victorious_soul_wars	wiki
286	festive_entrance_poh	wiki
287	star_of_your_own_shooting_stars	wiki
288	tempor_subdued_tempoross	wiki
289	raging_storm_tempoross	wiki
290	a_christmas_deed_christmas_2021	wiki
291	guardian_falls_guardians_of_the_rift	wiki
292	rift_closed_guardians_of_the_rift	wiki
293	sword_good_hand_over_giants_foundry	wiki
294	gilbert_s_glade_pride_2022	wiki
295	test_of_nobility_tombs_of_amascut	wiki
296	tomb_cleared_tombs_of_amascut	wiki
297	a_merry_christmas_christmas_2022	wiki
298	assassin_altercation_secrets_of_the_north	wiki
299	combat_level_up	wiki
300	sliske_desert_treasure_ii	wiki
301	terrorbird_tussle_jingle	wiki
302	dumpling_no_more_path_of_glouphrie	wiki
303	the_terrorbirds_path_of_glouphrie	wiki
304	zemouregal_s_theatre_defender_of_varrock	wiki
305	glorious_champion_fortis_colosseum	wiki
306	assassin_ambush_while_guthix_sleeps	wiki
307	canifis_entrance_poh	wiki
308	civitas_entrance_poh	wiki
309	yama_s_horn	wiki
310	yama_s_soulflame_horn	wiki
830	charted_the_sea	wiki
831	sailing_level_up	wiki
832	sailing_level_up_99	wiki
864	the_blood_moon_falls	wiki
