sheet	row	col	sprite	width	height
0	3	10	2x_lunar_spells_off_29	40	40
0	3	11	2x_lunar_spells_off_3	28	36
0	3	12	2x_lunar_spells_off_30	40	40
0	3	13	2x_lunar_spells_off_31	40	40
0	3	14	2x_lunar_spells_off_32	40	40
0	3	15	2x_lunar_spells_off_33	40	40
0	3	16	2x_lunar_spells_off_34	40	40
0	3	17	2x_lunar_spells_off_35	40	40
0	3	18	2x_lunar_spells_off_36	40	40
0	3	19	2x_lunar_spells_off_37	40	40
0	4	0	2x_lunar_spells_off_38	40	40
0	4	1	2x_lunar_spells_off_39	40	40
0	4	2	2x_lunar_spells_off_4	28	36
0	4	3	2x_lunar_spells_off_40	40	40
0	4	4	2x_lunar_spells_off_41	40	40
0	4	5	2x_lunar_spells_off_42	40	40
0	4	6	2x_lunar_spells_off_5	36	36
0	4	7	2x_lunar_spells_off_6	40	40
0	4	8	2x_lunar_spells_off_7	40	40
0	4	9	2x_lunar_spells_off_8	32	36
0	4	10	2x_lunar_spells_off_9	32	36
0	4	11	2x_lunar_spells_on_0	40	40
0	4	12	2x_lunar_spells_on_1	28	40
0	4	13	2x_lunar_spells_on_10	40	40
0	4	14	2x_lunar_spells_on_11	40	40
0	4	15	2x_lunar_spells_on_12	40	40
0	4	16	2x_lunar_spells_on_13	40	40
0	4	17	2x_lunar_spells_on_14	40	40
0	4	18	2x_lunar_spells_on_15	40	40
0	4	19	2x_lunar_spells_on_16	40	32
0	5	0	2x_lunar_spells_on_17	40	34
0	5	1	2x_lunar_spells_on_18	40	40
0	5	2	2x_lunar_spells_on_19	40	40
0	5	3	2x_lunar_spells_on_2	40	32
0	5	4	2x_lunar_spells_on_20	40	40
0	5	5	2x_lunar_spells_on_21	40	40
0	5	6	2x_lunar_spells_on_22	40	34
0	5	7	2x_lunar_spells_on_23	40	38
0	5	8	2x_lunar_spells_on_24	36	40
0	5	9	2x_lunar_spells_on_25	40	40
0	5	10	2x_lunar_spells_on_26	32	32
0	5	11	2x_lunar_spells_on_27	40	40
0	5	12	2x_lunar_spells_on_28	40	40
0	5	13	2x_lunar_spells_on_29	40	40
0	5	14	2x_lunar_spells_on_3	28	36
0	5	15	2x_lunar_spells_on_30	40	40
0	5	16	2x_lunar_spells_on_31	40	40
0	5	17	2x_lunar_spells_on_32	40	40
0	5	18	2x_lunar_spells_on_33	40	40
0	5	19	2x_lunar_spells_on_34	40	40
0	6	0	2x_lunar_spells_on_35	40	40
0	6	1	2x_lunar_spells_on_36	40	40
0	6	2	2x_lunar_spells_on_37	40	40
0	6	3	2x_lunar_spells_on_38	40	40
0	6	4	2x_lunar_spells_on_39	40	40
0	6	5	2x_lunar_spells_on_4	28	36
0	6	6	2x_lunar_spells_on_40	40	40
0	6	7	2x_lunar_spells_on_41	40	40
0	6	8	2x_lunar_spells_on_42	40	40
0	6	9	2x_lunar_spells_on_5	36	36
0	6	10	2x_lunar_spells_on_6	40	40
0	6	11	2x_lunar_spells_on_7	40	40
0	6	12	2x_lunar_spells_on_8	32	36
0	6	13	2x_lunar_spells_on_9	32	36
0	6	14	2x_magic_spell_padlocks_0	18	24
0	6	15	2x_magic_spell_padlocks_1	18	24
0	6	16	2x_magic_spell_padlocks_2	18	24
0	6	17	2x_magic_spell_padlocks_3	18	24
0	6	18	2x_necro_spells_off_0	40	32
0	6	19	2x_necro_spells_off_1	32	40
0	7	0	2x_necro_spells_off_10	40	40
0	7	1	2x_necro_spells_off_11	40	40
0	7	2	2x_necro_spells_off_12	40	40
0	7	3	2x_necro_spells_off_13	40	40
0	7	4	2x_necro_spells_off_14	40	40
0	7	5	2x_necro_spells_off_15	40	40
0	7	6	2x_necro_spells_off_16	40	40
0	7	7	2x_necro_spells_off_17	40	40
0	7	8	2x_necro_spells_off_18	40	40
0	7	9	2x_necro_spells_off_19	40	40
0	7	10	2x_necro_spells_off_2	36	40
0	7	11	2x_necro_spells_off_20	40	40
0	7	12	2x_necro_spells_off_21	40	40
0	7	13	2x_necro_spells_off_22	40	40
0	7	14	2x_necro_spells_off_23	40	40
0	7	15	2x_necro_spells_off_24	40	40
0	7	16	2x_necro_spells_off_25	40	40
0	7	17	2x_necro_spells_off_26	40	40
0	7	18	2x_necro_spells_off_27	32	40
0	7	19	2x_necro_spells_off_28	32	40
0	8	0	2x_necro_spells_off_29	32	40
0	8	1	2x_necro_spells_off_3	36	40
0	8	2	2x_necro_spells_off_30	40	40
0	8	3	2x_necro_spells_off_31	40	39
0	8	4	2x_necro_spells_off_32	38	38
0	8	5	2x_necro_spells_off_33	38	38
0	8	6	2x_necro_spells_off_34	38	38
0	8	7	2x_necro_spells_off_35	40	36
0	8	8	2x_necro_spells_off_36	36	37
0	8	9	2x_necro_spells_off_37	36	34
0	8	10	2x_necro_spells_off_38	32	40
0	8	11	2x_necro_spells_off_39	32	40
0	8	12	2x_necro_spells_off_4	40	40
0	8	13	2x_necro_spells_off_40	36	40
0	8	14	2x_necro_spells_off_41	36	34
0	8	15	2x_necro_spells_off_42	40	40
0	8	16	2x_necro_spells_off_43	40	39
0	8	17	2x_necro_spells_off_44	40	40
0	8	18	2x_necro_spells_off_45	40	40
0	8	19	2x_necro_spells_off_46	40	40
0	9	0	2x_necro_spells_off_47	40	40
0	9	1	2x_necro_spells_off_48	40	40
0	9	2	2x_necro_spells_off_49	40	40
0	9	3	2x_necro_spells_off_5	40	40
0	9	4	2x_necro_spells_off_6	40	40
0	9	5	2x_necro_spells_off_7	40	40
0	9	6	2x_necro_spells_off_8	40	40
0	9	7	2x_necro_spells_off_9	40	40
0	9	8	2x_necro_spells_on_0	40	32
0	9	9	2x_necro_spells_on_1	32	40
0	9	10	2x_necro_spells_on_10	40	40
0	9	11	2x_necro_spells_on_11	40	40
0	9	12	2x_necro_spells_on_12	40	40
0	9	13	2x_necro_spells_on_13	40	40
0	9	14	2x_necro_spells_on_14	40	40
0	9	15	2x_necro_spells_on_15	40	40
0	9	16	2x_necro_spells_on_16	40	40
0	9	17	2x_necro_spells_on_17	40	40
0	9	18	2x_necro_spells_on_18	40	40
0	9	19	2x_necro_spells_on_19	40	40
0	10	0	2x_necro_spells_on_2	36	40
0	10	1	2x_necro_spells_on_20	40	40
0	10	2	2x_necro_spells_on_21	40	40
0	10	3	2x_necro_spells_on_22	40	40
0	10	4	2x_necro_spells_on_23	40	40
0	10	5	2x_necro_spells_on_24	40	40
0	10	6	2x_necro_spells_on_25	40	40
0	10	7	2x_necro_spells_on_26	40	40
0	10	8	2x_necro_spells_on_27	32	40
0	10	9	2x_necro_spells_on_28	32	40
0	10	10	2x_necro_spells_on_29	32	40
0	10	11	2x_necro_spells_on_3	36	40
0	10	12	2x_necro_spells_on_30	40	40
0	10	13	2x_necro_spells_on_31	40	39
0	10	14	2x_necro_spells_on_32	38	38
0	10	15	2x_necro_spells_on_33	38	38
0	10	16	2x_necro_spells_on_34	38	38
0	10	17	2x_necro_spells_on_35	40	36
0	10	18	2x_necro_spells_on_36	36	37
0	10	19	2x_necro_spells_on_37	36	34
0	11	0	2x_necro_spells_on_38	32	40
0	11	1	2x_necro_spells_on_39	32	40
0	11	2	2x_necro_spells_on_4	40	40
0	11	3	2x_necro_spells_on_40	36	40
0	11	4	2x_necro_spells_on_41	36	34
0	11	5	2x_necro_spells_on_42	40	40
0	11	6	2x_necro_spells_on_43	40	39
0	11	7	2x_necro_spells_on_44	40	40
0	11	8	2x_necro_spells_on_45	40	40
0	11	9	2x_necro_spells_on_46	40	40
0	11	10	2x_necro_spells_on_47	40	40
0	11	11	2x_necro_spells_on_48	40	40
0	11	12	2x_necro_spells_on_49	40	40
0	11	13	2x_necro_spells_on_5	40	40
0	11	14	2x_necro_spells_on_6	40	40
0	11	15	2x_necro_spells_on_7	40	40
0	11	16	2x_necro_spells_on_8	40	40
0	11	17	2x_necro_spells_on_9	40	40
0	11	18	2x_standard_spells_off_0	26	18
0	11	19	2x_standard_spells_off_1	26	18
0	12	0	2x_standard_spells_off_10	32	32
0	12	1	2x_standard_spells_off_11	32	32
0	12	2	2x_standard_spells_off_12	34	34
0	12	3	2x_standard_spells_off_13	34	34
0	12	4	2x_standard_spells_off_14	34	34
0	12	5	2x_standard_spells_off_15	34	34
0	12	6	2x_standard_spells_off_16	34	34
0	12	7	2x_standard_spells_off_17	34	34
0	12	8	2x_standard_spells_off_18	34	34
0	12	9	2x_standard_spells_off_19	34	34
0	12	10	2x_standard_spells_off_2	26	18
0	12	11	2x_standard_spells_off_20	40	40
0	12	12	2x_standard_spells_off_21	40	40
0	12	13	2x_standard_spells_off_22	40	40
0	12	14	2x_standard_spells_off_23	40	40
0	12	15	2x_standard_spells_off_24	40	40
0	12	16	2x_standard_spells_off_25	40	40
0	12	17	2x_standard_spells_off_26	40	40
0	12	18	2x_standard_spells_off_27	40	40
0	12	19	2x_standard_spells_off_28	40	40
1	0	0	2x_standard_spells_off_29	40	40
1	0	1	2x_standard_spells_off_3	26	18
1	0	2	2x_standard_spells_off_30	40	40
1	0	3	2x_standard_spells_off_31	40	40
1	0	4	2x_standard_spells_off_32	40	40
1	0	5	2x_standard_spells_off_33	28	28
1	0	6	2x_standard_spells_off_34	28	28
1	0	7	2x_standard_spells_off_35	28	28
1	0	8	2x_standard_spells_off_36	28	28
1	0	9	2x_standard_spells_off_37	28	28
1	0	10	2x_standard_spells_off_38	28	28
1	0	11	2x_standard_spells_off_39	28	28
1	0	12	2x_standard_spells_off_4	30	40
1	0	13	2x_standard_spells_off_40	26	30
1	0	14	2x_standard_spells_off_41	40	38
1	0	15	2x_standard_spells_off_42	36	34
1	0	16	2x_standard_spells_off_43	40	40
1	0	17	2x_standard_spells_off_44	40	40
1	0	18	2x_standard_spells_off_45	40	40
1	0	19	2x_standard_spells_off_46	24	36
1	1	0	2x_standard_spells_off_47	26	40
1	1	1	2x_standard_spells_off_48	36	36
1	1	2	2x_standard_spells_off_49	40	36
1	1	3	2x_standard_spells_off_5	30	40
1	1	4	2x_standard_spells_off_50	40	40
1	1	5	2x_standard_spells_off_51	40	40
1	1	6	2x_standard_spells_off_52	36	36
1	1	7	2x_standard_spells_off_53	36	40
1	1	8	2x_standard_spells_off_54	32	34
1	1	9	2x_standard_spells_off_55	38	36
1	1	10	2x_standard_spells_off_56	40	38
1	1	11	2x_standard_spells_off_57	40	38
1	1	12	2x_standard_spells_off_58	40	38
1	1	13	2x_standard_spells_off_59	40	38
1	1	14	2x_standard_spells_off_6	30	40
1	1	15	2x_standard_spells_off_60	40	40
1	1	16	2x_standard_spells_off_61	30	30
1	1	17	2x_standard_spells_off_62	30	30
1	1	18	2x_standard_spells_off_63	30	30
1	1	19	2x_standard_spells_off_64	30	30
1	2	0	2x_standard_spells_off_65	40	40
1	2	1	2x_standard_spells_off_66	34	34
1	2	2	2x_standard_spells_off_67	40	40
1	2	3	2x_standard_spells_off_68	40	35
1	2	4	2x_standard_spells_off_69	40	40
1	2	5	2x_standard_spells_off_7	30	40
1	2	6	2x_standard_spells_off_70	40	40
1	2	7	2x_standard_spells_off_71	28	28
1	2	8	2x_standard_spells_off_72	40	40
1	2	9	2x_standard_spells_off_73	32	36
1	2	10	2x_standard_spells_off_74	40	40
1	2	11	2x_standard_spells_off_75	20	35
1	2	12	2x_standard_spells_off_76	40	40
1	2	13	2x_standard_spells_off_77	40	40
1	2	14	2x_standard_spells_off_78	40	40
1	2	15	2x_standard_spells_off_79	40	40
1	2	16	2x_standard_spells_off_8	32	32
1	2	17	2x_standard_spells_off_9	32	32
1	2	18	2x_standard_spells_on_0	26	18
1	2	19	2x_standard_spells_on_1	26	18
1	3	0	2x_standard_spells_on_10	32	32
1	3	1	2x_standard_spells_on_11	32	32
1	3	2	2x_standard_spells_on_12	34	34
1	3	3	2x_standard_spells_on_13	34	34
1	3	4	2x_standard_spells_on_14	34	34
1	3	5	2x_standard_spells_on_15	34	34
1	3	6	2x_standard_spells_on_16	34	34
1	3	7	2x_standard_spells_on_17	34	34
1	3	8	2x_standard_spells_on_18	34	34
1	3	9	2x_standard_spells_on_19	34	34
1	3	10	2x_standard_spells_on_2	26	18
1	3	11	2x_standard_spells_on_20	40	40
1	3	12	2x_standard_spells_on_21	40	40
1	3	13	2x_standard_spells_on_22	40	40
1	3	14	2x_standard_spells_on_23	40	40
1	3	15	2x_standard_spells_on_24	40	40
1	3	16	2x_standard_spells_on_25	40	40
1	3	17	2x_standard_spells_on_26	40	40
1	3	18	2x_standard_spells_on_27	40	40
1	3	19	2x_standard_spells_on_28	40	40
1	4	0	2x_standard_spells_on_29	40	40
1	4	1	2x_standard_spells_on_3	26	18
1	4	2	2x_standard_spells_on_30	40	40
1	4	3	2x_standard_spells_on_31	40	40
1	4	4	2x_standard_spells_on_32	40	40
1	4	5	2x_standard_spells_on_33	28	28
1	4	6	2x_standard_spells_on_34	28	28
1	4	7	2x_standard_spells_on_35	28	28
1	4	8	2x_standard_spells_on_36	28	28
1	4	9	2x_standard_spells_on_37	28	28
1	4	10	2x_standard_spells_on_38	28	28
1	4	11	2x_standard_spells_on_39	28	28
1	4	12	2x_standard_spells_on_4	30	40
1	4	13	2x_standard_spells_on_40	26	30
1	4	14	2x_standard_spells_on_41	40	38
1	4	15	2x_standard_spells_on_42	36	34
1	4	16	2x_standard_spells_on_43	40	40
1	4	17	2x_standard_spells_on_44	40	40
1	4	18	2x_standard_spells_on_45	40	40
1	4	19	2x_standard_spells_on_46	24	36
1	5	0	2x_standard_spells_on_47	26	40
1	5	1	2x_standard_spells_on_48	36	36
1	5	2	2x_standard_spells_on_49	40	36
1	5	3	2x_standard_spells_on_5	30	40
1	5	4	2x_standard_spells_on_50	40	40
1	5	5	2x_standard_spells_on_51	40	40
1	5	6	2x_standard_spells_on_52	36	36
1	5	7	2x_standard_spells_on_53	36	40
1	5	8	2x_standard_spells_on_54	32	34
1	5	9	2x_standard_spells_on_55	38	36
1	5	10	2x_standard_spells_on_56	40	38
1	5	11	2x_standard_spells_on_57	40	38
1	5	12	2x_standard_spells_on_58	40	38
1	5	13	2x_standard_spells_on_59	40	38
1	5	14	2x_standard_spells_on_6	30	40
1	5	15	2x_standard_spells_on_60	40	40
1	5	16	2x_standard_spells_on_61	30	30
1	5	17	2x_standard_spells_on_62	30	30
1	5	18	2x_standard_spells_on_63	30	30
1	5	19	2x_standard_spells_on_64	30	30
1	6	0	2x_standard_spells_on_65	40	40
1	6	1	2x_standard_spells_on_66	34	34
1	6	2	2x_standard_spells_on_67	40	40
1	6	3	2x_standard_spells_on_68	40	35
1	6	4	2x_standard_spells_on_69	40	40
1	6	5	2x_standard_spells_on_7	30	40
1	6	6	2x_standard_spells_on_70	40	40
1	6	7	2x_standard_spells_on_71	28	28
1	6	8	2x_standard_spells_on_72	40	40
1	6	9	2x_standard_spells_on_73	32	36
1	6	10	2x_standard_spells_on_74	40	40
1	6	11	2x_standard_spells_on_75	20	35
1	6	12	2x_standard_spells_on_76	40	40
1	6	13	2x_standard_spells_on_77	40	40
1	6	14	2x_standard_spells_on_78	40	40
1	6	15	2x_standard_spells_on_79	40	40
1	6	16	2x_standard_spells_on_8	32	32
1	6	17	2x_standard_spells_on_9	32	32
1	6	18	acc_man_icons_0	20	20
1	6	19	acc_man_icons_1	18	18
1	7	0	acc_man_icons_10	12	14
1	7	1	acc_man_icons_11	16	14
1	7	2	acc_man_icons_12	16	16
1	7	3	acc_man_icons_13	16	16
1	7	4	acc_man_icons_14	16	18
1	7	5	acc_man_icons_15	10	18
1	7	6	acc_man_icons_2	18	18
1	7	7	acc_man_icons_3	18	20
1	7	8	acc_man_icons_4	18	14
1	7	9	acc_man_icons_5	20	20
1	7	10	acc_man_icons_6	14	20
1	7	11	acc_man_icons_7	16	16
1	7	12	acc_man_icons_8	18	14
1	7	13	acc_man_icons_9	16	16
1	7	14	account_icons_0	15	15
1	7	15	account_icons_1	18	16
1	7	16	account_icons_2	17	17
1	7	17	account_icons_3	18	17
1	7	18	account_icons_4	18	17
1	7	19	account_icons_5	18	17
1	8	0	achievement_diary_icons_0	18	18
1	8	1	achievement_diary_icons_1	18	18
1	8	2	achievement_diary_icons_10	18	18
1	8	3	achievement_diary_icons_11	16	16
1	8	4	achievement_diary_icons_12	18	18
1	8	5	achievement_diary_icons_13	18	18
1	8	6	achievement_diary_icons_14	18	18
1	8	7	achievement_diary_icons_2	18	18
1	8	8	achievement_diary_icons_3	18	18
1	8	9	achievement_diary_icons_4	18	18
1	8	10	achievement_diary_icons_5	18	18
1	8	11	achievement_diary_icons_6	18	18
1	8	12	achievement_diary_icons_7	18	18
1	8	13	achievement_diary_icons_8	18	18
1	8	14	achievement_diary_icons_9	18	18
1	8	15	adventurepath_in_focus_0	31	29
1	8	16	adventurepath_in_focus_1	31	29
1	8	17	adventurepath_in_focus_small_0	24	22
1	8	18	adventurepath_in_focus_small_1	24	18
1	8	19	ame_confirm_button_0	29	29
1	9	0	ame_confirm_button_1	29	29
1	9	1	ame_confirm_button_no_back_0	19	23
1	9	2	ame_confirm_button_no_back_1	19	23
1	9	3	ap_path_icon_0	46	46
1	9	4	ap_path_icon_1	46	46
1	9	5	ap_path_icon_2	45	44
1	9	6	ap_path_icon_3	44	46
1	9	7	ap_path_icon_4	46	41
1	9	8	ap_path_icon_5	44	38
1	9	9	arceuus_sigil	32	32
1	9	10	arrow_0	41	56
1	9	11	arrow_1	41	56
1	9	12	arrows_25_0	16	16
1	9	13	arrows_25_1	16	16
1	9	14	arrows_25_2	16	16
1	9	15	arrows_25_3	16	16
1	9	16	arrows_40_0	30	30
1	9	17	arrows_40_1	30	30
1	9	18	arrows_40_2	30	30
1	9	19	arrows_40_3	30	30
1	10	0	arrows_40_4	30	30
1	10	1	arrows_40_5	30	30
1	10	2	arrows_40_6	30	30
1	10	3	arrows_40_7	30	30
1	10	4	arrows_curved_0	28	64
1	10	5	arrows_curved_1	28	64
1	10	6	arrows_curved_2	28	64
1	10	7	arrows_curved_3	28	64
1	10	8	badge_colosseum_modifiers01_64x64_0	62	62
1	10	9	badge_colosseum_modifiers01_64x64_1	62	62
1	10	10	badge_colosseum_modifiers01_64x64_2	62	62
1	10	11	bank_storage_0	27	25
1	10	12	bank_storage_1	27	27
1	10	13	bank_storage_2	27	27
1	10	14	bank_storage_3	23	27
1	10	15	bank_storage_4	27	28
1	10	16	bank_storage_5	27	28
1	10	17	bank_storage_6	27	28
1	10	18	bankbutton_arrow_green	12	10
1	10	19	bankbuttons_0	28	21
1	11	0	bankbuttons_1	28	21
1	11	1	bankbuttons_10	28	21
1	11	2	bankbuttons_11	20	20
1	11	3	bankbuttons_12	20	21
1	11	4	bankbuttons_13	19	19
1	11	5	bankbuttons_14	25	19
1	11	6	bankbuttons_15	24	19
1	11	7	bankbuttons_2	20	20
1	11	8	bankbuttons_3	28	20
1	11	9	bankbuttons_4	28	21
1	11	10	bankbuttons_5	26	19
1	11	11	bankbuttons_6	27	21
1	11	12	bankbuttons_7	17	21
1	11	13	bankbuttons_8	22	19
1	11	14	bankbuttons_9	28	20
1	11	15	banktab_icons_0	24	15
1	11	16	banktab_icons_1	17	17
1	11	17	banktab_icons_2	17	17
1	11	18	banktab_icons_3	19	21
1	11	19	banktab_icons_4	17	10
1	12	0	banktabs_0	41	40
1	12	1	banktabs_1	41	40
1	12	2	banktabs_2	41	40
1	12	3	banktabs_3	41	40
1	12	4	banktabs_small_0	39	29
1	12	5	banktabs_small_1	39	23
1	12	6	barbassault_icons_0	17	12
1	12	7	barbassault_icons_1	10	13
1	12	8	barbassault_icons_2	12	13
1	12	9	barbassault_icons_3	17	12
1	12	10	barbassault_icons_4	17	12
1	12	11	barbassault_icons_5	17	12
1	12	12	barbassault_icons_6	17	12
1	12	13	barbassault_icons_7	17	13
1	12	14	barbassault_icons_8	17	13
1	12	15	bond_redemption_icons_0	39	34
1	12	16	bond_redemption_icons_1	39	34
1	12	17	bond_redemption_icons_2	39	34
1	12	18	bond_redemption_icons_3	39	34
1	12	19	ca_tier_swords_0	30	30
2	0	0	ca_tier_swords_1	30	30
2	0	1	ca_tier_swords_2	30	30
2	0	2	ca_tier_swords_3	30	30
2	0	3	ca_tier_swords_4	28	29
2	0	4	ca_tier_swords_5	31	31
2	0	5	ca_tier_swords_small_0	23	22
2	0	6	ca_tier_swords_small_1	23	22
2	0	7	ca_tier_swords_small_2	23	22
2	0	8	ca_tier_swords_small_3	23	22
2	0	9	ca_tier_swords_small_4	22	22
2	0	10	ca_tier_swords_small_5	23	23
2	0	11	castle_drakan_room_10	33	48
2	0	12	castle_drakan_room_14	28	60
2	0	13	castle_drakan_room_18	55	18
2	0	14	castle_drakan_room_19	53	29
2	0	15	castle_drakan_room_20	25	16
2	0	16	castle_drakan_room_21	30	16
2	0	17	castle_drakan_room_22	20	61
2	0	18	castle_drakan_room_23	46	36
2	0	19	castle_drakan_room_24	36	50
2	1	0	castle_drakan_room_25	38	16
2	1	1	castle_drakan_room_27	26	19
2	1	2	castle_drakan_room_28	40	27
2	1	3	castle_drakan_room_29	40	38
2	1	4	castle_drakan_room_3	55	44
2	1	5	castle_drakan_room_30	33	39
2	1	6	castle_drakan_room_31	64	19
2	1	7	castle_drakan_room_32	24	45
2	1	8	castle_drakan_room_33	16	33
2	1	9	castle_drakan_room_36	51	17
2	1	10	castle_drakan_room_37	41	52
2	1	11	castle_drakan_room_3a	55	44
2	1	12	castle_drakan_room_4	44	28
2	1	13	castle_drakan_room_40	46	55
2	1	14	castle_drakan_room_41	20	42
2	1	15	castle_drakan_room_42	55	48
2	1	16	castle_drakan_room_43	29	48
2	1	17	castle_drakan_room_44	28	27
2	1	18	castle_drakan_room_45	32	61
2	1	19	castle_drakan_room_46	54	16
2	2	0	castle_drakan_room_47	54	16
2	2	1	castle_drakan_room_5	18	49
2	2	2	castle_drakan_room_50	38	42
2	2	3	castle_drakan_room_6	40	38
2	2	4	castle_drakan_room_7	53	29
2	2	5	castle_drakan_room_8	64	19
2	2	6	castle_drakan_room_9	30	30
2	2	7	castle_drakan_room_icons_0	15	15
2	2	8	castle_drakan_room_icons_2	15	15
2	2	9	castle_drakan_room_icons_4	15	15
2	2	10	castle_drakan_worldmap_icons_0	30	30
2	2	11	castle_drakan_worldmap_icons_1	34	34
2	2	12	chainmail	64	64
2	2	13	chat_tab_button_0	56	22
2	2	14	chat_tab_button_1	56	22
2	2	15	chat_tab_button_2	56	22
2	2	16	chat_tab_button_3	56	22
2	2	17	chat_tab_button_4	56	22
2	2	18	chat_tab_button_5	56	22
2	2	19	chat_type_icon_0	11	11
2	3	0	chat_type_icon_1	11	11
2	3	1	chat_type_icon_2	11	11
2	3	2	checkbox_0	16	16
2	3	3	checkbox_1	16	16
2	3	4	checkbox_10	16	16
2	3	5	checkbox_11	16	16
2	3	6	checkbox_12	16	16
2	3	7	checkbox_13	16	16
2	3	8	checkbox_14	16	16
2	3	9	checkbox_2	16	16
2	3	10	checkbox_3	16	16
2	3	11	checkbox_4	16	16
2	3	12	checkbox_5	16	16
2	3	13	checkbox_6	16	16
2	3	14	checkbox_7	16	16
2	3	15	checkbox_8	16	16
2	3	16	checkbox_9	16	16
2	3	17	clan_rank_icons_0	13	13
2	3	18	clan_rank_icons_1	11	11
2	3	19	clan_rank_icons_10	13	13
2	4	0	clan_rank_icons_100	11	13
2	4	1	clan_rank_icons_101	11	13
2	4	2	clan_rank_icons_102	11	13
2	4	3	clan_rank_icons_103	11	13
2	4	4	clan_rank_icons_104	11	13
2	4	5	clan_rank_icons_105	11	13
2	4	6	clan_rank_icons_106	11	13
2	4	7	clan_rank_icons_107	11	13
2	4	8	clan_rank_icons_108	13	13
2	4	9	clan_rank_icons_109	13	13
2	4	10	clan_rank_icons_11	13	12
2	4	11	clan_rank_icons_110	13	13
2	4	12	clan_rank_icons_111	13	13
2	4	13	clan_rank_icons_112	13	13
2	4	14	clan_rank_icons_113	13	13
2	4	15	clan_rank_icons_114	13	13
2	4	16	clan_rank_icons_115	13	13
2	4	17	clan_rank_icons_116	13	13
2	4	18	clan_rank_icons_117	13	13
2	4	19	clan_rank_icons_118	13	13
2	5	0	clan_rank_icons_119	13	13
2	5	1	clan_rank_icons_12	13	13
2	5	2	clan_rank_icons_120	13	13
2	5	3	clan_rank_icons_121	13	13
2	5	4	clan_rank_icons_122	13	13
2	5	5	clan_rank_icons_123	13	13
2	5	6	clan_rank_icons_124	13	13
2	5	7	clan_rank_icons_125	13	13
